trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
10497,10.6,.250,United States Naval Academy,.250,34271,987,.736,David Robinson,.518,80.9,14,7.4,2.5,21.1,SAS,20790,2441,1,34.7,178.7,1
6401,6.9,.106,"University of Nevada, Las Vegas",.000,26421,929,.776,Armen Gilliam,.489,6.2,13,-1.1,1.2,13.7,PHO,12700,1088,2,28.4,58.1,2
939,2.8,.046,Ohio State University,.271,7509,334,.765,Dennis Hopson,.431,-0.3,5,-2.1,1.6,10.9,NJN,3633,539,3,22.5,7.1,3
2393,4.0,.078,Georgetown University,.298,16013,599,.784,Reggie Williams,.437,10.3,10,0.5,2.5,12.5,LAC,7508,1492,4,26.7,26.0,4
7494,6.4,.146,University of Central Arkansas,.326,41069,1178,.704,Scottie Pippen,.473,69.6,17,4.7,5.2,16.1,SEA,18940,6135,5,34.9,125.1,5
1454,2.0,.101,University of North Carolina,.399,22213,737,.829,Kenny Smith,.480,4.3,10,-1.2,5.5,12.8,SAC,9397,4073,6,30.1,46.8,6
2404,3.3,.178,University of California,.305,25061,735,.841,Kevin Johnson,.493,28.0,12,2.4,9.1,17.9,CLE,13127,6711,7,34.1,92.8,7
7110,6.7,.090,University of Virginia,.192,24884,1058,.535,Olden Polynice,.505,2.7,15,-1.6,0.7,7.8,CHI,8265,744,8,23.5,46.8,8
4387,4.7,.109,University of Alabama,.316,27229,937,.779,Derrick McKey,.486,27.3,15,2.0,2.4,11.0,SEA,10266,2254,9,29.1,61.8,9
9443,8.1,.147,Clemson University,.063,38621,1165,.692,Horace Grant,.509,44.4,17,2.6,2.2,11.2,CHI,12996,2575,10,33.2,118.2,10
4182,3.0,.176,"University of California, Los Angeles",.395,47619,1389,.888,Reggie Miller,.471,63.2,18,3.3,3.0,18.2,IND,25279,4141,11,34.3,174.4,11
2318,2.6,.102,Wake Forest University,.278,25429,889,.827,Muggsy Bogues,.458,5.2,14,-1.2,7.6,7.7,WSB,6858,6726,12,28.6,54.0,12
1933,3.3,.017,University of North Carolina,.164,9636,592,.770,Joe Wolf,.423,-5.2,11,-4.1,1.0,4.2,LAC,2485,596,13,16.3,3.5,13
1022,3.9,.041,Western Kentucky University,.000,4703,264,.741,Tellis Frank,.439,-1.2,5,-3.0,1.0,6.5,GSW,1710,276,14,17.8,4.0,14
73,1.1,.002,Oregon State University,.333,391,64,.596,Jose Ortiz,.443,-0.3,2,-5.4,0.3,2.9,UTA,183,18,15,6.1,0.0,15
265,2.4,.042,University of Washington,.000,1173,109,.681,Chris Welp,.446,-0.4,3,-3.5,0.4,3.3,PHI,359,43,16,10.8,1.0,16
11,0.6,-.130,Jacksonville University,.250,89,18,.636,Ronnie Murphy,.286,-0.2,1,-10.7,0.3,2.0,POR,36,6,17,4.9,-0.2,17
4963,3.8,.113,St. John's University,.332,39121,1296,.770,Mark Jackson,.447,27.1,17,0.8,8.0,9.6,NYK,12489,10334,18,30.2,91.8,18
