ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,LAL,Magic Johnson,Michigan State University,13,906,33245,17707,6559,10141,.520,.303,.848,36.7,19.5,7.2,11.2,155.8,.225,7.2,77.4
2,2,CHI,Dave Greenwood,"University of California, Los Angeles",12,823,23370,8428,6537,1614,.477,.138,.765,28.4,10.2,7.9,2.0,46.4,.095,0.2,13.1
3,3,NYK,Bill Cartwright,University of San Francisco,15,963,27491,12713,6106,1390,.525,.000,.771,28.5,13.2,6.3,1.4,72.8,.127,-0.5,10.7
4,4,DET,Greg Kelser,Michigan State University,6,305,6032,2961,1402,411,.486,.167,.686,19.8,9.7,4.6,1.3,8.6,.069,-0.8,1.9
5,5,MIL,Sidney Moncrief,University of Arkansas,11,767,23150,11931,3575,2793,.502,.284,.831,30.2,15.6,4.7,3.6,90.3,.187,3.8,33.9
6,6,SEA,James Bailey,Rutgers University,9,595,11625,5246,2988,488,.484,.077,.703,19.5,8.8,5.0,0.8,16.3,.067,-2.3,-0.8
7,7,SEA,Vinnie Johnson,Baylor University,13,984,24308,11825,3109,3212,.464,.254,.740,24.7,12.0,3.2,3.3,50.8,.100,0.5,15.2
8,8,NJN,Calvin Natt,University of Louisiana at Monroe,11,599,18818,10291,4070,1306,.528,.219,.768,31.4,17.2,6.8,2.2,57.2,.146,1.2,15.1
9,9,NYK,Larry Demic,University of Arizona,3,206,3192,976,805,106,.459,.000,.580,15.5,4.7,3.9,0.5,1.4,.022,-4.6,-2.1
10,10,DET,Roy Hamilton,"University of California, Los Angeles",2,73,1121,336,110,192,.400,.000,.684,15.4,4.6,1.5,2.6,-0.4,-.017,-5.8,-1.1
11,11,NJN,Cliff Robinson,University of Southern California,11,629,19284,10823,5237,1249,.468,.184,.722,30.7,17.2,8.3,2.0,30.5,.076,-1.1,4.3
12,12,POR,Jim Paxson,University of Dayton,11,784,21357,11199,1593,2300,.498,.225,.807,27.2,14.3,2.0,2.9,53.7,.121,-0.3,9.0
13,13,IND,Dudley Bradley,University of North Carolina,9,600,10192,3131,1098,1147,.440,.293,.730,17.0,5.2,1.8,1.9,16.5,.078,0.6,6.7
14,14,LAL,Brad Holland,"University of California, Los Angeles",3,93,686,293,59,63,.403,.190,.746,7.4,3.2,0.6,0.7,0.4,.026,-5.0,-0.5
15,15,DET,Phil Hubbard,University of Michigan,10,665,15863,7228,3538,857,.495,.038,.706,23.9,10.9,5.3,1.3,29.0,.088,-0.7,5.3
16,16,PHI,Jim Spanarkel,Duke University,5,259,5290,2505,652,572,.470,.250,.855,20.4,9.7,2.5,2.2,12.3,.112,0.5,3.3
17,17,HOU,Lee Johnson,East Texas State University,1,12,90,17,22,1,.280,,.600,7.5,1.4,1.8,0.1,-0.2,-.095,-11.4,-0.2
18,18,KCK,Reggie King,University of Alabama,6,438,11345,3898,2707,691,.514,.000,.699,25.9,8.9,6.2,1.6,24.8,.105,0.5,7.0
19,19,SAS,Wiley Peck,Mississippi State University,1,52,628,180,183,33,.432,.000,.618,12.1,3.5,3.5,0.6,0.3,.023,-3.5,-0.2
20,20,UTA,Larry Knight,Loyola University of Chicago,,,,,,,,,,,,,,,,,
21,21,NYK,Sly Williams,University of Rhode Island,7,305,6617,3327,1287,603,.478,.162,.692,21.7,10.9,4.2,2.0,13.4,.097,0.6,4.3
22,22,PHO,Kyle Macy,University of Kentucky,7,551,14246,5259,1214,2198,.501,.337,.873,25.9,9.5,2.2,4.0,36.0,.121,0.2,7.9
23,23,UTA,Tico Brown,Georgia Institute of Technology,,,,,,,,,,,,,,,,,
24,24,PHO,Johnny High,"University of Nevada, Reno",4,274,4538,1396,617,525,.435,.105,.619,16.6,5.1,2.3,1.9,4.7,.050,-0.9,1.3
25,25,LAL,Ollie Mack,East Carolina University,3,128,2513,916,319,230,.458,.000,.674,19.6,7.2,2.5,1.8,2.5,.048,-1.9,0.1
26,26,CLE,Bruce Flowers,University of Notre Dame,1,53,699,261,180,47,.534,.000,.774,13.2,4.9,3.4,0.9,1.7,.119,0.1,0.4
27,27,NYK,Reggie Carter,St. John's University,2,135,1459,471,164,206,.388,.000,.772,10.8,3.5,1.2,1.5,0.4,.014,-4.6,-0.9
28,28,GSW,Danny Salisbury,University of Texas-Pan American,,,,,,,,,,,,,,,,,
29,29,DET,Tony Price,University of Pennsylvania,1,5,29,4,0,3,.286,,,5.8,0.8,0.0,0.6,-0.1,-.089,-10.6,-0.1
