trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
4615,5.2,.109,University of Kansas,.206,24202,883,.729,Danny Manning,.511,21.7,15,1.6,2.3,14.0,LAC,12367,2063,1,27.4,55.1,1
5277,6.1,.118,Marist College,.115,23100,867,.773,Rik Smits,.507,8.5,12,-0.5,1.4,14.8,IND,12871,1215,2,26.6,56.6,2
3246,5.8,.120,University of Pittsburgh,.194,16378,564,.774,Charles Smith,.475,9.3,9,0.2,1.4,14.4,PHI,8107,798,3,29.0,40.9,3
3544,4.7,.096,Auburn University,.306,18748,747,.739,Chris Morris,.441,16.7,11,1.5,1.6,11.0,NJN,8184,1182,4,25.1,37.4,4
3801,3.9,.111,Kansas State University,.388,34309,976,.850,Mitch Richmond,.455,25.0,14,0.9,3.5,21.0,GSW,20497,3398,5,35.2,79.3,5
3554,3.6,.136,Bradley University,.394,32034,983,.870,Hersey Hawkins,.461,35.7,13,2.4,2.9,14.7,LAC,14470,2860,6,32.6,90.6,6
1911,4.0,.074,Temple University,.318,9436,481,.648,Tim Perry,.485,3.0,8,-0.7,0.9,6.8,PHO,3283,436,7,19.6,14.6,7
1645,2.5,.061,University of Kentucky,.350,19542,666,.800,Rex Chapman,.430,2.2,12,-1.5,2.7,14.6,CHH,9731,1798,8,29.3,24.7,8
6424,9.5,.084,Syracuse University,.188,21395,678,.679,Rony Seikaly,.484,2.2,11,-1.6,1.3,14.7,MIA,9991,860,9,31.6,37.3,9
2082,3.8,.084,University of Georgia,.266,15974,555,.786,Willie Anderson,.471,8.3,9,0.0,3.8,12.2,SAS,6771,2105,10,28.8,27.9,10
3918,4.9,.103,Vanderbilt University,.067,12360,792,.577,Will Perdue,.515,2.3,13,-1.3,0.8,4.7,CHI,3740,595,11,15.6,26.6,11
3436,4.4,.085,University of Oklahoma,.267,20510,783,.709,Harvey Grant,.469,6.5,11,-0.7,1.6,9.9,WSB,7781,1219,12,26.2,36.4,12
1294,3.0,.052,Iowa State University,.255,8277,438,.663,Jeff Grayer,.457,-1.3,9,-2.6,1.4,7.4,MIL,3257,635,13,18.9,9.0,13
4265,4.5,.125,Central Michigan University,.358,30206,955,.741,Dan Majerle,.431,35.6,14,2.7,2.9,11.4,PHO,10925,2755,14,31.6,78.5,14
1283,2.3,.046,University of Michigan,.278,12602,552,.776,Gary Grant,.450,0.4,13,-1.9,5.5,7.9,SEA,4368,3013,15,22.8,12.0,15
364,2.4,.057,University of Missouri,.242,2240,154,.755,Derrick Chievous,.443,-1.1,3,-4.0,0.7,7.1,HOU,1086,110,16,14.5,2.7,16
1418,3.2,.054,University of Wyoming,.000,5448,449,.669,Eric Leckner,.508,-4.0,8,-4.9,0.5,4.1,UTA,1835,211,17,12.1,6.2,17
197,3.1,.083,San Jose State University,.406,1406,64,.789,Ricky Berry,.450,0.1,1,-1.7,1.3,11.0,SAC,706,80,18,22.0,2.4,18
4084,3.7,.122,DePaul University,.282,33634,1094,.721,Rod Strickland,.454,30.9,17,1.6,7.3,13.2,NYK,14463,7987,19,30.7,85.8,19
1653,2.7,.039,DePaul University,.335,15332,604,.803,Kevin Edwards,.423,1.6,11,-1.6,2.7,10.9,MIA,6596,1609,20,25.4,12.5,20
2992,3.8,.093,Seton Hall University,.083,13479,797,.697,Mark Bryant,.500,-0.8,15,-2.2,0.6,5.4,POR,4313,491,21,16.9,26.1,21
551,2.3,.034,University of Southern Mississippi,.272,3318,241,.721,Randolph Keys,.425,-1.0,5,-3.2,0.8,5.2,CLE,1262,192,22,13.8,2.3,22
