trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
4923,10.5,.142,"University of California, Los Angeles",.000,13250,468,.660,Bill Walton,.521,21.4,10,4.4,3.4,13.3,POR,6215,1590,1,28.3,39.3,1
946,5.5,.057,Providence College,,3718,171,.672,Marvin Barnes,.442,0.6,6,-1.3,1.5,9.2,PHI,1569,252,2,21.7,4.4,2
2794,6.3,.117,North Carolina State University,.000,9425,446,.726,Tom Burleson,.445,6.2,7,0.6,1.3,9.4,SEA,4190,601,3,21.1,22.9,3
2388,7.5,.128,University of Notre Dame,.000,9201,318,.720,John Shumate,.516,6.3,5,0.7,1.8,12.3,PHO,3920,574,4,28.9,24.5,4
4256,5.5,.175,University of North Carolina,.000,20177,774,.780,Bobby Jones,.550,32.0,12,4.3,2.4,11.5,HOU,8911,1888,5,26.1,73.7,5
4355,4.8,.099,University of Colorado,.335,25927,906,.794,Scott Wedman,.481,12.9,13,0.0,2.0,13.2,KCO,11916,1771,6,28.6,53.7,6
1494,2.3,.060,University of Hawaii,.000,17690,650,.739,Tom Henderson,.433,1.8,9,-1.6,4.8,9.4,ATL,6088,3136,7,27.2,22.1,7
2696,4.8,.103,University of Michigan,.366,16781,566,.772,Campy Russell,.459,11.1,9,0.6,3.0,15.8,CLE,8953,1684,8,29.6,35.8,8
2913,4.0,.088,University of Maryland,.120,14770,729,.806,Tom McMillen,.483,-1.2,11,-2.3,1.1,8.1,BUF,5914,788,9,20.3,27.2,9
1237,6.5,.092,University of Utah,,4282,191,.671,Mike Sojourner,.480,-0.2,3,-2.2,0.9,8.7,ATL,1658,172,10,22.4,8.2,10
5117,6.2,.125,"University of California, Los Angeles",.135,27275,828,.759,Jamaal Wilkes,.499,16.1,12,0.3,2.5,17.7,GSW,14644,2050,11,32.9,71.3,11
1688,2.6,.093,University of South Carolina,.363,19938,650,.842,Brian Winters,.475,6.9,9,-0.6,4.1,16.2,LAL,10537,2674,12,30.7,38.6,12
2146,4.2,.076,University of Maryland,.000,8384,505,.715,Len Elmore,.413,2.9,10,-0.6,0.9,4.6,WSB,2327,459,13,16.6,13.3,13
7520,8.8,.114,Marquette University,.111,24787,855,.763,Maurice Lucas,.473,13.4,14,0.1,2.3,14.4,CHI,12339,1987,14,29.0,58.7,14
760,3.5,.062,University of Missouri,,4138,220,.797,Al Eberhard,.433,-0.6,4,-2.5,0.8,6.8,DET,1490,175,15,18.8,5.3,15
747,3.8,.079,"California State University, Long Beach",,2856,197,.667,Cliff Pondexter,.416,-0.2,3,-2.3,1.1,3.9,CHI,778,218,16,14.5,4.7,16
215,1.5,.034,"California State University, Long Beach",,1493,146,.732,Glenn McDonald,.400,-1.1,3,-5.0,0.7,4.2,BOS,609,99,17,10.2,1.1,17
407,1.7,.054,University of Notre Dame,,4724,241,.713,Gary Brokaw,.446,-0.7,4,-2.6,3.0,8.0,MIL,1928,715,18,19.6,5.3,18
30,0.6,.004,University of Dayton,,538,54,1.000,Don Smith,.408,-0.7,1,-7.2,0.9,5.2,PHI,283,47,19,10.0,0.0,19
1778,4.1,.071,Vanderbilt University,.300,10155,434,.814,Jan Van Breda Kolff,.439,3.3,9,-0.7,1.9,6.0,POR,2596,815,20,23.4,15.1,20
3037,4.5,.126,University of Pittsburgh,.274,18412,671,.830,Billy Knight,.506,11.3,11,0.4,2.1,15.7,LAL,10561,1435,21,27.4,48.5,21
7267,9.4,.101,Tennessee State University,1.000,25141,772,.662,Truck Robinson,.483,7.9,11,-0.8,1.7,15.5,WSB,11988,1348,22,32.6,52.7,22
244,1.7,.029,University of Texas at El Paso,1.000,1346,147,.510,Gus Bailey,.406,-0.1,5,-2.4,1.1,2.6,HOU,389,168,23,9.2,0.8,23
144,1.9,.052,University of Tennessee,,506,76,.778,Len Kosmalski,.398,-0.2,2,-3.3,0.7,1.4,KCO,110,53,24,6.7,0.6,24
5088,6.9,.152,Gardner-Webb University,.175,21828,739,.748,John Drew,.470,17.7,11,1.2,1.7,20.7,ATL,15291,1224,25,29.5,68.9,25
1169,5.2,.079,"California State University, Long Beach",,6058,224,.739,Leonard Gray,.469,2.2,3,-0.6,2.2,10.8,SEA,2408,490,26,27.0,9.9,26
214,1.9,.044,Jacksonville University,,1838,115,.759,Leon Benbow,.394,-0.2,2,-2.5,1.6,5.5,CHI,628,183,27,16.0,1.7,27
1470,4.1,.082,Grambling State University,,7671,356,.760,Aaron James,.481,-1.7,5,-2.9,1.0,10.8,NOJ,3829,370,28,21.5,13.1,28
1978,3.0,.103,University of San Francisco,.253,19166,659,.779,Phil Smith,.476,9.2,9,-0.1,3.9,15.1,GSW,9924,2561,29,29.1,41.1,29
31,0.6,.001,Syracuse University,,267,50,.667,Dennis DuVal,.361,-0.1,2,-3.5,0.7,1.9,WSB,96,34,30,5.3,0.0,30
624,3.0,.051,Syracuse University,,2899,210,.682,Fred Saunders,.443,-0.7,4,-2.9,1.1,5.3,PHO,1107,224,31,13.8,3.1,31
37,0.8,.034,Virginia Commonwealth University,,401,47,.550,Jesse Dark,.471,-0.4,1,-6.0,0.6,3.6,NYK,170,30,32,8.5,0.3,32
894,2.1,.065,University of Arizona,,10827,426,.748,Eric Money,.494,2.2,6,-1.2,3.8,12.2,DET,5211,1623,33,25.4,14.8,33
82,1.0,.028,Miami University,,1162,82,.812,Phil Lumpkin,.424,-1.1,2,-5.8,2.7,3.3,POR,272,225,34,14.2,0.7,34
511,1.5,.032,Providence College,.500,4539,347,.768,Kevin Stacom,.417,-3.2,6,-4.7,1.5,5.1,BOS,1781,524,35,13.1,3.1,35
,,,University of Maryland Eastern Shore,,,,,Rubin Collins,,,,,,,POR,,,36,,,36
145,1.5,.047,University of Arizona,,1213,99,.820,Connie Norman,.439,-0.9,3,-4.9,0.9,6.0,PHI,595,94,37,12.3,1.2,37
1686,2.6,.099,State University of West Georgia,.227,15036,658,.762,Foots Walker,.435,10.5,10,0.8,4.7,6.4,CLE,4199,3111,38,22.9,31.0,38
2206,4.0,.070,University of San Francisco,.205,10114,550,.717,Kevin Restani,.486,0.2,8,-1.9,1.4,6.2,CLE,3386,747,39,18.4,14.8,39
3607,4.6,.159,Eastern Michigan University,.297,26536,791,.844,George Gervin,.511,23.3,14,1.5,2.8,26.2,PHO,20708,2214,40,33.5,88.1,40
,,,Iowa State University,,,,,Robert Wilson,,,,,,,HOU,,,41,,,41
3639,5.0,.077,Hardin-Simmons University,.000,13182,725,.647,Harvey Catchings,.435,6.4,11,-0.1,0.8,3.2,PHI,2335,608,42,18.2,21.2,42
6,1.2,-.218,University of North Carolina,,40,5,.500,Darrell Elston,.143,-0.1,2,-15.4,0.4,1.0,ATL,5,2,43,8.0,-0.2,43
608,4.2,.058,University of Maryland Eastern Shore,,2798,145,.633,Tal Skinner,.434,-0.4,2,-2.6,1.0,4.6,SEA,660,152,44,19.3,3.4,44
1592,4.7,.059,University of Wisconsin,,5719,341,.333,Kim Hughes,.449,3.6,6,0.5,0.9,2.7,BUF,932,319,45,16.8,7.1,45
,,,University of Texas-Pan American,,,,,Bruce King,,,,,,,NOJ,,,46,,,46
36,1.5,.119,Purdue University,,121,24,.818,Frank Kendrick,.403,0.0,1,-1.6,0.3,3.3,GSW,80,6,47,5.0,0.3,47
,,,Northern Illinois University,,,,,Jim Bradley,,,,,,,LAL,,,48,,,48
814,5.6,.069,Winston-Salem State University,,1882,146,.475,Earl Williams,.432,0.1,4,-1.7,0.9,4.5,PHO,664,126,49,12.9,2.7,49
,,,Hutchinson Community College,,,,,Rudy Jackson,,,,,,,NYK,,,50,,,50
,,,New Mexico State University,,,,,Roland Grant,,,,,,,DET,,,51,,,51
167,1.2,.053,Wichita State University,,1498,143,.773,Bobby Wilson,.426,-0.9,4,-4.3,0.8,5.5,CHI,792,110,52,10.5,1.7,52
,,,"California State University, Long Beach",,,,,Roscoe Pondexter,,,,,,,BOS,,,53,,,53
,,,Oral Roberts University,,,,,Greg McDougald,,,,,,,MIL,,,54,,,54
,,,Jacksonville University,,,,,Butch Taylor,,,,,,,PHI,,,55,,,55
6465,7.2,.113,Aurora University,.165,25005,904,.800,Mickey Johnson,.449,21.9,12,1.5,3.0,14.1,POR,12748,2677,56,27.7,58.6,56
,,,University of Connecticut,,,,,James Foster,,,,,,,CLE,,,57,,,57
,,,Indiana University of Pennsylvania,,,,,Randy Allen,,,,,,,PHO,,,58,,,58
,,,University of Texas at Austin,,,,,Larry Robinson,,,,,,,HOU,,,59,,,59
,,,University of Cincinnati,,,,,Lloyd Batts,,,,,,,KCO,,,60,,,60
,,,Louisiana State University,,,,,Ed Palubinskas,,,,,,,ATL,,,61,,,61
,,,University of Maryland Eastern Shore,,,,,William Gordon,,,,,,,SEA,,,62,,,62
