trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
2939,6.5,.072,University of Texas at El Paso,,9455,454,.684,Jim Barnes,.429,,7,,0.8,8.8,NYK,3997,377,1,20.8,14.2,3
2367,5.1,.083,Arizona State University,,13874,468,.634,Joe Caldwell,.459,,6,,2.7,15.2,DET,7127,1257,2,29.6,23.9,4
92,2.1,.067,Ohio State University,,350,44,.716,Gary Bradds,.410,,2,,0.5,3.3,BAL,144,20,3,8.0,0.5,5
4613,8.8,.078,University of Texas-Pan American,,13783,522,.722,Luke Jackson,.415,,8,,1.6,9.9,PHI,5170,818,4,26.4,22.3,6
3427,4.3,.123,Duke University,,24574,804,.814,Jeff Mullins,.463,0.8,12,-1.2,3.8,16.2,STL,13017,3023,5,30.6,62.8,7
100,1.9,.017,New York University,,507,52,.714,Barry Kramer,.339,,1,,0.8,3.6,SFW,186,41,6,9.8,0.2,8
4756,6.0,.097,Oregon State University,,13723,789,.764,Mel Counts,.435,0.8,12,-0.5,1.4,8.3,BOS,6516,1100,7,17.4,27.7,9
8414,12.9,.156,Grambling State University,,23073,650,.747,Willis Reed,.476,0.3,10,0.5,1.8,18.7,NYK,12183,1186,8,35.5,74.9,10
50,2.1,-.210,Loyola University of Chicago,,114,24,.429,Les Hunter,.281,,1,,0.5,1.8,DET,42,11,9,4.8,-0.5,11
12357,9.9,.110,Creighton University,,34989,1254,.673,Paul Silas,.432,8.5,16,0.2,2.1,9.4,STL,11782,2572,10,27.9,79.9,12
,,,University of New Mexico,,,,,Ira Harge,,,,,,,PHI,,,11,,,13
83,1.8,-.001,University of Kentucky,,357,45,.827,Cotton Nash,.324,,1,,0.4,3.0,LAL,137,19,12,7.9,0.0,14
1804,2.4,.012,Bowling Green State University,,20213,742,.830,Howard Komives,.388,-0.8,10,-5.8,4.0,10.2,NYK,7550,2941,13,27.2,5.0,15
61,1.1,.078,Oklahoma City University,,631,54,.833,Bud Koper,.440,,1,,0.8,4.6,SFW,247,43,14,11.7,1.0,16
,,,University of Dayton,,,,,Bill Chmielewski,,,,,,,CIN,,,15,,,17
113,1.5,.138,University of Cincinnati,,681,76,.832,Ron Bonham,.391,,2,,0.4,6.3,BOS,478,30,16,9.0,2.0,18
,,,University of Pittsburgh,,,,,Brian Generalovich,,,,,,,NYK,,,17,,,19
1394,2.3,.049,Villanova University,,14420,607,.800,Wali Jones,.409,-0.2,11,-6.6,3.2,10.1,DET,6140,1947,18,23.8,14.9,20
5615,7.4,.092,University of Evansville,,25750,755,.722,Jerry Sloan,.427,5.1,11,1.3,2.5,14.0,BAL,10571,1925,19,34.1,49.5,21
241,2.5,.055,University of Toledo,,2235,95,.815,Larry Jones,.400,0.3,8,-1.5,2.8,9.0,PHI,854,270,20,23.5,2.5,22
,,,Stanford University,,,,,Tom Dose,,,,,,,LAL,,,21,,,23
,,,Arizona State University,,,,,Arthur Becker,,,,,,,STL,,,22,,,24
3161,5.5,.037,Drake University,,12221,580,.771,McCoy McLemore,.394,,8,,1.3,8.8,SFW,5130,733,23,21.1,9.5,25
22,0.9,.036,Saint Joseph's University,,317,24,.810,Steve Courtin,.408,,1,,0.9,4.2,CIN,101,22,24,13.2,0.2,26
260,3.5,.128,Providence College,,771,74,.595,John Thompson,.410,,2,,0.3,3.5,BOS,262,19,25,10.4,2.1,27
746,2.5,.058,St. Bonaventure University,,5047,297,.595,Freddie Crawford,.446,,5,,2.1,6.8,NYK,2031,610,26,17.0,6.1,28
3109,5.2,.092,University of Colorado,,10027,597,.674,Jim Davis,.461,1.1,8,0.1,1.2,6.7,DET,3997,739,27,16.8,19.2,29
,,,University of Northern Iowa,,,,,Pete Spoden,,,,,,,BAL,,,28,,,30
,,,La Salle University,,,,,Frank Corace,,,,,,,PHI,,,29,,,31
2151,3.9,.094,University of Dayton,,6866,551,.662,Hank Finkel,.449,-0.7,9,-4.9,0.8,5.1,LAL,2790,426,30,12.5,13.5,32
,,,Kansas State University,,,,,Willie Murrell,,,,,,,STL,,,31,,,33
,,,Southern Methodist University,,,,,Gene Elmore,,,,,,,SFW,,,32,,,34
8019,10.3,.138,New York University,,24330,776,.741,Happy Hairston,.478,4.5,11,1.6,1.6,14.8,CIN,11505,1268,33,31.4,70.0,35
2296,9.9,.082,Bradley University,,6365,231,.686,Joe Strawder,.426,,3,,1.1,8.6,BOS,1977,245,34,27.6,10.8,36
,,,Canisius College,,,,,Tony Gennari,,,,,,,NYK,,,35,,,37
,,,University of Toledo,,,,,Ray Wolford,,,,,,,DET,,,36,,,38
,,,Texas A&M University,,,,,Bennie Lennox,,,,,,,BAL,,,37,,,39
,,,Westminster College of Pennsylvania,,,,,Lou Skurcenski,,,,,,,PHI,,,38,,,40
,,,University of North Texas,,,,,John Savage,,,,,,,LAL,,,39,,,41
3546,6.3,.095,Seattle University,,12296,559,.693,John Tresvant,.451,,9,,1.4,9.2,STL,5118,806,40,22.0,24.4,42
,,,Kansas State University,,,,,Roger Suttner,,,,,,,SFW,,,41,,,43
,,,University of Memphis,,,,,George Kirk,,,,,,,CIN,,,42,,,44
,,,Seton Hall University,,,,,Nick Werkman,,,,,,,BOS,,,43,,,45
,,,Western Carolina University,,,,,Tom Lavelle,,,,,,,NYK,,,44,,,46
,,,Rice University,,,,,Larry Phillips,,,,,,,DET,,,45,,,47
,,,Tennessee State University,,,,,Bobby Joe Edmonds,,,,,,,BAL,,,46,,,48
,,,Yale University,,,,,Ricky Kaminsky,,,,,,,PHI,,,47,,,49
,,,Utah State University,,,,,Troy Collier,,,,,,,LAL,,,48,,,50
,,,Virginia State University,,,,,Ernest Brock,,,,,,,STL,,,49,,,51
,,,University of Missouri,,,,,Ray Carey,,,,,,,SFW,,,50,,,52
,,,Wittenberg University,,,,,Al Thresher,,,,,,,CIN,,,51,,,53
,,,Bradley University,,,,,Levern Tart,,,,,,,BOS,,,52,,,54
1593,2.8,.036,DePaul University,,11451,566,.690,Em Bryant,.410,,8,,3.0,6.6,NYK,3722,1700,53,20.2,8.6,55
,,,Ohio University,,,,,Jerry Jackson,,,,,,,DET,,,54,,,56
,,,Loyola University of Chicago,,,,,Ron Miller,,,,,,,BAL,,,55,,,57
,,,University of Dayton,,,,,Gordon Hatton,,,,,,,PHI,,,56,,,58
,,,University of Portland,,,,,Steve Anstett,,,,,,,LAL,,,57,,,59
,,,North Carolina Agricultural and Technical State University,,,,,Maurice McHartley,,,,,,,STL,,,58,,,60
,,,University of San Francisco,,,,,David Lee,,,,,,,SFW,,,59,,,61
,,,Loyola University of Chicago,,,,,Vic Rouse,,,,,,,CIN,,,60,,,62
,,,Northwestern University,,,,,Rich Falk,,,,,,,BOS,,,61,,,63
,,,Lewis and Clark College,,,,,Jim Boutin,,,,,,,NYK,,,62,,,64
,,,Rockhurst University,,,,,Ralph Telken,,,,,,,DET,,,63,,,65
,,,University of Tennessee,,,,,Danny Schultz,,,,,,,BAL,,,64,,,66
,,,Xavier University,,,,,Bob Pelkington,,,,,,,PHI,,,65,,,67
,,,Duke University,,,,,Jay Buckley,,,,,,,LAL,,,66,,,68
,,,Rice University,,,,,Kendall Rhine,,,,,,,STL,,,67,,,69
,,,Santa Clara University,,,,,Bob Garibaldi,,,,,,,SFW,,,68,,,70
,,,Xavier University,,,,,Joe Gieger,,,,,,,CIN,,,69,,,71
,,,Butler University,,,,,Jeff Blue,,,,,,,BOS,,,70,,,72
,,,University of Wisconsin,,,,,Jack Brens,,,,,,,NYK,,,71,,,73
259,3.6,.008,South Dakota State University,,873,71,.648,Tom Black,.402,,1,,0.6,4.2,BAL,299,44,72,12.3,0.1,74
,,,Clemson University,,,,,Jim Brennan,,,,,,,PHI,,,73,,,75
,,,Western Kentucky University,,,,,Darel Carrier,,,,,,,STL,,,74,,,76
,,,University of California,,,,,Camden Wail,,,,,,,SFW,,,75,,,77
,,,West Texas A&M University,,,,,Scotty Pierce,,,,,,,CIN,,,76,,,78
,,,West Virginia University Institute of Technology,,,,,Charles Kelley,,,,,,,BOS,,,77,,,79
,,,Georgetown University,,,,,Jim Christy,,,,,,,NYK,,,78,,,80
,,,University of Tulsa,,,,,Bill Kusleika,,,,,,,BAL,,,79,,,81
,,,North Carolina Agricultural and Technical State University,,,,,Wally Briggs,,,,,,,PHI,,,80,,,82
,,,Virginia State University,,,,,Frank Stephens,,,,,,,STL,,,81,,,83
,,,Chapman University,,,,,Jeff Cartwright,,,,,,,SFW,,,82,,,84
,,,University of Memphis,,,,,Bob Neumann,,,,,,,CIN,,,83,,,85
,,,Clark University,,,,,Duane Corribeau,,,,,,,BOS,,,84,,,86
,,,Yale University,,,,,Dennis Lynch,,,,,,,NYK,,,85,,,87
,,,Winston-Salem State University,,,,,Fred Glover,,,,,,,BAL,,,86,,,88
,,,West Virginia University,,,,,Thomas Lowry,,,,,,,PHI,,,87,,,89
,,,Saint Mary of the Plains College,,,,,Gerald Govan,,,,,,,STL,,,88,,,90
,,,Abilene Christian University,,,,,Jim Reynolds,,,,,,,CIN,,,89,,,91
,,,Randolph-Macon College,,,,,Frank Kaminski,,,,,,,BAL,,,90,,,92
,,,Morris Brown College,,,,,Julius Myers,,,,,,,PHI,,,91,,,93
,,,Sir George Williams University,,,,,Warren Sutton,,,,,,,STL,,,92,,,94
,,,Youngstown State University,,,,,Fred Jones,,,,,,,CIN,,,93,,,95
,,,University of Utah,,,,,Doug Moon,,,,,,,BAL,,,94,,,96
,,,Georgetown College,,,,,Cecil Tuttle,,,,,,,STL,,,95,,,97
,,,Michigan State University,,,,,Pete Gent,,,,,,,BAL,,,96,,,98
,,,Virginia Military Institute,,,,,Bill Blair,,,,,,,STL,,,97,,,99
,,,Saint Francis University,,,,,Sandy Williams,,,,,,,BAL,,,98,,,100
,,,University of Detroit Mercy,,,,,Al Cech,,,,,,,STL,,,99,,,101
