trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
377,9.4,.147,University of Kentucky,.355,1165,40,.847,Karl-Anthony Towns,.527,1.1,1,1.6,1.2,15.7,MIN,629,49,1,29.1,3.6,1
150,3.9,.000,Ohio State University,.320,1026,38,.691,D'Angelo Russell,.406,0.1,1,-1.7,3.4,11.8,LAL,447,128,2,27.0,0.0,2
269,7.5,.036,Duke University,.000,1108,36,.701,Jahlil Okafor,.478,-0.6,1,-4.3,1.2,17.4,PHI,625,44,3,30.8,0.8,3
327,8.0,.114,,.328,1148,41,.858,Kristaps Porzingis,.424,0.7,1,0.5,1.1,13.9,NYK,568,46,4,28.0,2.7,4
59,1.7,.037,,.411,474,35,.913,Mario Hezonja,.437,-0.2,1,-3.6,1.0,4.4,ORL,154,34,5,13.5,0.4,5
117,4.9,.131,University of Kentucky,,424,24,.512,Willie Cauley-Stein,.628,0.3,1,1.1,0.3,5.0,SAC,120,8,6,17.7,1.2,6
87,3.5,-.129,,.244,724,25,.691,Emmanuel Mudiay,.308,-0.8,1,-6.2,5.6,10.4,DEN,260,140,7,29.0,-1.9,7
151,4.0,.029,University of Arizona,.307,848,38,.766,Stanley Johnson,.369,-0.2,1,-3.0,1.3,7.9,DET,301,50,8,22.3,0.5,8
139,3.8,.078,University of Wisconsin,.322,762,37,.761,Frank Kaminsky,.382,0.1,1,-1.4,1.4,7.1,CHO,261,50,9,20.6,1.2,9
164,4.6,.023,Duke University,.221,953,36,.660,Justise Winslow,.390,0.0,1,-1.9,1.2,5.4,MIA,194,42,10,26.5,0.4,10
59,3.5,.145,University of Texas at Austin,,231,17,.677,Myles Turner,.507,-0.1,1,-3.4,0.2,5.7,IND,97,4,11,13.6,0.7,11
144,4.0,.041,University of Kentucky,.440,614,36,.630,Trey Lyles,.407,-0.3,1,-4.0,0.7,3.9,UTA,142,24,12,17.1,0.5,12
61,1.8,.077,University of Kentucky,.458,627,34,.778,Devin Booker,.488,-0.1,1,-2.5,1.1,7.9,PHO,269,38,13,18.4,1.0,13
34,1.4,.192,Murray State University,.474,237,24,.833,Cameron Payne,.474,0.2,1,1.7,1.5,4.8,OKC,115,37,14,9.9,0.9,14
74,2.5,.052,University of Kansas,.404,396,30,.714,Kelly Oubre,.422,-0.3,1,-4.5,0.4,4.6,ATL,137,11,15,13.2,0.4,15
16,1.0,-.178,University of Louisville,.182,96,16,1.000,Terry Rozier,.261,-0.2,1,-12.0,0.6,1.7,BOS,27,9,16,6.0,-0.4,16
41,1.2,-.058,"University of Nevada, Las Vegas",.348,360,33,.857,Rashad Vaughn,.295,-0.4,1,-6.8,0.4,2.4,MIL,78,14,17,10.9,-0.4,17
1,0.3,.113,University of Wisconsin,,6,3,,Sam Dekker,,0.0,1,0.8,0.0,0.0,HOU,0,0,18,2.0,0.0,18
69,1.8,.005,University of Notre Dame,.146,611,38,.813,Jerian Grant,.360,-0.4,1,-4.5,2.3,5.1,WAS,192,89,19,16.1,0.1,19
6,0.8,-.190,University of Utah,.000,23,8,,Delon Wright,.125,-0.1,1,-11.0,0.5,0.3,TOR,2,4,20,2.9,-0.1,20
27,1.2,-.021,University of Virginia,.214,167,22,.500,Justin Anderson,.377,-0.1,1,-4.7,0.4,2.3,DAL,51,8,21,7.6,-0.1,21
82,4.8,.075,University of Arkansas,.333,263,17,.789,Bobby Portis,.464,-0.1,1,-3.0,0.6,7.2,CHI,122,11,22,15.5,0.4,22
116,6.1,.100,University of Arizona,.200,419,19,.667,Rondae Hollis-Jefferson,.481,0.4,1,1.8,1.4,5.2,POR,99,27,23,22.1,0.9,23
15,1.7,-.040,Duke University,.500,98,9,.600,Tyus Jones,.355,-0.1,1,-4.9,1.6,3.0,CLE,27,14,24,10.9,-0.1,24
0,0.0,-.341,Louisiana State University,,9,2,,Jarell Martin,.200,0.0,1,-23.1,0.0,1.0,MEM,2,0,25,4.5,-0.1,25
,,,,,,,,Nikola Milutinov,,,,,,,SAS,,,26,,,26
179,5.1,.091,University of Wyoming,.333,732,35,.714,Larry Nance Jr.,.538,0.0,1,-2.0,0.6,6.2,LAL,217,22,27,20.9,1.4,27
29,1.4,.048,Georgia State University,.255,241,21,.833,R.J. Hunter,.347,0.0,1,-2.7,0.4,3.2,BOS,67,9,28,11.5,0.2,28
,,,Syracuse University,,,,,Chris McCullough,,,,,,,BRK,,,29,,,29
,,,"University of California, Los Angeles",,,,,Kevon Looney,,,,,,,GSW,,,30,,,30
,,,,,,,,Cedi Osman,,,,,,,MIN,,,31,,,31
33,1.6,.078,University of Louisville,,209,21,.520,Montrezl Harrell,.634,-0.1,1,-3.3,0.3,3.1,HOU,65,6,32,10.0,0.3,32
3,1.0,.935,Louisiana State University,,6,3,1.000,Jordan Mickey,.667,0.1,1,33.5,0.3,2.3,BOS,7,1,33,2.0,0.1,33
30,2.0,-.057,Stanford University,.222,247,15,.818,Anthony Brown,.264,-0.3,1,-6.3,0.5,2.9,LAL,43,8,34,16.5,-0.3,34
