ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,PRO,Andy Tonkovich,Marshall University,1,17,,44,,10,.268,,.667,,2.6,,0.6,-0.4,,,
2,2,INJ,George Kok,University of Arkansas,,,,,,,,,,,,,,,,,
3,3,BOS,George Hauptfuhrer,Harvard University,,,,,,,,,,,,,,,,,
4,4,NYK,Dolph Schayes,New York University,15,996,29800,18438,11256,3072,.380,,.849,34.4,18.5,12.1,3.1,142.4,.192,,
5,5,CHS,Ed Mikan,DePaul University,6,323,2779,2163,1093,296,.320,,.756,20.3,6.7,5.5,0.9,3.6,.000,,
6,6,BLB,Walt Budko,Columbia University,4,253,1126,2037,684,471,.342,,.757,17.9,8.1,5.4,1.9,13.7,.065,,
7,7,STB,Robert Gale,Cornell University,,,,,,,,,,,,,,,,,
8,8,FTW,Ward Williams,Indiana University,1,53,,215,,82,.237,,.750,,4.1,,1.5,1.8,,,
9,9,MNL,Chuck Hanger,University of California,,,,,,,,,,,,,,,,,
10,10,ROC,Bobby Wanzer,Seton Hall University,9,568,12128,6924,1979,1830,.393,,.802,32.5,12.2,4.5,3.2,63.9,.156,,
11,11,PHW,Don Ray,Western Kentucky University,1,61,,364,,60,.323,,.698,,6.0,,1.0,1.3,,,
12,12,WSC,Jack Nichols,University of Washington,9,505,10703,5269,2793,965,.368,,.752,26.9,10.4,6.9,1.9,24.8,.061,,
13,,BLB,Jim Black,Occidental College,,,,,,,,,,,,,,,,,
14,,BLB,Darrell Brown,Humboldt State University,1,3,,4,,0,.333,,.000,,1.3,,0.0,0.0,,,
15,,BLB,Robert Carroll,West Virginia University,,,,,,,,,,,,,,,,,
16,,BLB,Jake Carter,East Texas State University,1,24,,82,,24,.307,,.679,,3.4,,1.0,0.7,,,
17,,BLB,Marvin English,Newberry College,,,,,,,,,,,,,,,,,
18,,BLB,Gene Fellmoth,Wittenberg University,,,,,,,,,,,,,,,,,
19,,BLB,J.W. Fullerton,Arkansas State University,,,,,,,,,,,,,,,,,
20,,BLB,Marshall Gemberling,Lebanon Valley College,,,,,,,,,,,,,,,,,
21,,BLB,Vince Hansen,Washington State University,,,,,,,,,,,,,,,,,
22,,BLB,Joe Holland,University of Kentucky,3,186,737,1084,510,327,.331,,.621,13.4,5.8,4.2,1.8,1.9,.037,,
23,,BLB,Wayne Jones,American International College,,,,,,,,,,,,,,,,,
24,,BLB,Dan Kraus,Georgetown University,1,13,,21,,7,.143,,.458,,1.6,,0.5,-0.3,,,
25,,BLB,Herb Krautblatt,Rider University,1,10,,13,,4,.222,,.455,,1.3,,0.4,-0.1,,,
26,,BLB,Paul Marcincin,Moravian College,,,,,,,,,,,,,,,,,
27,,BOS,Johnny Bach,Fordham University,1,34,,119,,25,.286,,.680,,3.5,,0.7,0.8,,,
28,,BOS,Norman Carey,Oregon State University,,,,,,,,,,,,,,,,,
29,,BOS,Bob Curran,College of the Holy Cross,,,,,,,,,,,,,,,,,
30,,BOS,Neil Dooley,Colgate University,,,,,,,,,,,,,,,,,
31,,BOS,Jack Hauser,University of Denver,,,,,,,,,,,,,,,,,
32,,BOS,Marshall Hawkins,University of Tennessee,1,39,,152,,51,.282,,.689,,3.9,,1.3,-0.1,,,
33,,BOS,Tom Kelly,New York University,1,27,,191,,38,.335,,.616,,7.1,,1.4,1.4,,,
34,,BOS,Murray Mitchell,Sam Houston State University,1,2,,2,,2,.333,,,,1.0,,1.0,0.0,,,
35,,BOS,Guinn Phillips,Texas Wesleyan University,,,,,,,,,,,,,,,,,
36,,BOS,Ray Wehde,Iowa State University,,,,,,,,,,,,,,,,,
37,,CHS,Hook Dillon,University of North Carolina,1,22,,36,,5,.182,,.727,,1.6,,0.2,-0.4,,,
38,,CHS,Whitey Kachan,DePaul University,1,52,,112,,37,.268,,.643,,2.2,,0.7,0.7,,,
39,,CHS,Mickey Marty,Loras College,,,,,,,,,,,,,,,,,
40,,CHS,Ed Mills,University of Wisconsin,,,,,,,,,,,,,,,,,
41,,CHS,Don Reagan,Murray State University,,,,,,,,,,,,,,,,,
42,,CHS,Joe Shafer,Wheaton College,,,,,,,,,,,,,,,,,
43,,CHS,Odie Spears,Western Kentucky University,8,479,8104,4161,1409,917,.366,,.763,22.9,8.7,4.0,1.9,27.6,.111,,
44,,CHS,Fred Weber,Siena College,,,,,,,,,,,,,,,,,
45,,FTW,Bobby Cook,University of Wisconsin,1,51,,587,,158,.358,,.790,,11.5,,3.1,1.9,,,
46,,FTW,Link Richmond,University of Arizona,,,,,,,,,,,,,,,,,
47,,FTW,Kenny Rollins,University of Kentucky,3,168,426,817,45,344,.309,,.750,9.9,4.9,1.0,2.0,4.2,.011,,
48,,FTW,Murray Wier,University of Iowa,1,56,,429,,107,.327,,.693,,7.7,,1.9,1.6,,,
49,,INJ,Reede Berg,University of Oregon,,,,,,,,,,,,,,,,,
50,,INJ,Jack Coleman,Louisiana State University,,,,,,,,,,,,,,,,,
51,,INJ,Alex Hannum,University of Southern California,8,516,7713,3078,2013,857,.354,,.629,19.8,6.0,4.5,1.7,11.4,.028,,
52,,INJ,Norman Kohler,University of North Carolina,,,,,,,,,,,,,,,,,
53,,INJ,Andy Kostecka,Georgetown University,1,21,,135,,14,.418,,.614,,6.4,,0.7,1.7,,,
54,,INJ,Ray Lumpp,New York University,5,300,2739,2462,391,654,.366,,.767,23.4,8.2,2.2,2.2,15.5,.067,,
55,,INJ,Bob Paxton,University of North Carolina,,,,,,,,,,,,,,,,,
56,,INJ,Jack Phoenix,University of Idaho,,,,,,,,,,,,,,,,,
57,,INJ,Dick Wehr,Rice University,1,9,,12,,3,.238,,.333,,1.3,,0.3,-0.1,,,
58,,MNL,Cliff Crandall,Oregon State University,,,,,,,,,,,,,,,,,
59,,MNL,Arnie Ferrin,University of Utah,3,178,,1037,271,278,.332,,.686,,5.8,4.0,1.6,7.6,,,
