trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
11607,9.8,.150,Georgetown University,.152,40594,1183,.740,Patrick Ewing,.504,40.9,17,2.0,1.9,21.0,NYK,24815,2215,1,34.3,126.4,1
5117,6.1,.092,University of Oklahoma,.000,23868,840,.760,Wayman Tisdale,.505,0.0,12,-2.0,1.3,15.3,IND,12878,1077,2,28.4,45.7,2
6063,7.5,.072,Creighton University,.048,21911,807,.721,Benoit Benjamin,.497,4.0,15,-1.3,1.3,11.4,LAC,9223,1070,3,27.2,32.7,3
5313,6.1,.091,Wichita State University,.261,25201,870,.718,Xavier McDaniel,.485,13.4,12,0.1,2.0,15.6,SEA,13606,1775,4,29.0,47.8,4
3856,4.9,.085,Southern Methodist University,.226,16409,784,.597,Jon Koncak,.470,8.0,11,-0.1,1.0,4.5,ATL,3520,785,5,20.9,29.2,5
3991,4.1,.062,University of Arkansas,.271,14712,965,.794,Joe Kleine,.453,-5.9,15,-3.6,0.6,4.8,SAC,4666,622,6,15.2,19.1,6
4034,4.1,.139,St. John's University,.384,32163,986,.865,Chris Mullin,.509,38.7,16,2.8,3.5,18.2,GSW,17911,3450,7,32.6,93.1,7
7023,6.2,.156,University of Washington,.384,33597,1136,.803,Detlef Schrempf,.491,35.0,16,2.1,3.4,13.9,DAL,15761,3833,8,29.6,109.5,8
12205,9.5,.107,Virginia Union University,.253,40280,1282,.761,Charles Oakley,.471,35.3,19,1.5,2.5,9.7,CLE,12417,3217,9,31.4,89.7,9
3952,5.0,.130,Villanova University,.000,15698,793,.765,Ed Pinckney,.535,11.2,12,0.8,0.9,6.8,PHO,5378,727,10,19.8,42.7,10
861,4.7,.062,University of Memphis,.167,2907,182,.746,Keith Lee,.451,0.0,3,-2.0,1.0,6.1,CHI,1114,178,11,16.0,3.7,11
101,1.7,-.022,Wake Forest University,.000,625,60,.721,Kenny Green,.412,-1.1,2,-9.3,0.3,4.4,WSB,265,16,12,10.4,-0.3,12
14968,10.1,.205,Louisiana Tech University,.274,54852,1476,.742,Karl Malone,.516,102.5,19,5.4,3.6,25.0,UTA,36928,5248,13,37.2,234.6,13
113,1.7,-.029,Loyola University of Chicago,.176,866,68,.583,Alfredrick Hughes,.409,-1.0,1,-6.5,0.9,5.2,SAS,356,61,14,12.7,-0.5,14
3006,5.7,.080,University of Oregon,.257,11409,532,.767,Blair Rasmussen,.472,-3.1,8,-3.1,0.9,9.6,DEN,5119,467,15,21.4,19.0,15
2148,3.0,.087,St. John's University,.139,9740,720,.787,Bill Wennington,.459,-2.7,13,-3.1,0.6,4.6,DAL,3301,440,16,13.5,17.7,16
413,1.8,.009,Indiana University,,1966,235,.608,Uwe Blab,.433,-1.4,5,-4.8,0.4,2.1,DAL,505,102,17,8.4,0.4,17
2203,2.2,.118,McNeese State University,.382,35139,1018,.843,Joe Dumars,.460,19.3,14,0.2,4.5,16.1,DET,16401,4612,18,34.5,86.2,18
365,1.8,.053,University of Tulsa,.050,2840,207,.842,Steve Harris,.434,-1.2,5,-3.7,1.1,7.0,HOU,1440,238,19,13.7,3.1,19
819,2.1,.069,Michigan State University,.182,7527,396,.863,Sam Vincent,.449,-0.9,7,-2.5,3.9,7.8,BOS,3106,1543,20,19.0,10.9,20
3314,6.4,.074,University of South Alabama,.094,13541,515,.654,Terry Catledge,.485,-1.0,8,-2.3,0.9,12.7,PHI,6520,459,21,26.3,20.9,21
1317,3.0,.060,Louisiana State University,.226,8379,443,.749,Jerry Reynolds,.418,3.5,8,-0.3,2.0,9.1,MIL,4036,904,22,18.9,10.5,22
9473,7.4,.131,Oregon State University,.254,36552,1278,.734,A.C. Green,.494,22.2,16,0.4,1.1,9.6,LAL,12331,1400,23,28.6,99.5,23
3872,3.0,.150,University of Wisconsin-Stevens Point,.386,35354,1274,.836,Terry Porter,.463,35.9,17,2.0,5.6,12.2,POR,15586,7160,24,27.8,110.4,24
422,2.2,.018,Canisius College,.000,1890,194,.617,Mike Smrek,.431,-1.4,7,-5.0,0.3,2.9,POR,554,49,25,9.7,0.7,25
136,1.6,.016,Georgetown University,.000,860,84,.813,Bill Martin,.449,-0.7,3,-5.1,0.7,4.7,IND,397,58,26,10.2,0.3,26
30,0.7,-.026,Villanova University,.111,461,45,.514,Dwayne McClain,.383,-0.3,1,-4.8,1.5,3.5,IND,157,67,27,10.2,-0.3,27
243,3.8,.044,Michigan State University,,815,64,.435,Ken Johnson,.528,-0.6,1,-5.0,0.3,4.1,CHI,263,19,28,12.7,0.8,28
53,1.4,-.011,University of South Carolina,,248,38,.524,Mike Brittain,.500,-0.3,2,-6.6,0.2,1.7,SAS,63,7,29,6.5,-0.1,29
,,,Virginia Commonwealth University,,,,,Calvin Duncan,,,,,,,CLE,,,30,,,30
2647,4.2,.051,University of Bridgeport,.210,11698,624,.561,Manute Bol,.407,4.2,10,-0.6,0.3,2.6,WSB,1599,171,31,18.7,12.3,31
240,3.5,-.007,Santa Clara University,.000,842,68,.561,Nick Vanos,.383,-0.5,2,-4.2,0.9,3.3,PHO,222,59,32,12.4,-0.1,32
62,1.5,.041,University of Iowa,.000,384,42,.696,Greg Stokes,.445,-0.1,2,-3.5,0.4,3.1,PHI,130,17,33,9.1,0.3,33
,,,Wichita State University,,,,,Aubrey Sherrod,,,,,,,CHI,,,34,,,34
5046,4.7,.098,DePaul University,.299,27657,1065,.791,Tyrone Corbin,.456,19.2,16,0.8,1.8,9.2,SAS,9766,1894,35,26.0,56.5,35
0,0.0,.309,Georgia Institute of Technology,,5,1,1.000,Yvon Joseph,,0.0,1,-0.9,0.0,2.0,NJN,2,0,36,5.0,0.0,36
524,2.9,.107,Long Island University,.250,2376,180,.666,Carey Scurry,.480,3.0,3,3.0,1.1,4.7,UTA,847,192,37,13.2,5.3,37
28,1.2,-.144,,.000,146,24,.364,Fernando Martin,.290,-0.2,1,-8.7,0.4,0.9,NJN,22,9,38,6.1,-0.4,38
,,,University of Illinois at Urbana-Champaign,,,,,George Montgomery,,,,,,,POR,,,39,,,39
1525,4.1,.075,Oral Roberts University,.538,5982,375,.665,Mark Acres,.506,0.0,6,-2.0,0.5,3.6,DAL,1343,180,40,16.0,9.3,40
39,1.1,.086,North Carolina State University,,273,36,.667,Lorenzo Charles,.557,-0.1,1,-3.6,0.2,3.4,ATL,122,8,41,7.6,0.5,41
,,,University of Alabama,,,,,Bobby Lee Hurt,,,,,,,GSW,,,42,,,42
2,1.0,.157,Iowa State University,,6,2,,Barry Stevens,.500,0.0,1,-4.9,0.0,1.0,DEN,2,0,43,3.0,0.0,43
3,0.8,-.355,Bradley University,.000,17,4,,Voise Winters,.231,-0.1,1,-25.5,0.0,1.5,PHI,6,0,44,4.3,-0.1,44
5998,6.8,.129,Tulane University,.105,26327,887,.726,Hot Rod Williams,.480,25.1,13,1.8,1.8,11.0,CLE,9784,1592,45,29.7,70.5,45
253,1.9,.070,University of Maryland,.231,1429,130,.744,Adrian Branch,.455,-0.3,4,-2.9,0.7,6.4,CHI,834,96,46,11.0,2.1,46
2646,2.9,.062,University of Tennessee at Chattanooga,.316,26084,900,.745,Gerald Wilkins,.450,5.6,13,-1.1,3.0,13.0,NYK,11736,2697,47,29.0,33.9,47
,,,DePaul University,,,,,Kenny Patterson,,,,,,,IND,,,48,,,48
54,3.4,-.045,"University of California, Los Angeles",.000,145,16,.429,Brad Wright,.412,-0.3,2,-10.3,0.1,3.4,GSW,54,1,49,9.1,-0.1,49
,,,San Diego State University,,,,,Leonard Allen,,,,,,,DAL,,,50,,,50
,,,University of South Florida,,,,,Charles Bradley,,,,,,,SAC,,,51,,,51
,,,Houston Baptist University,,,,,Anicet Lavodrama,,,,,,,LAC,,,52,,,52
,,,Virginia Commonwealth University,,,,,Rolando Lamb,,,,,,,SEA,,,53,,,53
3711,3.7,.090,Mercer University,.223,22257,994,.784,Sam Mitchell,.447,-1.5,13,-2.3,1.1,8.7,HOU,8636,1089,54,22.4,41.7,54
,,,University of Tulsa,,,,,Herb Johnson,,,,,,,CLE,,,55,,,55
,,,Lamar University,,,,,Jerry Everett,,,,,,,PHO,,,56,,,56
,,,University of Iowa,,,,,Michael Payne,,,,,,,HOU,,,57,,,57
,,,Creighton University,,,,,Vernon Moore,,,,,,,WSB,,,58,,,58
98,0.9,.000,University of Dayton,.341,1410,112,.781,Sedric Toney,.365,-1.5,5,-6.1,2.1,3.7,ATL,409,235,59,12.6,0.0,59
,,,Northwestern University,,,,,Andre Goode,,,,,,,DET,,,60,,,60
8,0.9,-.047,Virginia Polytechnic Institute and State University,,72,9,.500,Perry Young,.286,-0.1,1,-6.0,0.8,1.4,POR,13,7,61,8.0,-0.1,61
,,,"University of California, Los Angeles",,,,,Nigel Manuel,,,,,,,NJN,,,62,,,62
6,0.3,.041,Santa Clara University,,75,20,.714,Harold Keeling,.436,0.0,1,-3.2,0.5,2.2,DAL,44,10,63,3.8,0.1,63
,,,University of Evansville,,,,,Richie Johnson,,,,,,,DET,,,64,,,64
,,,Southern Illinois University,,,,,Ken Perry,,,,,,,WSB,,,65,,,65
1900,2.9,.110,Boston College,.332,20446,653,.849,Michael Adams,.415,18.0,11,1.5,6.4,14.7,SAC,9621,4209,66,31.3,46.9,66
,,,La Salle University,,,,,Steve Black,,,,,,,PHI,,,67,,,67
,,,University of Florida,,,,,Eugene McDowell,,,,,,,MIL,,,68,,,68
2762,4.4,.069,George Washington University,.125,10961,626,.690,Mike Brown,.455,-1.4,11,-2.5,0.7,5.0,CHI,3130,424,69,17.5,15.9,69
,,,Loyola University of Chicago,,,,,Andre Battle,,,,,,,BOS,,,70,,,70
,,,University of Texas at El Paso,,,,,Luster Goodwin,,,,,,,GSW,,,71,,,71
,,,Clemson University,,,,,Vince Hamilton,,,,,,,IND,,,72,,,72
51,1.0,-.044,Eastern Michigan University,.188,496,50,.600,Fred Cofield,.395,-0.5,2,-5.9,1.7,3.4,NYK,169,86,73,9.9,-0.5,73
,,,Arizona State University,,,,,Jim Deines,,,,,,,LAC,,,74,,,74
22,1.0,-.043,University of Colorado,.000,90,22,.500,Alex Stivrins,.465,-0.2,2,-8.9,0.2,2.0,SEA,44,4,75,4.1,-0.1,75
,,,Louisiana Tech University,,,,,Willie Simmons,,,,,,,SAC,,,76,,,76
3436,7.3,.200,,.328,11375,470,.786,Arvydas Sabonis,.500,16.6,7,3.8,2.1,12.0,ATL,5629,964,77,24.2,47.3,77
,,,Temple University,,,,,Granger Hall,,,,,,,PHO,,,78,,,78
37,1.1,.134,Old Dominion University,.100,258,33,.824,Mark Davis,.480,0.1,1,-1.0,0.4,3.8,CLE,127,14,79,7.8,0.7,79
,,,Samford University,,,,,Craig Beard,,,,,,,CHI,,,80,,,80
,,,"University of Nevada, Las Vegas",,,,,Richie Adams,,,,,,,WSB,,,81,,,81
204,1.3,.030,University of Wisconsin,.291,1798,160,.730,Scott Roth,.375,-1.0,3,-4.2,1.2,4.7,SAS,751,186,82,11.2,1.1,82
184,0.8,.014,Wake Forest University,.257,2357,239,.761,Delaney Rudd,.413,-1.9,4,-5.3,2.2,3.4,UTA,816,519,83,9.9,0.7,83
824,1.3,.079,Rutgers University,.273,10910,612,.793,John Battle,.464,-3.3,10,-3.2,2.1,8.7,ATL,5338,1257,84,17.8,17.9,84
,,,Oklahoma State University,,,,,Joe Atkinson,,,,,,,POR,,,85,,,85
,,,Texas Tech University,,,,,Bubba Jennings,,,,,,,DAL,,,86,,,86
1742,2.1,.095,North Carolina State University,.314,20288,814,.848,Spud Webb,.452,5.7,12,-0.9,5.3,9.9,DET,8072,4342,87,24.9,40.2,87
,,,University of Tennessee,,,,,Mike Brooks,,,,,,,HOU,,,88,,,88
147,2.5,.112,University of Arizona,,583,58,.425,Pete Williams,.602,0.0,2,-1.9,0.3,2.6,DEN,153,15,89,10.1,1.4,89
175,2.3,.095,University of Texas at San Antonio,.226,1082,77,.764,Derrick Gervin,.435,-0.7,2,-4.6,0.5,8.8,PHI,676,38,90,14.1,2.1,90
8,2.7,.627,North Carolina State University,,7,3,,Cozell McQueen,1.000,0.0,1,2.5,0.0,2.0,MIL,6,0,91,2.3,0.1,91
0,0.0,-.281,University of South Alabama,.000,18,3,,Dexter Shouse,.000,-0.1,1,-15.0,0.7,0.0,LAL,0,2,92,6.0,-0.1,92
,,,Liberty University,,,,,Cliff Weber,,,,,,,BOS,,,93,,,93
,,,University of Richmond,,,,,Kelvin Johnson,,,,,,,IND,,,94,,,94
,,,University of Missouri,,,,,Greg Cavener,,,,,,,GSW,,,95,,,95
,,,Virginia Commonwealth University,,,,,Mike Schlegel,,,,,,,NYK,,,96,,,96
,,,Illinois State University,,,,,Lou Stefanovic,,,,,,,SEA,,,97,,,97
,,,Saint Joseph's University,,,,,Bob Lojewski,,,,,,,SAC,,,98,,,98
,,,University of Southern California,,,,,Wayne Carlander,,,,,,,LAC,,,99,,,99
,,,Hampton University,,,,,Larry Hampton,,,,,,,ATL,,,100,,,100
,,,,,,,,Gunther Behnke,,,,,,,CLE,,,101,,,101
,,,Weber State University,,,,,Shawn Campbell,,,,,,,PHO,,,102,,,102
,,,University of Houston,,,,,Reid Gettys,,,,,,,CHI,,,103,,,103
,,,Florida State University,,,,,Dean Shaffer,,,,,,,WSB,,,104,,,104
,,,Canisius College,,,,,Ray Hall,,,,,,,UTA,,,105,,,105
,,,University of Southern California,,,,,Clayton Olivier,,,,,,,SAS,,,106,,,106
,,,Union College,,,,,James Anderson,,,,,,,POR,,,107,,,107
