trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
11463,13.5,.148,Seattle University,,33863,846,.780,Elgin Baylor,.431,,14,,4.3,27.4,MNL,23149,3650,1,40.0,104.2,2
907,4.8,.074,Indiana University,,3092,190,.794,Archie Dees,.402,,4,,0.7,8.1,CIN,1548,132,2,16.3,4.8,3
1950,4.6,.035,University of San Francisco,,8818,423,.814,Mike Farmer,.393,,7,,1.3,6.7,NYK,2816,550,3,20.8,6.3,4
31,1.9,-.030,University of North Carolina,,136,16,.560,Pete Brennan,.302,,1,,0.4,2.5,NYK,40,6,4,8.5,-0.1,5
4757,6.7,.041,University of Cincinnati,,15474,706,.697,Connie Dierking,.417,,10,,1.5,10.0,SYR,7094,1053,5,21.9,13.3,6
3891,5.2,.115,Oregon State University,,14665,750,.822,Dave Gambee,.420,,12,,1.0,10.6,STL,7935,757,6,19.6,35.1,7
262,4.5,.128,Texas Southern University,,708,58,.609,Bennie Swain,.406,,1,,0.5,4.6,BOS,265,29,7,12.2,1.9,8
278,3.4,.040,Morehead State University,,1094,82,.697,Steve Hamilton,.372,,2,,0.5,4.5,MNL,368,43,8,13.3,0.9,9
531,2.4,.003,University of Kentucky,,3666,225,.735,Vern Hatton,.344,,4,,1.4,5.5,CIN,1244,310,9,16.3,0.3,10
1884,5.2,.046,Bradley University,,6817,362,.665,Barney Cable,.420,,6,,1.1,6.6,DET,2372,381,10,18.8,6.5,11
,,,University of North Carolina,,,,,Joe Quigg,,,,,,,NYK,,,11,,,12
,,,West Virginia University,,,,,Lamar Sharrar,,,,,,,PHW,,,12,,,13
5665,5.0,.124,Marshall University,,39788,1122,.801,Hal Greer,.452,,15,,4.0,19.2,SYR,21586,4540,13,35.5,102.7,14
2449,5.1,.057,Oklahoma City University,,7870,479,.724,Hub Reed,.436,,7,,0.8,5.5,STL,2618,367,14,16.4,9.3,15
,,,Franciscan University of Steubenville,,,,,Jimmy Smith,,,,,,,BOS,,,15,,,16
616,5.2,.079,Niagara University,,1873,118,.695,Boo Ellis,.402,,2,,0.7,5.1,MNL,607,86,16,15.9,3.1,17
2234,4.7,.026,University of Dayton,,14791,474,.748,Bucky Bockhorn,.403,,7,,3.5,11.5,CIN,5430,1645,17,31.2,7.9,18
,,,Kansas State University,,,,,Roy DeWitz,,,,,,,DET,,,18,,,19
,,,Yale University,,,,,John Lee,,,,,,,NYK,,,19,,,20
,,,Ohio State University,,,,,Frank Howard,,,,,,,PHW,,,20,,,21
,,,University of Maryland,,,,,John Nacincik,,,,,,,SYR,,,21,,,22
7544,9.1,.083,Miami University,,21763,831,.640,Wayne Embry,.440,,11,,1.4,12.5,STL,10380,1194,22,26.2,37.8,23
,,,Fordham University,,,,,Jim Cunningham,,,,,,,BOS,,,23,,,24
,,,University of Minnesota,,,,,George Kline,,,,,,,MNL,,,24,,,25
,,,Drake University,,,,,Phil Murrell,,,,,,,CIN,,,25,,,26
,,,Western Kentucky University,,,,,Ralph Croswaite,,,,,,,DET,,,26,,,27
280,3.8,.015,University of Kentucky,,1685,73,.704,Johnny Cox,.421,,1,,1.9,7.8,NYK,573,142,27,23.1,0.5,28
,,,Rice University,,,,,Temple Tucker,,,,,,,PHW,,,28,,,29
0,0.0,.230,University of North Carolina,,7,1,,Tommy Kearns,1.000,,1,,0.0,2.0,SYR,2,0,29,7.0,0.0,30
,,,University of Pittsburgh,,,,,Julius Peques,,,,,,,STL,,,30,,,31
,,,Washington & Lee University,,,,,Don Flora,,,,,,,BOS,,,31,,,32
,,,Murray State University,,,,,Quitman Sullins,,,,,,,MNL,,,32,,,33
,,,University of Alabama,,,,,Jim Fulmer,,,,,,,CIN,,,33,,,34
,,,Saint Peter's College,,,,,Hank Morano,,,,,,,DET,,,34,,,35
,,,University of Dayton,,,,,Don Lane,,,,,,,NYK,,,35,,,36
2163,3.0,.065,University of Illinois at Urbana-Champaign,,22413,727,.732,Don Ohl,.434,,10,,3.1,15.9,PHW,11549,2243,36,30.8,30.2,37
,,,University of Arkansas,,,,,Fred Grim,,,,,,,SYR,,,37,,,38
,,,Southern Methodist University,,,,,Rick Herrsher,,,,,,,STL,,,38,,,39
,,,University of San Francisco,,,,,Gene Brown,,,,,,,BOS,,,39,,,40
,,,St. Francis College,,,,,Al Inniss,,,,,,,MNL,,,40,,,41
,,,Saint Francis University,,,,,Jim McClennan,,,,,,,CIN,,,41,,,42
1571,6.0,.078,Bradley University,,4977,263,.634,Shellie McMillon,.434,,4,,0.9,9.1,DET,2397,232,42,18.9,8.1,43
,,,University of Oklahoma,,,,,Joe King,,,,,,,NYK,,,43,,,44
,,,Duke University,,,,,Bucky Allen,,,,,,,PHW,,,44,,,45
,,,Saint Louis University,,,,,Jack Mimitz,,,,,,,SYR,,,45,,,46
,,,Iowa State University,,,,,John Crawford,,,,,,,STL,,,46,,,47
,,,Morehead State University,,,,,Dave Keleher,,,,,,,BOS,,,47,,,48
,,,Point Loma Nazarene University,,,,,Jim Bond,,,,,,,MNL,,,48,,,49
16,2.0,-.169,University of Cincinnati,,49,8,.700,Wayne Stevens,.158,,1,,0.5,1.6,CIN,13,4,49,6.1,-0.2,50
,,,Western Michigan University,,,,,Ed Blair,,,,,,,DET,,,50,,,51
,,,Western Kentucky University,,,,,Owen Lawson,,,,,,,NYK,,,51,,,52
,,,Temple University,,,,,Jay Norman,,,,,,,PHW,,,52,,,53
,,,University of Michigan,,,,,Pete Tillotson,,,,,,,SYR,,,53,,,54
,,,Ohio State University,,,,,Ken Sidle,,,,,,,STL,,,54,,,55
,,,Brandeis University,,,,,Rudy Fenderson,,,,,,,BOS,,,55,,,56
,,,Clemson University,,,,,Ed Brinkley,,,,,,,MNL,,,56,,,57
,,,Lafayette College,,,,,Bob Mantz,,,,,,,CIN,,,57,,,58
,,,Michigan State University,,,,,Jack Quiggle,,,,,,,DET,,,58,,,59
,,,University of Utah,,,,,Milt Kane,,,,,,,NYK,,,59,,,60
5,0.5,.048,Villanova University,,52,11,,Tom Brennan,.455,,1,,0.2,0.9,PHW,10,2,60,4.7,0.1,61
,,,Rockhurst University,,,,,Ruel Tucker,,,,,,,SYR,,,61,,,62
,,,University of Washington,,,,,Bruno Boin,,,,,,,STL,,,62,,,63
,,,University of Florida,,,,,Joe Hobbs,,,,,,,MNL,,,63,,,64
1019,3.8,.097,Thomas More College,,3380,265,.785,Larry Staverman,.465,,5,,0.9,4.7,CIN,1237,251,64,12.8,6.9,65
,,,North Dakota State University,,,,,Harry Marske,,,,,,,DET,,,65,,,66
,,,University of Notre Dame,,,,,John McCarthy,,,,,,,NYK,,,66,,,67
,,,University of Maryland,,,,,Nick Davis,,,,,,,PHW,,,67,,,68
,,,Temple University,,,,,Tink Van Patton,,,,,,,STL,,,68,,,69
,,,Gustavus Adolphus,,,,,Shorty Patterson,,,,,,,MNL,,,69,,,70
278,4.2,-.014,Kansas State University,,1037,66,.603,Jack Parr,.355,,1,,0.8,4.0,CIN,262,51,70,15.7,-0.3,71
,,,Loyola University New Orleans,,,,,Pete Gaudin,,,,,,,DET,,,71,,,72
,,,Michigan State University,,,,,Larry Hedden,,,,,,,PHW,,,72,,,73
,,,Coe College,,,,,James Purcell,,,,,,,STL,,,73,,,74
,,,University of Oregon,,,,,Hal Duffy,,,,,,,MNL,,,74,,,75
,,,Xavier University,,,,,Frank Tartaton,,,,,,,CIN,,,75,,,76
,,,Tennessee Technological University,,,,,Herb Merritt,,,,,,,DET,,,76,,,77
,,,Rockhurst University,,,,,Don Klein,,,,,,,STL,,,77,,,78
,,,University of Idaho,,,,,Gary Simmons,,,,,,,MNL,,,78,,,79
,,,Iowa State University,,,,,Don Medsker,,,,,,,CIN,,,79,,,80
,,,Alabama State University,,,,,Jim Dew,,,,,,,DET,,,80,,,81
265,4.1,.075,Tennessee State University,,740,65,.627,Joe Buckhalter,.451,,2,,0.7,5.8,STL,375,43,81,11.4,1.2,82
,,,"California State University, Fresno",,,,,Jerry Alcom,,,,,,,MNL,,,82,,,83
,,,University of Louisville,,,,,Jerry DuPont,,,,,,,CIN,,,83,,,84
,,,Duke University,,,,,Jim Newcomb,,,,,,,CIN,,,84,,,85
1580,2.2,.083,University of Kentucky,,18324,719,.836,Adrian Smith,.429,,10,,2.4,11.8,CIN,8482,1697,85,25.5,31.7,86
,,,University of Dayton,,,,,Jack McCarthy,,,,,,,CIN,,,86,,,87
,,,Miami University,,,,,John Powell,,,,,,,CIN,,,87,,,88
