trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
1891,2.8,.081,"California State University, Fresno",.354,19392,671,.729,Rafer Alston,.383,10.9,11,0.2,4.8,10.1,MIL,6799,3202,39,28.9,32.9,39
4,1.3,.280,,.250,15,3,1.000,Korleone Young,.500,0.0,1,6.0,0.3,4.3,DET,13,1,40,5.0,0.1,40
2902,3.9,.091,University of Rhode Island,.378,27618,747,.835,Cuttino Mobley,.433,15.3,11,0.2,2.7,16.0,HOU,11964,2015,41,37.0,52.2,41
2,0.4,-.289,University of Arizona,.000,19,5,,Miles Simon,.200,-0.1,1,-15.5,0.0,0.4,ORL,2,0,42,3.8,-0.1,42
1944,5.8,.085,Georgetown University,.000,5913,334,.534,Jahidi White,.510,-2.7,7,-3.8,0.2,5.9,WAS,1954,63,43,17.7,10.4,43
501,2.2,.055,University of California,.200,2275,230,.665,Sean Marks,.448,-1.7,11,-4.9,0.2,2.8,NYK,638,50,44,9.9,2.6,44
126,1.7,.072,"University of California, Los Angeles",.200,698,73,.692,Toby Bailey,.407,-0.3,2,-4.0,0.6,3.3,LAL,241,43,45,9.6,1.0,45
67,1.7,.114,Indiana University,.000,304,40,.778,Andrae Patterson,.455,0.1,2,-0.5,0.4,3.0,MIN,120,16,46,7.6,0.7,46
0,0.0,1.367,University of Rhode Island,1.000,3,1,.500,Tyson Wheeler,1.000,0.0,1,19.6,2.0,4.0,TOR,4,2,47,3.0,0.1,47
79,1.8,.028,University of South Carolina,.000,397,43,.787,Ryan Stack,.352,-0.3,2,-4.6,0.2,2.3,CLE,99,10,48,9.2,0.2,48
49,1.2,-.089,Texas Tech University,.167,624,42,.750,Cory Carr,.329,-1.1,1,-8.8,1.6,4.1,ATL,171,66,49,14.9,-1.2,49
,,,"California State University, Long Beach",,,,,Andrew Betts,,,,,,,CHH,,,50,,,50
,,,University of Oklahoma,,,,,Corey Brewer,,,,,,,MIA,,,51,,,51
133,1.6,.045,Eastern Michigan University,.190,687,82,.672,Derrick Dial,.372,-0.3,4,-3.5,0.8,3.1,SAS,253,63,52,8.4,0.6,52
1593,2.8,.092,Clemson University,.334,10895,570,.757,Greg Buckner,.450,5.8,10,0.1,1.3,5.0,DAL,2878,719,53,19.1,20.9,53
228,2.2,.080,"California State University, Fresno",.200,1233,103,.791,Tremaine Fowlkes,.409,0.0,4,-2.1,0.5,2.9,DEN,301,54,54,12.0,2.1,54
1060,2.1,.092,University of Iowa,.206,6502,507,.693,Ryan Bowen,.456,3.3,10,0.0,0.5,2.6,DEN,1319,250,55,12.8,12.4,55
47,1.6,-.025,"University of California, Los Angeles",.400,331,30,.556,J.R. Henderson,.365,-0.3,1,-6.1,0.7,3.2,VAN,97,22,56,11.0,-0.2,56
51,2.3,.071,Xavier University,,178,22,.667,Torraye Braggs,.475,-0.1,2,-4.1,0.3,2.1,UTA,46,7,57,8.1,0.3,57
175,1.7,.134,University of Michigan,.375,831,105,.740,Maceo Baston,.616,0.1,4,-1.3,0.2,2.7,CHI,286,26,58,7.9,2.3,58
