trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
8977,8.6,.151,Duke University,.100,34685,1041,.736,Elton Brand,.501,45.3,16,3.2,2.1,16.1,CHI,16757,2166,1,33.3,109.5,1
3215,5.6,.120,University of Maryland,.341,21632,576,.797,Steve Francis,.429,28.2,9,3.2,6.0,18.1,VAN,10446,3473,2,37.6,54.1,2
3183,3.8,.106,"University of California, Los Angeles",.320,28592,835,.711,Baron Davis,.409,34.1,13,2.7,7.2,16.1,CHH,13447,6025,3,34.2,63.1,3
8059,8.4,.115,University of Rhode Island,.312,32131,961,.693,Lamar Odom,.463,36.3,14,2.5,3.7,13.3,LAC,12781,3554,4,33.4,77.0,4
582,2.2,.047,,.340,3847,262,.763,Jonathan Bender,.417,-1.5,8,-3.5,0.6,5.5,TOR,1453,170,5,14.7,3.8,5
2602,4.0,.127,Miami University,.406,20052,651,.860,Wally Szczerbiak,.485,12.8,10,0.5,2.4,14.1,MIN,9195,1532,6,30.8,53.3,6
2852,3.1,.102,University of Connecticut,.346,29559,921,.852,Richard Hamilton,.449,10.5,14,-0.6,3.4,17.1,WAS,15708,3125,7,32.1,62.8,7
4761,3.7,.121,University of Utah,.218,40012,1282,.807,Andre Miller,.460,31.8,17,1.2,6.6,12.6,CLE,16204,8482,8,31.2,100.5,8
10101,8.7,.150,"University of Nevada, Las Vegas",.331,40097,1163,.810,Shawn Marion,.484,52.1,16,3.2,1.9,15.2,PHO,17700,2198,9,34.5,124.9,9
3075,2.5,.121,University of Arizona,.380,39159,1246,.845,Jason Terry,.445,34.1,17,1.4,4.2,14.6,ATL,18183,5200,10,31.4,98.6,10
159,1.3,.079,Duke University,.396,1738,119,.910,Trajan Langdon,.416,0.1,3,-1.9,1.3,5.4,CLE,647,152,11,14.6,2.9,11
36,2.4,-.130,Barton County Community College,,152,15,.625,Aleksandar Radojevic,.308,-0.3,2,-9.4,0.5,1.7,TOR,26,7,12,10.1,-0.4,12
4022,4.9,.128,Duke University,.324,23358,827,.822,Corey Maggette,.453,9.5,14,-0.4,2.1,16.0,SEA,13198,1696,13,28.2,62.2,13
93,0.7,-.034,Duke University,.255,1205,142,.714,William Avery,.330,-1.6,3,-7.2,1.4,2.7,MIN,379,199,14,8.5,-0.9,14
,,,,,,,,Frederic Weis,,,,,,,NYK,,,15,,,15
4387,4.6,.095,St. John's University,.342,31022,950,.716,Metta World Peace,.416,30.2,16,1.9,2.7,13.6,CHI,12918,2610,16,32.7,61.3,16
272,1.9,.061,Old Dominion University,.182,1383,142,.768,Cal Bowdler,.404,-0.9,3,-4.7,0.2,3.0,ATL,424,29,17,9.7,1.8,17
4061,4.7,.107,Xavier University,.349,23260,864,.820,James Posey,.410,18.8,12,1.2,1.6,8.6,DEN,7419,1413,18,26.9,51.6,18
210,1.3,.020,University of Minnesota,.333,1853,159,.710,Quincy Lewis,.397,-0.9,4,-4.0,0.6,3.6,UTA,567,96,19,11.7,0.8,19
897,3.1,.045,Georgia Institute of Technology,.317,6132,294,.756,Dion Glover,.411,-0.7,6,-2.4,1.5,8.2,ATL,2407,455,20,20.9,5.8,20
5248,6.9,.145,Texas State University,.130,15750,764,.615,Jeff Foster,.497,13.0,13,1.3,0.9,4.9,GSW,3747,703,21,20.6,47.5,21
4341,6.9,.086,University of New Mexico,.244,17306,632,.699,Kenny Thomas,.465,6.6,11,-0.5,1.5,9.3,HOU,5876,975,22,27.4,31.2,22
1975,3.1,.075,Augsburg College,.343,11682,630,.721,Devean George,.392,2.5,11,-1.2,0.9,5.6,LAL,3536,543,23,18.5,18.2,23
4352,5.5,.151,,.310,23916,797,.754,Andrei Kirilenko,.474,42.4,13,5.0,2.7,11.8,UTA,9431,2169,24,30.0,75.4,24
46,1.1,-.003,University of Miami,.333,261,43,.652,Tim James,.329,-0.3,3,-7.1,0.3,1.6,MIA,68,11,25,6.1,0.0,25
373,1.9,.028,University of Pittsburgh,.321,3789,199,.726,Vonteego Cummings,.383,-0.9,3,-2.9,2.7,6.9,IND,1381,534,26,19.0,2.2,26
1987,4.2,.074,University of Georgia,.349,9780,471,.704,Jumaine Jones,.424,2.4,8,-1.0,0.9,7.1,ATL,3325,408,27,20.8,15.1,27
1227,2.7,.113,University of Kentucky,.373,5613,448,.736,Scott Padgett,.410,2.7,8,-0.1,0.7,4.2,UTA,1874,325,28,12.5,13.2,28
33,2.2,.112,,,104,15,.647,Leon Smith,.393,-0.1,2,-4.3,0.2,2.2,SAS,33,3,29,6.9,0.2,29
11,0.7,-.038,Villanova University,.222,185,16,.833,John Celestand,.333,-0.3,1,-7.4,1.3,2.3,LAL,37,20,30,11.6,-0.1,30
,,,Illinois State University,,,,,Rico Hill,,,,,,,LAC,,,31,,,31
1632,3.9,.055,University of Tulsa,.000,5966,414,.459,Michael Ruffin,.407,1.2,9,-1.2,0.6,1.7,CHI,716,250,32,14.4,6.8,32
73,1.0,.025,"California State University, Fresno",.328,1005,70,.692,Chris Herren,.336,-0.9,2,-5.6,2.4,3.2,DEN,224,167,33,14.4,0.5,33
601,3.9,.090,Northwestern University,,2138,153,.621,Evan Eschmeyer,.463,0.5,4,-1.1,0.5,2.8,NJN,421,76,34,14.0,4.0,34
1010,2.8,.086,Pennsylvania State University,.222,4477,366,.748,Calvin Booth,.451,0.8,10,-1.3,0.4,3.3,WAS,1190,151,35,12.2,8.0,35
231,1.7,.078,,.385,1256,137,.735,Wang Zhizhi,.417,-0.7,5,-4.3,0.3,4.4,DAL,604,39,36,9.2,2.1,36
383,2.7,.054,University of Maryland,.000,1516,143,.720,Obinna Ekezie,.423,-1.5,4,-6.1,0.2,3.6,VAN,510,31,37,10.6,1.7,37
209,1.5,.021,University of Maryland,.236,1537,135,.712,Laron Profit,.419,-0.5,4,-3.4,1.2,3.3,ORL,441,166,38,11.4,0.7,38
22,2.8,-.129,University of Arizona,,61,8,,A.J. Bramlett,.190,-0.2,1,-16.8,0.0,1.0,CLE,8,0,39,7.6,-0.2,39
941,2.5,.044,,.368,8824,384,.823,Gordan Giricek,.442,-2.5,6,-3.1,1.5,9.6,DAL,3670,584,40,23.0,8.0,40
1638,3.5,.078,University of California,.188,7207,472,.700,Francisco Elson,.478,0.8,9,-1.6,0.6,3.7,DEN,1726,260,41,15.3,11.7,41
,,,University of Michigan,,,,,Louis Bullock,,,,,,,MIN,,,42,,,42
936,3.1,.066,Texas Christian University,.111,5820,306,.786,Lee Nailon,.474,-1.5,6,-3.1,1.0,8.6,CHH,2622,298,43,19.0,8.0,43
,,,Mississippi State University,,,,,Tyrone Washington,,,,,,,HOU,,,44,,,44
0,0.0,-.022,University of Kansas,.000,25,1,1.000,Ryan Robertson,.333,0.0,1,-8.4,0.0,5.0,SAC,5,0,45,25.0,0.0,45
,,,University of Iowa,,,,,J.R. Koch,,,,,,,NYK,,,46,,,46
888,4.0,.166,University of Washington,,3439,223,.642,Todd MacCulloch,.541,1.9,4,0.2,0.5,6.1,PHI,1369,121,47,15.4,11.9,47
,,,University of North Carolina at Charlotte,,,,,Galen Young,,,,,,,MIL,,,48,,,48
34,1.4,-.015,University of Massachusetts Amherst,,139,25,.667,Lari Ketner,.406,-0.3,2,-11.2,0.1,1.4,CHI,34,2,49,5.6,0.0,49
,,,University of Nebraska,,,,,Venson Hamilton,,,,,,,HOU,,,50,,,50
,,,Saint Paul's College,,,,,Antwain Smith,,,,,,,VAN,,,51,,,51
,,,Boise State University,,,,,Roberto Bergersen,,,,,,,POR,,,52,,,52
598,2.6,.033,Creighton University,.300,4182,230,.758,Rodney Buford,.412,-2.8,5,-4.6,0.8,6.4,MIA,1472,179,53,18.2,2.9,53
,,,University of Cincinnati,,,,,Melvin Levett,,,,,,,DET,,,54,,,54
,,,University of Texas at Austin,,,,,Kris Clack,,,,,,,BOS,,,55,,,55
35,1.4,.058,Stanford University,,137,25,.778,Tim Young,.333,-0.2,1,-7.9,0.2,2.2,GSW,54,5,56,5.5,0.2,56
3354,3.7,.203,,.369,23817,899,.827,Manu Ginobili,.450,45.2,14,5.5,4.0,14.2,SAS,12749,3602,57,26.5,100.5,57
,,,Virginia Polytechnic Institute and State University,,,,,Eddie Lucas,,,,,,,UTA,,,58,,,58
