trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
,,,Kansas State University,,,122,.795,Howie Shannon,.355,,2,,2.5,10.8,PRO,1323,299,1,,6.3,3
709,10.7,,University of Kentucky,,,130,.756,Alex Groza,.474,,2,,2.4,22.5,INO,2925,318,2,,35.9,4
1824,6.9,.081,Oklahoma State University,,5768,325,.628,Bob Harris,.385,,5,,1.5,6.8,FTW,2209,502,3,27.9,15.7,5
59,2.0,,Yale University,,,86,.853,Tony Lavelli,.367,,2,,0.7,6.9,BOS,591,63,4,,4.7,6
349,4.0,-.006,University of Utah,,507,151,.748,Vern Gardner,.344,,3,,1.6,8.9,PHW,1339,245,5,18.8,7.4,7
297,4.7,,University of Wyoming,,,117,.692,Ron Livingstone,.286,,2,,1.9,6.3,BLB,732,217,6,,2.4,8
2784,4.2,.115,St. John's University,,17170,738,.644,Dick McGuire,.389,,11,,5.7,8.0,NYK,5921,4205,7,28.3,50.9,9
408,5.1,.028,University of Kentucky,,1320,140,.757,Wah Wah Jones,.355,,3,,3.1,10.2,WSC,1428,429,8,22.8,8.8,10
1286,6.3,.108,Loyola University of Chicago,,3572,271,.662,Jack Kerris,.363,,4,,2.5,7.6,CHS,2057,667,9,26.5,17.8,11
683,2.0,.060,Seton Hall University,,6219,384,.739,Pep Saul,.360,,6,,1.6,5.6,ROC,2152,596,10,23.0,9.8,12
424,3.1,.057,College of the Holy Cross,,1335,212,.650,George Kaftan,.370,,5,,1.9,7.5,BOS,1594,399,,17.8,8.9,13
251,3.8,,University of Kentucky,,,126,.770,Ralph Beard,.366,,2,,4.4,15.9,CHS,2006,551,,,11.2,14
242,3.6,,Western Kentucky University,,,127,.627,John Oldham,.319,,2,,1.8,7.3,FTW,926,226,,,4.2,15
1506,5.4,.061,University of Notre Dame,,7279,344,.665,Leo Barnhorst,.368,,5,,3.2,9.4,INO,3232,1116,,34.8,14.2,16
,,,Muhlenberg College,,,45,.689,Harry Donovan,.327,,1,,0.8,5.6,NYK,253,38,,,1.0,17
,,,Georgia Institute of Technology,,,5,,Jim Nolan,.190,,1,,0.8,1.6,PHW,8,4,,,-0.2,18
5186,9.2,.107,University of Louisville,,16479,633,.695,Jack Coleman,.416,,9,,2.8,10.6,ROC,6721,1749,,33.1,47.7,19
,,,Beloit College,,,34,.857,Johnny Orr,.339,,1,,0.6,2.7,STB,92,20,,,-0.1,20
,,,Baylor University,,,,,Jim Owens,,,,,,,WSC,,,,,,21
,,,University of Notre Dame,,,4,.600,Paul Gordon,.000,,1,,0.8,0.8,BLB,3,3,,,-0.1,22
,,,College of the Holy Cross,,,37,.800,Joe Mullaney,.129,,1,,1.4,0.8,BOS,30,52,,,-0.6,23
915,4.5,-.003,University of Illinois at Urbana-Champaign,,3475,267,.630,Dike Eddleman,.352,,4,,2.1,12.1,CHS,3224,551,,25.7,7.3,24
1609,6.0,.105,West Virginia University,,6637,334,.823,Fred Schaus,.352,,5,,2.9,12.2,FTW,4070,961,,33.5,31.4,25
,,,Bowling Green State University,,,59,.494,Mac Otten,.329,,1,,0.6,2.4,INO,142,36,,,0.3,26
834,4.6,.162,Colgate University,,3600,224,.740,Ernie Vandeweghe,.421,,6,,2.4,9.5,NYK,2135,548,,26.1,18.1,27
405,2.4,.062,Temple University,,2478,227,.612,Nelson Bobb,.350,,4,,2.1,4.6,PHW,1052,488,,21.2,6.0,28
118,2.1,,Dartmouth College,,,121,.719,Ed Leede,.334,,2,,1.9,7.8,PRO,949,225,,,5.8,29
,,,Loyola University of Chicago,,,14,.250,Jerry Nagel,.214,,1,,1.3,0.9,FTW,13,18,,,-0.1,30
,,,Butler University,,,47,.682,Bob Evans,.280,,1,,1.2,3.0,INO,142,55,,,-0.3,31
319,4.8,,Tulane University,,,126,.618,Warren Perkins,.309,,2,,2.0,6.1,PRO,767,257,,,3.1,32
82,2.0,-.265,Georgetown University,,65,102,.601,Ray Corley,.304,,3,,1.7,4.3,PRO,442,174,,8.1,0.9,33
,,,Truman State University,,,9,.600,Earl Dodd,.222,,1,,0.7,1.7,STB,15,6,,,-0.3,34
181,1.8,.008,University of Kentucky,,494,149,.662,Cliff Barker,.316,,3,,2.0,3.7,WSC,557,294,,11.2,2.0,35
553,4.2,.052,Western Michigan University,,3355,195,.706,Don Boven,.339,,3,,2.0,9.0,INO,1763,393,,25.2,7.4,36
,,,Drake University,,,7,.364,John Pritchard,.310,,1,,1.1,3.1,STB,22,8,,,-0.2,37
183,3.0,,Indiana State University,,,113,.719,Duane Klueh,.362,,2,,1.5,8.2,BOS,924,173,,,6.0,38
,,,Indiana State University,,,42,.707,Bob Royer,.338,,1,,2.0,4.7,PRO,197,85,,,0.0,39
,,,Drake University,,,,,Bill Evans,,,,,,,BLB,,,,,,40
,,,St. Francis College,,,,,Tom Gallagher,,,,,,,BLB,,,,,,41
,,,Xavier University,,,,,Jim McMullen,,,,,,,BLB,,,,,,42
,,,Kenyon College,,,,,Eppa Rixey,,,,,,,BLB,,,,,,43
,,,University of Oregon,,,,,Roger Wiley,,,,,,,BLB,,,,,,44
,,,Lafayette College,,,,,Bill Zipple,,,,,,,BLB,,,,,,45
,,,Denver Junior College,,,,,Ed Little,,,,,,,BOS,,,,,,46
,,,Bates College,,,,,Jim Simpson,,,,,,,BOS,,,,,,47
,,,Bowling Green State University,,,,,Emerson Speicher,,,,,,,BOS,,,,,,48
,,,Rice University,,,,,Bill Tom,,,,,,,BOS,,,,,,49
,,,University of Washington,,,,,Bill Vandenburgh,,,,,,,BOS,,,,,,50
,,,Colby College,,,,,Russ Washburn,,,,,,,BOS,,,,,,51
,,,Brigham Young University,,,,,Bill Weight,,,,,,,BOS,,,,,,52
,,,University of Toledo,,,,,Dal Zuber,,,,,,,FTW,,,,,,53
,,,Butler University,,,,,Charlie Maas,,,,,,,INO,,,,,,54
,,,University of Notre Dame,,,,,Jim O'Halloran,,,,,,,INO,,,,,,55
