ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,WAS,Kwame Brown,,12,607,13389,4035,3333,554,.492,.111,.570,22.1,6.6,5.5,0.9,20.8,.074,-2.1,-0.4
2,2,LAC,Tyson Chandler,,15,951,27133,8296,8781,800,.589,.000,.645,28.5,8.7,9.2,0.8,90.1,.159,1.7,25.6
3,3,ATL,Pau Gasol,,15,1019,36045,18607,9647,3304,.511,.284,.754,35.4,18.3,9.5,3.2,127.4,.170,3.5,50.0
4,4,CHI,Eddy Curry,,11,527,13109,6820,2725,287,.545,1.000,.642,24.9,12.9,5.2,0.5,21.7,.080,-3.5,-5.0
5,5,GSW,Jason Richardson,Michigan State University,13,857,29241,14644,4245,2284,.438,.370,.707,34.1,17.1,5.0,2.7,59.1,.097,1.3,24.4
6,6,MEM,Shane Battier,Duke University,13,977,30004,8408,4082,1717,.437,.384,.743,30.7,8.6,4.2,1.8,75.7,.121,2.9,37.0
7,7,NJN,Eddie Griffin,Seton Hall University,5,303,6729,2171,1744,236,.377,.315,.671,22.2,7.2,5.8,0.8,10.9,.078,-1.0,1.7
8,8,CLE,DeSagana Diop,,12,601,8403,1185,2219,270,.427,.167,.467,14.0,2.0,3.7,0.4,12.8,.073,0.0,4.3
9,9,DET,Rodney White,University of North Carolina at Charlotte,4,218,3354,1540,485,237,.424,.314,.749,15.4,7.1,2.2,1.1,1.8,.026,-3.8,-1.5
10,10,BOS,Joe Johnson,University of Arkansas,15,1101,39836,18765,4509,4599,.441,.370,.800,36.2,17.0,4.1,4.2,75.6,.091,0.6,25.7
11,11,BOS,Kedrick Brown,Okaloosa-Walton Community College,4,143,1935,509,347,103,.405,.274,.640,13.5,3.6,2.4,0.7,3.0,.074,-2.2,-0.1
12,12,SEA,Vladimir Radmanovic,,12,737,16164,5879,2784,998,.415,.378,.758,21.9,8.0,3.8,1.4,26.5,.079,-0.1,7.7
13,13,HOU,Richard Jefferson,University of Arizona,15,1043,31899,14226,4421,2293,.464,.379,.769,30.6,13.6,4.2,2.2,79.3,.119,0.5,19.8
14,14,GSW,Troy Murphy,University of Notre Dame,12,729,19921,7860,5708,1088,.445,.388,.785,27.3,10.8,7.8,1.5,50.3,.121,-0.1,9.5
15,15,ORL,Steven Hunter,DePaul University,8,400,5993,1817,1264,79,.560,.000,.485,15.0,4.5,3.2,0.2,10.6,.085,-2.8,-1.3
16,16,CHH,Kirk Haston,Indiana University,2,27,134,32,27,8,.232,.000,.500,5.0,1.2,1.0,0.3,-0.5,-.197,-13.5,-0.4
17,17,TOR,Michael Bradley,Villanova University,5,173,2016,483,591,93,.477,.143,.511,11.7,2.8,3.4,0.5,2.0,.047,-3.7,-0.9
18,18,HOU,Jason Collins,Stanford University,13,735,14974,2621,2706,626,.411,.206,.647,20.4,3.6,3.7,0.9,20.1,.064,-2.0,0.2
19,19,POR,Zach Randolph,Michigan State University,15,951,30324,16149,8976,1712,.473,.261,.763,31.9,17.0,9.4,1.8,74.5,.118,-0.3,13.1
20,20,CLE,Brendan Haywood,University of North Carolina,13,816,18680,5538,4875,442,.528,.000,.587,22.9,6.8,6.0,0.5,43.8,.113,-0.2,8.4
21,21,BOS,Joseph Forte,University of North Carolina,2,25,125,30,17,17,.234,.000,.800,5.0,1.2,0.7,0.7,-0.4,-.166,-10.1,-0.3
22,22,ORL,Jeryl Sasser,Southern Methodist University,2,82,1061,204,191,67,.303,.295,.687,12.9,2.5,2.3,0.8,0.7,.032,-2.9,-0.2
23,23,HOU,Brandon Armstrong,Pepperdine University,3,108,699,239,63,24,.352,.333,.600,6.5,2.2,0.6,0.2,-0.6,-.039,-8.6,-1.2
24,24,UTA,Raul Lopez,,2,113,2135,733,194,428,.429,.346,.853,18.9,6.5,1.7,3.8,2.1,.047,-3.5,-0.8
25,25,SAC,Gerald Wallace,University of Alabama,14,832,24731,9933,4838,1725,.469,.312,.709,29.7,11.9,5.8,2.1,59.7,.116,2.4,27.3
26,26,PHI,Samuel Dalembert,Seton Hall University,13,886,21646,6814,6942,465,.521,.083,.706,24.4,7.7,7.8,0.5,51.3,.114,-0.7,7.2
27,27,MEM,Jamaal Tinsley,Iowa State University,11,547,14443,4652,1605,3330,.393,.299,.716,26.4,8.5,2.9,6.1,17.2,.057,-0.4,5.7
28,28,SAS,Tony Parker,,15,1045,33639,17500,3023,6162,.495,.326,.754,32.2,16.7,2.9,5.9,104.5,.149,1.2,27.5
29,29,CHI,Trenton Hassell,Austin Peay State University,9,644,16278,3741,1826,1132,.445,.318,.765,25.3,5.8,2.8,1.8,13.8,.041,-2.3,-1.3
30,30,GSW,Gilbert Arenas,University of Arizona,11,552,19351,11402,2168,2909,.421,.351,.803,35.1,20.7,3.9,5.3,51.3,.127,2.9,24.1
31,31,ORL,Omar Cook,St. John's University,2,22,213,37,13,46,.333,.000,.500,9.7,1.7,0.6,2.1,-0.1,-.021,-6.1,-0.2
32,32,MEM,Will Solomon,Clemson University,2,115,1584,584,132,225,.378,.298,.692,13.8,5.1,1.1,2.0,0.0,.000,-4.7,-1.1
33,33,ATL,Terence Morris,University of Maryland,3,139,1934,472,377,93,.407,.196,.711,13.9,3.4,2.7,0.7,1.0,.025,-3.6,-0.8
34,34,NJN,Brian Scalabrine,University of Southern California,11,520,6772,1594,1034,436,.390,.344,.783,13.0,3.1,2.0,0.8,7.6,.054,-2.6,-1.1
35,35,CLE,Jeff Trepagnier,University of Southern California,3,31,270,88,43,22,.337,.462,.700,8.7,2.8,1.4,0.7,-0.2,-.038,-4.8,-0.2
36,36,PHI,Damone Brown,Syracuse University,4,39,351,108,52,19,.336,.286,.667,9.0,2.8,1.3,0.5,-0.7,-.100,-10.3,-0.7
37,37,DET,Mehmet Okur,,10,634,18429,8561,4436,1089,.458,.375,.797,29.1,13.5,7.0,1.7,54.7,.142,1.4,15.7
38,38,NYK,Michael Wright,University of Arizona,,,,,,,,,,,,,,,,,
