ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
2,1,MLH,Mark Workman,West Virginia University,2,79,1181,386,230,44,.331,,.618,14.9,4.9,2.9,0.6,-1.2,-.049,,
3,2,BLB,Jim Baechtold,Eastern Kentucky University,5,321,8256,3123,1009,685,.388,,.783,25.7,9.7,3.1,2.1,14.8,.086,,
4,3,FTW,Dick Groat,Duke University,1,26,663,309,86,69,.368,,.790,25.5,11.9,3.3,2.7,2.0,.148,,
5,4,INO,Joe Dean,Louisiana State University,,,,,,,,,,,,,,,,,
6,5,NYK,Ralph Polson,Whitworth,1,49,810,191,211,24,.363,,.635,16.5,3.9,4.3,0.5,0.8,.047,,
7,6,BOS,Bob Stauffer,University of Missouri,,,,,,,,,,,,,,,,,
8,7,SYR,Bob Lochmueller,University of Louisville,1,62,802,232,162,47,.322,,.607,12.9,3.7,2.6,0.8,0.5,.031,,
9,8,ROC,Chuck Darling,University of Iowa,,,,,,,,,,,,,,,,,
10,9,MNL,Clyde Lovellette,University of Kansas,11,704,19075,11947,6663,1097,.443,,.757,27.1,17.0,9.5,1.6,70.6,.178,,
11,,BOS,Jim Iverson,Kansas State University,,,,,,,,,,,,,,,,,
12,,PHW,Walt Davis,Texas A&M University,5,325,5344,1558,1397,231,.377,,.695,16.4,4.8,4.3,0.7,4.8,.043,,
13,,BOS,J.C. Maze,Texas State University,,,,,,,,,,,,,,,,,
14,,BOS,Herm Hedderick,Canisius College,1,5,23,4,4,2,.222,,.000,4.6,0.8,0.8,0.4,-0.1,-.232,,
15,,BOS,Don Johnson,Oklahoma State University,,,,,,,,,,,,,,,,,
16,,BOS,Jim Buchanan,University of Nebraska,,,,,,,,,,,,,,,,,
17,,BOS,Fred Eydt,Cornell University,,,,,,,,,,,,,,,,,
18,,BOS,Gordon Mungier,Spring Hill College,,,,,,,,,,,,,,,,,
19,,BOS,Jim Dilling,College of the Holy Cross,,,,,,,,,,,,,,,,,
20,,BOS,Gene Conley,Washington State University,6,351,5791,2069,2212,201,.371,,.657,16.5,5.9,6.3,0.6,5.1,.042,,
21,,BLB,Blaine Denning,Lawrence Technological University,1,1,9,5,4,0,.400,,1.000,9.0,5.0,4.0,0.0,0.0,.095,,
22,,BLB,Chuck Grigsby,University of Dayton,1,7,45,16,11,7,.368,,.250,6.4,2.3,1.6,1.0,0.0,-.042,,
23,,BLB,Frank Guisness,University of Washington,,,,,,,,,,,,,,,,,
24,,BLB,Bill Lea,Missouri State University,,,,,,,,,,,,,,,,,
25,,BLB,Mike Magula,Youngstown State University,,,,,,,,,,,,,,,,,
26,,BLB,Bud Penwell,Oklahoma City University,,,,,,,,,,,,,,,,,
27,,BLB,Bob Peterson,University of Oregon,3,103,1342,479,389,78,.386,,.669,13.0,4.7,3.8,0.8,1.5,.052,,
28,,BLB,Art Press,McDaniel College,,,,,,,,,,,,,,,,,
29,,BLB,Bob Priddy,New Mexico State University,1,16,149,36,36,7,.368,,.571,9.3,2.3,2.3,0.4,0.0,.006,,
30,,BLB,Benny Purcell,Murray State University,,,,,,,,,,,,,,,,,
31,,BLB,Jim Walsh,Stanford University,1,10,72,20,15,8,.185,,.588,7.2,2.0,1.5,0.8,-0.2,-.106,,
32,,FTW,Bill Carlson,Fordham University,,,,,,,,,,,,,,,,,
33,,FTW,Hal Cerra,Duquesne University,,,,,,,,,,,,,,,,,
34,,FTW,Bob Clifton,University of Iowa,,,,,,,,,,,,,,,,,
35,,FTW,Leo Corkery,St. Bonaventure University,,,,,,,,,,,,,,,,,
36,,FTW,Monk Meineke,University of Dayton,5,343,6782,2338,1626,433,.367,,.756,19.8,6.8,4.7,1.3,14.9,.105,,
37,,FTW,Jim Ramstead,Stanford University,,,,,,,,,,,,,,,,,
38,,FTW,Lee Terrill,North Carolina State University,,,,,,,,,,,,,,,,,
39,,INO,Jay Handlan,Washington & Lee University,,,,,,,,,,,,,,,,,
40,,INO,Bill Harrell,Siena College,,,,,,,,,,,,,,,,,
41,,INO,Jim Hoverder,Central Missouri State University,,,,,,,,,,,,,,,,,
