trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
931,3.5,.143,Duke University,.385,9099,266,.862,Kyrie Irving,.452,12.0,5,3.2,5.6,20.8,CLE,5540,1488,1,34.2,27.2,1
1393,4.1,.075,University of Arizona,.295,7237,336,.711,Derrick Williams,.431,-1.9,5,-3.1,0.7,9.2,MIN,3104,221,2,21.5,11.4,2
2155,6.5,.113,,.353,7030,331,.754,Enes Kanter,.517,-1.5,5,-2.9,0.6,10.3,UTA,3417,192,3,21.2,16.6,3
2918,8.5,.110,University of Texas at Austin,.000,9775,342,.627,Tristan Thompson,.492,1.5,5,-1.4,0.8,9.9,CLE,3370,273,4,28.6,22.5,4
1974,8.1,.157,,.000,6447,245,.777,Jonas Valanciunas,.552,2.1,4,-0.7,0.6,11.0,TOR,2701,158,5,26.3,21.1,5
562,3.5,.078,,.000,2455,162,.408,Jan Vesely,.521,0.9,3,-0.6,0.6,3.6,WAS,590,96,6,15.2,4.0,6
2059,6.4,.082,,,6858,323,.553,Bismack Biyombo,.495,-1.0,5,-2.6,0.3,4.5,SAC,1448,95,7,21.2,11.7,7
1104,3.5,.054,University of Kentucky,.360,10332,315,.803,Brandon Knight,.418,2.9,5,-0.9,4.6,15.8,DET,4977,1442,8,32.8,11.5,8
1200,3.7,.084,University of Connecticut,.322,10724,321,.818,Kemba Walker,.400,9.4,5,1.5,5.3,16.7,CHA,5345,1712,9,33.4,18.7,9
236,1.0,.036,Brigham Young University,.380,3143,233,.878,Jimmer Fredette,.411,-1.6,5,-4.0,1.4,6.0,MIL,1409,323,10,13.5,2.3,10
1107,3.2,.109,Washington State University,.421,11097,343,.841,Klay Thompson,.446,7.1,5,0.5,2.4,17.8,GSW,6115,810,11,32.4,25.3,11
748,2.9,.070,University of Colorado,.362,5928,256,.751,Alec Burks,.432,0.1,5,-1.9,2.0,10.7,UTA,2740,500,12,23.2,8.7,12
1784,5.4,.077,University of Kansas,.327,8369,333,.760,Markieff Morris,.444,3.1,5,-0.5,1.7,11.3,PHO,3769,555,13,25.1,13.4,13
1193,4.1,.087,University of Kansas,.357,6838,294,.691,Marcus Morris,.428,2.3,5,-0.7,1.2,9.5,HOU,2789,360,14,23.3,12.4,14
1813,6.3,.202,San Diego State University,.389,8557,290,.817,Kawhi Leonard,.499,16.4,5,5.6,1.9,13.3,IND,3865,554,15,29.5,35.9,15
2888,9.8,.123,University of Southern California,.273,8782,294,.725,Nikola Vucevic,.513,5.7,5,0.6,1.8,14.0,PHI,4127,522,16,29.9,22.5,16
896,3.5,.063,Georgia Institute of Technology,.343,6546,254,.753,Iman Shumpert,.396,3.3,5,0.0,2.1,7.7,NYK,1964,525,17,25.8,8.6,17
472,3.2,.042,Florida State University,.319,2605,148,.633,Chris Singleton,.376,-0.2,3,-2.3,0.6,4.1,WAS,612,92,18,17.6,2.3,18
1513,5.7,.103,University of Tennessee,.317,7238,264,.792,Tobias Harris,.462,2.3,5,-0.7,1.4,12.8,CHA,3384,377,19,27.4,15.5,19
769,4.0,.086,,.319,3715,191,.609,Donatas Motiejunas,.482,0.3,4,-1.7,1.1,8.0,MIN,1524,209,20,19.5,6.6,20
83,1.0,-.047,Duke University,.260,829,84,.714,Nolan Smith,.371,-0.9,2,-6.5,1.2,3.3,POR,277,97,21,9.9,-0.8,21
2728,8.7,.153,Morehead State University,.083,8422,314,.642,Kenneth Faried,.540,7.5,5,1.5,1.1,12.2,DEN,3836,336,22,26.8,26.8,22
629,5.3,.153,,.331,2564,119,.798,Nikola Mirotic,.403,2.1,2,1.3,1.3,10.4,HOU,1243,151,23,21.5,8.2,23
1009,3.3,.111,Boston College,.306,7222,310,.858,Reggie Jackson,.433,4.3,5,0.4,4.0,11.0,OKC,3424,1235,24,23.3,16.6,24
358,2.2,.041,Providence College,.326,2876,164,.748,MarShon Brooks,.442,-0.4,3,-2.5,1.4,7.7,BOS,1261,232,25,17.5,2.5,25
367,2.6,.076,University of Texas at Austin,.366,1796,140,.671,Jordan Hamilton,.405,0.3,4,-1.3,0.7,5.5,DAL,765,102,26,12.8,2.8,26
58,1.6,.032,Purdue University,,298,36,.667,JaJuan Johnson,.446,-0.3,1,-6.3,0.2,3.2,NJN,114,6,27,8.3,0.2,27
607,1.9,.017,Cleveland State University,.318,7198,323,.729,Norris Cole,.407,-3.7,5,-4.0,2.6,6.7,CHI,2166,842,28,22.3,2.6,28
477,2.0,.123,University of Texas at Austin,.305,4039,243,.767,Cory Joseph,.467,1.9,5,-0.1,2.1,5.7,SAS,1391,504,29,16.6,10.4,29
1275,4.4,.173,Marquette University,.333,9002,293,.810,Jimmy Butler,.443,11.7,5,3.2,2.3,13.0,CHI,3816,669,30,30.7,32.4,30
355,3.0,.049,,.348,2930,117,.814,Bojan Bogdanovic,.442,-0.1,2,-2.1,0.9,9.1,MIA,1067,110,31,25.0,3.0,31
12,0.9,-.145,University of Richmond,.154,84,14,.000,Justin Harper,.290,-0.2,1,-9.8,0.1,1.4,CLE,20,2,32,6.0,-0.3,32
869,3.2,.061,Duke University,.371,6686,273,.798,Kyle Singler,.418,1.1,4,-1.4,0.9,7.5,DET,2047,244,33,24.5,8.5,33
387,1.6,.065,Butler University,.321,3662,239,.781,Shelvin Mack,.416,-1.0,5,-3.1,2.7,5.4,WAS,1290,657,34,15.3,5.0,34
24,1.0,-.049,"University of California, Los Angeles",.200,120,24,.714,Tyler Honeycutt,.314,-0.1,2,-6.4,0.4,1.2,SAC,28,9,35,5.0,-0.1,35
156,3.6,.101,University of Maryland,,635,43,.652,Jordan Williams,.507,-0.2,1,-3.1,0.3,4.6,NJN,197,11,36,14.8,1.3,36
24,1.0,.004,University of Georgia,.308,119,24,.714,Trey Thompkins,.393,-0.2,1,-8.9,0.1,2.4,LAC,57,3,37,5.0,0.0,37
1555,5.0,.114,University of Florida,.370,10341,311,.696,Chandler Parsons,.469,10.9,5,2.2,3.0,14.0,HOU,4352,939,38,33.3,24.5,38
269,2.6,.014,,.000,1034,104,.557,Jeremy Tyler,.450,-1.2,3,-6.6,0.2,3.6,CHA,373,25,39,9.9,0.3,39
748,3.3,.107,University of Wisconsin,.389,3027,225,.704,Jon Leuer,.481,0.1,5,-1.8,0.7,5.4,MIL,1217,151,40,13.5,6.7,40
126,1.0,-.010,University of Michigan,.322,1464,132,.630,Darius Morris,.384,-1.3,4,-5.6,1.4,3.3,LAL,430,189,41,11.1,-0.3,41
,,,,,,,,Davis Bertans,,,,,,,IND,,,42,,,42
65,1.8,.040,"University of California, Los Angeles",.294,534,36,.703,Malcolm Lee,.382,0.0,3,-2.0,1.4,3.9,CHI,140,51,43,14.8,0.4,43
100,0.9,.017,Hofstra University,.182,1334,110,.754,Charles Jenkins,.434,-1.3,2,-5.9,1.9,3.7,GSW,408,214,44,12.1,0.5,44
227,3.0,.116,University of Kentucky,.347,888,75,.629,Josh Harrellson,.438,0.3,3,-0.7,0.3,3.5,NOH,265,26,45,11.8,2.1,45
32,0.8,.008,College of Charleston,.373,425,41,.917,Andrew Goudelock,.386,-0.5,2,-6.8,0.5,4.3,LAL,175,20,46,10.4,0.1,46
9,0.9,.060,University of Georgia,,45,10,.444,Travis Leslie,.357,0.0,1,-0.2,0.5,1.4,LAC,14,5,47,4.5,0.1,47
3,1.0,-.005,Oakland University,,9,3,,Keith Benson,.000,0.0,1,-10.4,0.0,0.0,ATL,0,0,48,3.0,0.0,48
20,0.5,-.113,University of Kansas,.143,296,38,.720,Josh Selby,.330,-0.6,2,-10.1,0.9,2.2,MEM,83,34,49,7.8,-0.7,49
1402,4.9,.091,Temple University,.143,5246,286,.686,Lavoy Allen,.462,0.6,5,-1.5,1.0,5.0,PHI,1443,290,50,18.3,9.9,50
,,,Ohio State University,,,,,Jon Diebler,,,,,,,POR,,,51,,,51
34,1.5,.161,University of Florida,,135,23,.571,Vernon Macklin,.543,0.0,1,-0.6,0.2,2.0,DET,46,5,52,5.9,0.5,52
69,1.2,.071,University of Kentucky,.304,406,57,.486,DeAndre Liggins,.466,0.1,3,-1.3,0.4,1.6,ORL,93,20,53,7.1,0.6,53
,,,,,,,,Milan Macvan,,,,,,,CLE,,,54,,,54
424,1.5,.037,Purdue University,.353,4414,274,.751,E'Twaun Moore,.414,-0.9,5,-2.8,1.5,5.3,BOS,1459,408,55,16.1,3.4,55
,,,,,,,,Chukwudiebere Maduabum,,,,,,,LAL,,,56,,,56
,,,,,,,,Targuy Ngombo,,,,,,,DAL,,,57,,,57
,,,,,,,,Ater Majok,,,,,,,LAL,,,58,,,58
,,,,,,,,Adam Hanga,,,,,,,SAS,,,59,,,59
807,2.5,.146,University of Washington,.358,9276,322,.865,Isaiah Thomas,.438,8.5,5,1.6,4.9,16.3,SAC,5258,1582,60,28.8,28.2,60
