trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
16279,12.5,.116,University of Houston,.147,50000,1303,.670,Elvin Hayes,.452,23.3,16,0.9,1.8,21.0,SDR,27313,2398,1,38.4,120.8,1
13769,14.0,.147,University of Louisville,.500,35832,984,.633,Wes Unseld,.509,32.8,13,4.4,3.9,10.8,BAL,10624,3822,2,36.4,110.1,2
3682,7.0,.111,Guilford College,,13568,525,.749,Bob Kauffman,.477,0.2,7,-1.6,2.7,11.5,SEA,6049,1429,3,25.8,31.5,3
5745,9.0,.127,University of Tennessee,,14387,635,.675,Tom Boerwinkle,.453,7.5,10,3.8,3.2,7.2,CHI,4596,2007,4,22.7,38.0,4
4065,8.0,.076,Iowa State University,,11023,505,.728,Zaid Abdul-Aziz,.428,2.1,10,-0.1,1.2,9.0,CIN,4557,601,5,21.8,17.5,5
5575,8.2,.070,University of Texas-Pan American,,16893,682,.609,Otto Moore,.453,3.3,9,0.0,1.6,8.2,DET,5616,1060,6,24.8,24.7,6
462,3.9,-.026,Northeastern State University,,1641,120,.611,Charlie Paulk,.392,,3,,0.3,6.2,MIL,741,41,7,13.7,-0.9,7
2065,7.0,.017,University of South Carolina,,7397,296,.715,Gary Gregor,.431,,5,,1.5,9.8,PHO,2905,436,8,25.0,2.6,8
971,1.9,.098,West Virginia University,,11478,516,.833,Ron Williams,.441,-0.8,8,-3.8,3.5,9.3,SFW,4797,1818,9,22.2,23.5,9
355,2.5,.109,Ohio State University,,1395,143,.715,Bill Hosket,.485,,4,,0.7,4.0,NYK,573,94,10,9.8,3.2,10
1994,5.5,.033,University of Southern California,,7461,361,.561,Bill Hewitt,.439,-0.1,6,-2.8,1.3,5.7,LAL,2062,469,11,20.7,5.2,11
2913,3.9,.098,University of Houston,.167,17406,742,.776,Don Chaney,.438,4.2,12,-0.2,2.1,8.4,BOS,6216,1593,12,23.5,35.5,12
16,0.6,.119,University of South Carolina,,218,26,.774,Skip Harlicka,.456,,1,,1.4,4.1,ATL,106,37,13,8.4,0.5,13
571,3.4,-.001,Utah State University,,2523,170,.622,Shaler Halimon,.397,,4,,1.8,6.7,PHI,1136,302,14,14.8,-0.1,14
1248,4.5,.061,"University of Nevada, Las Vegas",,4895,279,.725,John Trapp,.420,,5,,1.0,7.4,SDR,2066,283,15,17.5,6.2,15
