ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
3,1,BLB,Ray Felix,Long Island University,9,637,15187,6974,5654,456,.412,,.678,23.8,10.9,8.9,0.7,39.6,.125,,
4,2,MLH,Bob Houbregs,University of Washington,5,281,6725,2611,1552,500,.404,,.721,23.9,9.3,5.5,1.8,14.3,.102,,
5,3,FTW,Jack Molinas,Columbia University,1,32,958,370,228,51,.390,,.759,29.9,11.6,7.1,1.6,3.6,.179,,
6,4,ROC,Richie Regan,Seton Hall University,3,215,5494,1785,554,629,.344,,.717,25.6,8.3,2.6,2.9,3.5,.031,,
7,5,BOS,Frank Ramsey,University of Kentucky,9,623,15330,8378,3410,1134,.399,,.804,24.6,13.4,5.5,1.8,49.2,.154,,
8,6,SYR,Jim Neal,Wofford College,2,80,1093,350,304,33,.301,,.601,13.7,4.4,3.8,0.4,0.1,.005,,
9,7,MNL,Jim Fritsche,Hamline University,2,84,1372,326,249,77,.309,,.738,16.3,3.9,3.0,0.9,-1.6,-.055,,
10,,BOS,Chet Noe,University of Oregon,,,,,,,,,,,,,,,,,
11,,NYK,Don Ackerman,Long Island University,1,28,220,43,15,23,.222,,.536,7.9,1.5,0.5,0.8,-0.6,-.123,,
12,,PHW,Larry Hennessy,Villanova University,2,74,817,331,94,73,.334,,.766,11.0,4.5,1.3,1.0,-0.9,-.052,,
13,,BOS,Cliff Hagan,University of Kentucky,10,745,21731,13447,5116,2242,.450,,.798,29.2,18.0,6.9,3.0,75.1,.166,,
14,,NYK,Neil Gordon,Furman University,,,,,,,,,,,,,,,,,
15,,PHW,Norm Grekin,La Salle University,1,1,1,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,.010,,
16,,BOS,Earle Markey,College of the Holy Cross,,,,,,,,,,,,,,,,,
17,,NYK,Thomas Bishop,University of Southern Mississippi,,,,,,,,,,,,,,,,,
18,,PHW,Fred Ihle,La Salle University,,,,,,,,,,,,,,,,,
19,,BOS,Joe Holup,George Washington University,3,192,3526,1347,852,193,.342,,.781,18.4,7.0,4.4,1.0,4.2,.058,,
20,,NYK,Bob Santini,Iona College,1,4,23,11,3,1,.500,,.500,5.8,2.8,0.8,0.3,0.1,.127,,
21,,PHW,Eddie Solomon,West Virginia University Institute of Technology,,,,,,,,,,,,,,,,,
22,,BOS,Vernon Stokes,St. Francis College,,,,,,,,,,,,,,,,,
23,,PHW,Don Eby,University of Southern California,,,,,,,,,,,,,,,,,
24,,BOS,Lou Tsioropoulos,University of Kentucky,3,157,2977,910,751,165,.315,,.717,19.0,5.8,4.8,1.1,2.1,.033,,
25,,PHW,Bob Marske,,,,,,,,,,,,,,,,,,
26,,BOS,Ted Lallier,Colby College,,,,,,,,,,,,,,,,,
27,,PHW,Bill Dodd,Colgate University,,,,,,,,,,,,,,,,,
28,,BOS,Lewis Gilcrease,Texas State University,,,,,,,,,,,,,,,,,
29,,PHW,Bob Sassone,St. Bonaventure University,,,,,,,,,,,,,,,,,
30,,BOS,Tom Lillis,Saint Louis University,,,,,,,,,,,,,,,,,
31,,PHW,Toar Hester,Centenary College of Louisiana,,,,,,,,,,,,,,,,,
32,,BOS,Gil Reich,University of Kansas,,,,,,,,,,,,,,,,,
33,,PHW,John Doogan,Saint Joseph's University,,,,,,,,,,,,,,,,,
34,,BOS,Jim Dogerty,Whitworth,,,,,,,,,,,,,,,,,
35,,PHW,Charles Duffley,Saint Anselm College,,,,,,,,,,,,,,,,,
36,,BLB,Jack Carby,Kansas State University,,,,,,,,,,,,,,,,,
37,,BLB,Bob Emmercik,Clarion University of Pennsylvania,,,,,,,,,,,,,,,,,
38,,BLB,Russ Johnson,,,,,,,,,,,,,,,,,,
39,,BLB,Bob Kraback,,,,,,,,,,,,,,,,,,
40,,BLB,Dennis Murphy,Georgetown University,,,,,,,,,,,,,,,,,
41,,BLB,Paul Nolen,Texas Tech University,1,1,2,0,1,0,.000,,,2.0,0.0,1.0,0.0,0.0,-.724,,
42,,BLB,Bob Peterson,University of Oregon,3,103,1342,479,389,78,.386,,.669,13.0,4.7,3.8,0.8,1.5,.052,,
43,,BLB,Joe Piorkowski,,,,,,,,,,,,,,,,,,
44,,BLB,Connie Rea,Centenary College of Louisiana,1,20,154,23,31,16,.209,,.313,7.7,1.2,1.6,0.8,-0.6,-.184,,
45,,BLB,Bill Schyman,DePaul University,,,,,,,,,,,,,,,,,
46,,BLB,Herman Sledzik,Pennsylvania State University,,,,,,,,,,,,,,,,,
47,,BLB,Bob Speight,North Carolina State University,,,,,,,,,,,,,,,,,
48,,BLB,Don Stemmerich,,,,,,,,,,,,,,,,,,
49,,BLB,Elmer Tolson,Eastern Kentucky University,,,,,,,,,,,,,,,,,
50,,BLB,Edward Walsh,,,,,,,,,,,,,,,,,,
51,,FTW,Jim Bingham,Eastern Kentucky University,,,,,,,,,,,,,,,,,
52,,FTW,Mike Bodnar,St. Bonaventure University,,,,,,,,,,,,,,,,,
53,,FTW,Jim Bredar,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,,,
54,,FTW,George Glasgow,Fairleigh Dickinson University,,,,,,,,,,,,,,,,,
55,,FTW,William Hagan,Siena College,,,,,,,,,,,,,,,,,
56,,FTW,Dean Kelley,University of Kansas,,,,,,,,,,,,,,,,,
57,,FTW,Norb Lewinski,University of Notre Dame,,,,,,,,,,,,,,,,,
58,,FTW,Dick White,Eastern Kentucky University,,,,,,,,,,,,,,,,,
59,,MLH,Irv Bemoras,University of Illinois at Urbana-Champaign,2,131,2479,827,341,125,.347,,.672,18.9,6.3,2.6,1.0,1.3,.026,,
60,,MLH,Bill Bolger,Georgetown University,1,20,202,56,36,11,.407,,.615,10.1,2.8,1.8,0.6,0.2,.039,,
61,,MLH,Paul Brandt,Columbia University,,,,,,,,,,,,,,,,,
62,,MLH,Joe Cipriano,University of Washington,,,,,,,,,,,,,,,,,
63,,MLH,Gene Dyker,DePaul University,1,11,91,16,16,5,.231,,.500,8.3,1.5,1.5,0.5,-0.3,-.138,,
64,,MLH,Eddie O'Brien,Seattle University,,,,,,,,,,,,,,,,,
65,,MLH,John O'Brien,Seattle University,,,,,,,,,,,,,,,,,
