trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
414,2.8,.063,Duke University,,3019,147,.679,Art Heyman,.427,,3,,2.4,10.3,NYK,1519,346,1,20.5,4.0,2
1463,3.1,.080,West Virginia University,,10376,466,.723,Rod Thorn,.433,,8,,2.6,10.8,BAL,5012,1214,2,22.3,17.2,3
14464,15.0,.104,Bowling Green State University,,35881,964,.667,Nate Thurmond,.421,6.3,14,1.3,2.7,15.0,SFW,14437,2575,3,37.2,78.0,4
1860,3.1,.075,Seattle University,,15681,605,.747,Eddie Miles,.440,,9,,2.0,13.4,DET,8120,1225,4,25.9,24.4,5
294,1.7,.023,Boston College,,2049,169,.639,Gerry Ward,.356,,4,,1.4,3.2,STL,542,237,5,12.1,1.0,6
425,4.3,.023,Villanova University,,1270,100,.591,Tom Hoover,.413,,3,,0.6,3.5,PHI,350,56,6,12.7,0.6,7
0,0.0,-.224,Jacksonville University,,4,1,,Roger Strickland,.333,,1,,0.0,2.0,LAL,2,0,7,4.0,0.0,8
,,,Colorado State University,,,,,Bill Green,,,,,,,BOS,,,8,,,9
6,1.2,-.017,Loyola University of Chicago,,59,5,.375,Jerry Harkness,.433,,1,,1.2,5.8,NYK,29,6,9,11.8,0.0,10
7379,12.7,.085,University of Idaho,,20140,581,.699,Gus Johnson,.440,,10,,2.7,17.1,BAL,9944,1541,10,34.7,35.8,11
130,1.6,.016,Oklahoma City University,,1118,79,.637,Gary Hill,.371,,2,,1.4,4.7,SFW,370,110,11,14.2,0.4,12
,,,Furman University,,,,,Jerry Smith,,,,,,,DET,,,12,,,13
1500,2.5,.076,University of Tulsa,,11187,607,.782,Jim King,.418,,10,,2.3,7.2,LAL,4377,1412,13,18.4,17.7,14
,,,Mississippi State University,,,,,Leland Mitchell,,,,,,,STL,,,14,,,15
,,,Grambling State University,,,,,Hershell West,,,,,,,PHI,,,15,,,16
4,0.4,-.119,Western Carolina University,,53,9,.500,Mel Gibson,.300,,1,,0.7,1.4,LAL,13,6,16,5.9,-0.1,17
,,,Arkansas Tech University,,,,,Ken Saylors,,,,,,,STL,,,17,,,18
,,,Canisius College,,,,,Bill O'Connor,,,,,,,NYK,,,18,,,19
,,,Indiana University,,,,,Tom Bolyard,,,,,,,BAL,,,19,,,20
,,,Saint Mary's College of California,,,,,Steve Gray,,,,,,,SFW,,,20,,,21
,,,University of Miami,,,,,Mike McCoy,,,,,,,DET,,,21,,,22
,,,Indiana University,,,,,Jimmy Rayl,,,,,,,CIN,,,22,,,23
,,,University of Illinois at Urbana-Champaign,,,,,Bill Burwell,,,,,,,STL,,,23,,,24
83,3.3,.060,University of Maryland,,329,25,.724,Jerry Greenspan,.388,,2,,0.4,4.9,PHI,122,11,24,13.2,0.4,25
,,,University of Houston,,,,,Lyle Harger,,,,,,,LAL,,,25,,,26
,,,Valparaiso University,,,,,Chuck Kriston,,,,,,,BOS,,,26,,,27
,,,University of Delaware,,,,,Nate Cloud,,,,,,,NYK,,,27,,,28
,,,University of Kansas,,,,,Nolen Ellison,,,,,,,BAL,,,28,,,29
,,,University of Illinois at Urbana-Champaign,,,,,Dave Downey,,,,,,,SFW,,,29,,,30
,,,Marquette University,,,,,Dave Erickson,,,,,,,DET,,,30,,,31
,,,University of Colorado,,,,,Ken Charlton,,,,,,,CIN,,,31,,,32
,,,Florida Agricultural and Mechanical University,,,,,Waite Bellamy,,,,,,,STL,,,32,,,33
,,,Providence College,,,,,Ray Flynn,,,,,,,PHI,,,33,,,34
,,,Auburn University,,,,,Layton Johns,,,,,,,LAL,,,34,,,35
,,,Southeastern Oklahoma State University,,,,,Connie McGuire,,,,,,,BOS,,,35,,,36
,,,Belmont Abbey College,,,,,Joe McDermott,,,,,,,NYK,,,36,,,37
,,,Marquette University,,,,,Ron Glaser,,,,,,,BAL,,,37,,,38
,,,Southwestern College,,,,,Don Turner,,,,,,,SFW,,,38,,,39
,,,University of Illinois at Urbana-Champaign,,,,,Bill Small,,,,,,,DET,,,39,,,40
,,,Bradley University,,,,,Mac Herndon,,,,,,,CIN,,,40,,,41
,,,University of Cincinnati,,,,,Tony Yates,,,,,,,STL,,,41,,,42
,,,Arizona State University,,,,,Tony Cerkvenik,,,,,,,PHI,,,42,,,43
241,2.5,.055,University of Toledo,,2235,95,.815,Larry Jones,.400,0.3,8,-1.5,2.8,9.0,LAL,854,270,43,23.5,2.5,44
,,,Mississippi State University,,,,,W. D. Stroud,,,,,,,BOS,,,44,,,45
,,,Tulane University,,,,,Jim Kerwin,,,,,,,NYK,,,45,,,46
,,,University of Wisconsin,,,,,Ken Siebel,,,,,,,BAL,,,46,,,47
,,,Santa Clara University,,,,,Gene Shields,,,,,,,SFW,,,47,,,48
1865,9.1,.049,,,5529,205,.607,Reggie Harding,.413,,4,,1.7,9.0,DET,1839,343,48,27.0,5.7,49
,,,West Virginia University,,,,,Jim McCormack,,,,,,,CIN,,,49,,,50
,,,University of Maryland,,,,,Al Santio,,,,,,,STL,,,50,,,51
,,,Iowa State University,,,,,Vince Brewer,,,,,,,PHI,,,51,,,52
,,,Westminster College of Pennsylvania,,,,,Warren Salade,,,,,,,LAL,,,52,,,53
,,,Providence College,,,,,Vinnie Ernst,,,,,,,BOS,,,53,,,54
,,,Wake Forest University,,,,,Bob Woolard,,,,,,,NYK,,,54,,,55
,,,University of North Carolina,,,,,Larry Brown,,,,,,,BAL,,,55,,,56
,,,Stanford University,,,,,Don Clemetson,,,,,,,SFW,,,56,,,57
,,,University of New Mexico,,,,,Ira Harge,,,,,,,DET,,,57,,,58
,,,University of Memphis,,,,,Hunter Beckman,,,,,,,CIN,,,58,,,59
0,0.0,-.131,North Carolina State University,,7,2,,Ken Rohloff,.000,,1,,0.5,0.0,STL,0,1,59,3.5,0.0,60
,,,Howard Payne University,,,,,Bill Brown,,,,,,,PHI,,,60,,,61
,,,University of Southern California,,,,,Gordie Martin,,,,,,,LAL,,,61,,,62
,,,Philadelphia University,,,,,Herb Magee,,,,,,,BOS,,,62,,,63
