ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,NYK,Cazzie Russell,University of Michigan,12,817,22213,12377,3068,1838,.464,,.827,27.2,15.1,3.8,2.2,51.7,.112,-2.0,0.1
2,2,DET,Dave Bing,Syracuse University,12,901,32769,18327,3420,5397,.441,,.775,36.4,20.3,3.8,6.0,68.8,.101,0.6,8.5
3,3,SFW,Clyde Lee,Vanderbilt University,10,742,19885,5733,7626,788,.432,,.614,26.8,7.7,10.3,1.1,33.5,.081,-2.4,-0.6
4,4,STL,Lou Hudson,University of Minnesota,13,890,29794,17940,3926,2432,.489,,.797,33.5,20.2,4.4,2.7,81.0,.131,0.1,5.9
5,5,BAL,Jack Marin,Duke University,11,849,24590,12541,4405,1813,.465,,.843,29.0,14.8,5.2,2.1,59.3,.116,-2.8,-1.4
6,6,CIN,Walt Wesley,University of Kansas,10,590,10306,5002,3243,385,.434,,.630,17.5,8.5,5.5,0.7,9.5,.044,-2.8,-0.1
7,7,LAL,Jerry Chambers,University of Utah,4,239,3691,1931,739,182,.442,,.747,15.4,8.1,3.1,0.8,2.8,.037,,
8,8,BOS,Jim Barnett,University of Oregon,11,732,17410,8536,2259,2232,.435,,.797,23.8,11.7,3.1,3.0,33.2,.092,-2.2,-0.3
9,9,PHI,Matt Guokas,Saint Joseph's University,10,735,16603,4285,1446,2174,.489,,.727,22.6,5.8,2.0,3.0,26.7,.077,-3.8,-2.2
10,10,CHI,Dave Schellhase,Purdue University,2,73,513,208,76,60,.349,,.567,7.0,2.8,1.0,0.8,-0.6,-.061,,
11,11,NYK,Henry Akin,Morehead State University,2,86,712,304,177,39,.351,,.676,8.3,3.5,2.1,0.5,-1.2,-.084,,
12,12,DET,Dorie Murrey,University of Detroit Mercy,6,357,4486,1683,1555,226,.425,,.679,12.6,4.7,4.4,0.6,6.5,.070,,
13,13,SFW,Joe Ellis,University of San Francisco,8,524,10374,4623,2686,716,.398,,.727,19.8,8.8,5.1,1.4,5.0,.023,-5.2,-0.4
14,14,STL,Dick Snyder,Davidson College,13,964,25676,11755,2732,2767,.488,,.824,26.6,12.2,2.8,2.9,58.3,.109,-0.5,4.0
15,15,BAL,Neil Johnson,Creighton University,4,202,2263,798,685,217,.426,,.613,11.2,4.0,3.4,1.1,2.0,.042,,
16,16,CIN,Jerry Lee Wells,Oklahoma City University,,,,,,,,,,,,,,,,,
17,17,LAL,Hank Finkel,University of Dayton,9,551,6866,2790,2151,426,.449,,.662,12.5,5.1,3.9,0.8,13.5,.094,-4.9,-0.7
18,18,BOS,Leon Clark,University of Wyoming,,,,,,,,,,,,,,,,,
19,19,PHI,Bill Melchionni,Villanova University,2,144,1450,640,202,203,.412,,.673,10.1,4.4,1.4,1.4,1.0,.033,,
20,20,CHI,Erwin Mueller,University of San Francisco,7,425,9541,3248,2050,853,.429,,.627,22.4,7.6,4.8,2.0,9.6,.048,,
21,21,NYK,Stew Johnson,Murray State University,,,,,,,,,,,,,,,,,
22,22,DET,Ollie Darden,University of Michigan,,,,,,,,,,,,,,,,,
23,23,SFW,Stephen Chubin,University of Rhode Island,,,,,,,,,,,,,,,,,
24,24,STL,Tommy Kron,University of Kentucky,3,184,3139,1193,603,518,.389,,.753,17.1,6.5,3.3,2.8,1.8,.028,,
25,25,BAL,Dave Wagnon,Idaho State University,,,,,,,,,,,,,,,,,
26,26,CIN,Jim Ware,Oklahoma City University,2,63,429,143,146,13,.284,,.647,6.8,2.3,2.3,0.2,-1.1,-.125,,
27,27,LAL,John Block,University of Southern California,10,597,14316,7106,3965,805,.433,,.778,24.0,11.9,6.6,1.3,32.7,.110,-1.4,0.4
28,28,BOS,Gary Turner,Texas Christian University,,,,,,,,,,,,,,,,,
