trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
4708,5.1,.130,University of North Carolina,.241,30001,926,.769,James Worthy,.521,28.5,12,1.8,3.0,17.6,LAL,16320,2791,1,32.4,81.2,1
8630,7.3,.129,DePaul University,.295,33898,1183,.706,Terry Cummings,.484,24.9,18,0.9,1.9,16.4,SDC,19460,2190,2,28.7,91.1,2
7169,6.7,.148,University of Georgia,.319,38113,1074,.811,Dominique Wilkins,.461,41.8,15,2.3,2.5,24.8,UTA,26668,2677,3,35.5,117.5,3
1298,4.3,.099,University of Wyoming,.000,5260,300,.720,Bill Garnett,.490,2.7,4,0.1,1.3,5.5,DAL,1638,393,4,17.5,10.8,4
6689,6.8,.079,University of Texas at Austin,.154,21238,985,.737,LaSalle Thompson,.492,8.3,15,-0.5,1.2,7.9,KCK,7806,1139,5,21.6,35.0,5
1520,2.0,.105,University of Minnesota,.408,15671,756,.754,Trent Tucker,.461,9.0,11,0.3,2.0,8.2,NYK,6236,1532,6,20.7,34.3,6
1307,2.5,.050,University of San Francisco,.158,12170,528,.779,Quintin Dailey,.454,-2.7,10,-2.9,2.3,14.1,CHI,7470,1188,7,23.0,12.7,7
2482,9.5,.118,Ohio State University,.338,8514,260,.757,Clark Kellogg,.497,8.9,5,2.1,2.9,18.9,IND,4918,764,8,32.7,20.9,8
4307,5.2,.125,Wichita State University,.152,16962,830,.676,Cliff Levingston,.516,14.4,11,1.4,0.9,7.1,DET,5888,752,9,20.4,44.2,9
127,1.5,.022,Purdue University,.000,931,87,.719,Keith Edmonson,.448,-0.6,2,-4.6,0.6,6.0,ATL,522,56,10,10.7,0.4,10
4523,6.0,.123,Arizona State University,.310,23814,752,.771,Fat Lever,.447,33.7,11,3.6,6.2,13.9,POR,10433,4696,11,31.7,61.2,11
1729,2.6,.047,Boston College,.241,17120,665,.779,John Bagley,.437,0.3,11,-1.9,6.0,8.7,CLE,5802,3980,12,25.7,16.6,12
2494,2.6,.092,Georgetown University,.324,26383,957,.815,Sleepy Floyd,.444,10.1,13,-0.5,5.4,12.8,NJN,12260,5175,13,27.6,50.6,13
1861,2.7,.092,Oregon State University,.202,14970,687,.753,Lester Conner,.453,10.5,12,0.8,3.9,6.3,GSW,4337,2669,14,21.8,28.6,14
209,1.2,.042,Bradley University,.091,1469,179,.565,David Thirdkill,.457,-0.9,5,-4.6,0.5,2.8,PHO,510,84,15,8.2,1.3,15
1803,2.6,.044,Baylor University,.210,14509,687,.792,Terry Teagle,.465,-5.6,11,-3.5,1.4,11.6,HOU,7982,956,16,21.1,13.4,16
345,1.4,.078,Georgia Institute of Technology,.310,2858,238,.820,Brook Steppe,.469,-0.6,5,-2.9,1.2,5.4,KCK,1297,280,17,12.0,4.6,17
2296,2.4,.146,Rice University,.322,23665,969,.875,Ricky Pierce,.493,11.5,16,-0.1,1.9,14.9,DET,14467,1826,18,24.4,72.2,18
330,2.2,.030,University of Houston,.274,3367,153,.789,Rob Williams,.439,-1.2,2,-3.4,5.4,8.6,DEN,1319,825,19,22.0,2.1,19
2798,3.9,.120,University of Tulsa,.222,19659,724,.749,Paul Pressey,.485,22.0,11,2.4,5.1,10.6,MIL,7664,3715,20,27.2,49.0,20
77,1.6,.011,University of Alabama,.000,416,48,.678,Eddie Phillips,.406,-0.4,1,-5.3,0.6,3.2,NJN,152,29,21,8.7,0.1,21
827,3.0,.049,University of California,,2707,278,.548,Mark McNamara,.512,-1.9,8,-4.8,0.3,3.5,PHI,980,77,22,9.7,2.8,22
314,2.5,.036,Cleveland State University,.000,1256,124,.626,Darren Tillis,.423,-0.8,2,-4.7,0.3,3.4,BOS,425,42,23,10.1,0.9,23
17,0.5,.018,University of Alabama at Birmingham,.091,147,35,.667,Oliver Robinson,.361,-0.2,1,-6.5,0.6,2.9,SAS,101,21,24,4.2,0.1,24
218,1.3,.033,Saint Joseph's University,.208,2379,169,.747,Bryan Warrick,.443,-1.5,4,-4.5,2.6,4.0,WSB,677,437,25,14.1,1.6,25
,,,University of Missouri,,,,,Ricky Frazier,,,,,,,CHI,,,26,,,26
2308,2.8,.086,Brigham Young University,.325,14703,818,.796,Fred Roberts,.502,1.7,13,-1.6,1.2,7.3,MIL,5962,977,27,18.0,26.2,27
10,0.7,-.066,University of Kansas,.000,56,14,.500,Dave Magley,.250,-0.1,1,-8.9,0.1,0.9,CLE,12,2,28,4.0,-0.1,28
1287,2.2,.079,University of Arkansas,.292,5985,578,.811,Scott Hastings,.441,-0.1,11,-2.1,0.5,2.8,NYK,1647,284,29,10.4,9.8,29
