ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
2,1,BLB,Gene Melchiorre,Bradley University,,,,,,,,,,,,,,,,,
3,2,TRI,Mel Hutchins,Brigham Young University,7,437,16574,4851,4186,1298,.389,,.673,37.9,11.1,9.6,3.0,27.9,.081,,
4,3,INO,Marcus Freiberger,University of Oklahoma,,,,,,,,,,,,,,,,,
5,4,FTW,Zeke Sinicola,Niagara University,2,12,48,13,2,3,.250,,.375,4.0,1.1,0.2,0.3,-0.2,-.223,,
6,5,SYR,John McConathy,Northwestern State University,1,11,106,14,20,8,.138,,.429,9.6,1.3,1.8,0.7,-0.5,-.214,,
7,6,NYK,Ed Smith,Harvard University,1,12,127,35,32,10,.286,,.538,10.6,2.9,2.7,0.8,-0.3,-.105,,
8,7,BOS,Ernie Barrett,Kansas State University,2,131,2092,641,343,229,.369,,.748,16.0,4.9,2.6,1.7,0.8,.017,,
9,8,ROC,Sam Ranzino,North Carolina State University,1,39,234,86,39,25,.333,,.703,6.0,2.2,1.0,0.6,0.2,.038,,
10,9,PHW,Don Sunderlage,University of Illinois at Urbana-Champaign,2,113,2636,874,281,224,.326,,.732,23.3,7.7,2.5,2.0,2.7,.049,,
11,10,BLB,Jack Stone,Kansas State University,,,,,,,,,,,,,,,,,
12,11,TRI,Bill Gossett,Colorado State University,,,,,,,,,,,,,,,,,
13,12,INO,Scotty Steagall,Millikin University,,,,,,,,,,,,,,,,,
14,13,FTW,Jack Kiley,Syracuse University,2,53,504,124,51,65,.227,,.571,9.5,2.3,1.0,1.2,-1.8,-.175,,
15,14,SYR,Don Savage,LeMoyne College,2,17,173,54,31,14,.242,,.686,10.2,3.2,1.8,0.8,-0.1,-.029,,
16,15,NYK,Roland Minson,Brigham Young University,,,,,,,,,,,,,,,,,
17,16,BOS,Bill Garrett,Indiana University,,,,,,,,,,,,,,,,,
18,17,ROC,Ray Ragelis,Northwestern University,1,51,337,68,76,31,.260,,.621,6.6,1.3,1.5,0.6,-0.4,-.059,,
19,18,PHW,Mel Payton,Tulane University,2,111,1895,595,396,126,.363,,.746,17.1,5.4,3.6,1.1,2.5,.062,,
20,19,MNL,Lew Hitch,Kansas State University,6,414,8364,2075,2183,499,.376,,.674,20.2,5.0,5.3,1.2,11.5,.066,,
21,20,BLB,Bill Mann,Bradley University,,,,,,,,,,,,,,,,,
22,21,TRI,Ron Bontemps,Beloit College,,,,,,,,,,,,,,,,,
23,22,INO,Glenn Kammeyer,Central Missouri State University,,,,,,,,,,,,,,,,,
24,23,FTW,Jake Fendley,Northwestern University,2,103,1031,287,126,94,.344,,.742,10.0,2.8,1.2,0.9,2.1,.097,,
25,24,SYR,Bato Govedarica,DePaul University,1,23,258,75,18,24,.316,,.676,11.2,3.3,0.8,1.0,0.2,.044,,
26,25,NYK,Joe Luchi,University of Cincinnati,,,,,,,,,,,,,,,,,
27,26,BOS,John Furlong,Pepperdine University,,,,,,,,,,,,,,,,,
28,27,ROC,Fred Diute,St. Bonaventure University,1,7,72,11,13,4,.095,,.583,10.3,1.6,1.9,0.6,-0.3,-.204,,
