ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
2,1,ROC,Si Green,Duquesne University,9,504,13132,4636,2152,1655,.387,,.676,26.1,9.2,4.3,3.3,10.0,.037,,
3,2,STL,Bill Russell,University of San Francisco,13,963,40726,14522,21620,4100,.440,,.561,42.3,15.1,22.5,4.3,163.5,.193,,
4,3,MNL,Jim Paxson,University of Dayton,2,138,3069,1105,616,225,.323,,.727,22.2,8.0,4.5,1.6,2.8,.044,,
5,4,NYK,Ron Shavlik,North Carolina State University,2,8,74,10,23,0,.174,,.400,9.3,1.3,2.9,0.0,-0.3,-.189,,
6,5,SYR,Joe Holup,George Washington University,3,192,3526,1347,852,193,.342,,.781,18.4,7.0,4.4,1.0,4.2,.058,,
7,6,FTW,Ron Sobie,DePaul University,4,192,3868,1619,791,353,.379,,.808,20.1,8.4,4.1,1.8,7.2,.089,,
8,7,PHW,Hal Lear,Temple University,1,3,14,4,1,1,.333,,,4.7,1.3,0.3,0.3,0.0,-.085,,
9,,BOS,K.C. Jones,University of San Francisco,9,676,17501,5011,2399,2908,.387,,.647,25.9,7.4,3.5,4.3,38.6,.106,,
10,,BOS,George Linn,University of Alabama,,,,,,,,,,,,,,,,,
11,,BOS,Dan Swartz,Morehead State University,1,39,335,175,88,21,.380,,.847,8.6,4.5,2.3,0.5,1.0,.143,,
12,,BOS,Bill Logan,University of Iowa,,,,,,,,,,,,,,,,,
13,,BOS,Don Boldebuck,University of Houston,,,,,,,,,,,,,,,,,
14,,BOS,O'Neal Weaver,Midwestern State University,,,,,,,,,,,,,,,,,
15,,BOS,Vic Molodet,North Carolina State University,,,,,,,,,,,,,,,,,
16,,BOS,Jim Houston,Brandeis University,,,,,,,,,,,,,,,,,
17,,BOS,Theophileus Lloyd,University of Maryland,,,,,,,,,,,,,,,,,
18,,FTW,Bruce Harris,Tennessee Technological University,,,,,,,,,,,,,,,,,
19,,FTW,Bob Kessler,University of Maryland,,,,,,,,,,,,,,,,,
20,,FTW,Joe Lieber,College of the Holy Cross,,,,,,,,,,,,,,,,,
21,,FTW,John Schlimm,John Carroll University,,,,,,,,,,,,,,,,,
22,,FTW,Charles Slack,Marshall University,,,,,,,,,,,,,,,,,
23,,FTW,Bill Thieben,Hofstra University,2,85,876,337,272,24,.331,,.640,10.3,4.0,3.2,0.3,-0.5,-.026,,
24,,MNL,Lloyd Aubrey,University of Notre Dame,,,,,,,,,,,,,,,,,
25,,MNL,John Barber,"California State University, Los Angeles",1,5,19,7,6,0,.250,,.500,3.8,1.4,1.2,0.0,0.0,-.108,,
26,,MNL,Elgin Baylor,Seattle University,14,846,33863,23149,11463,3650,.431,,.780,40.0,27.4,13.5,4.3,104.2,.148,,
27,,MNL,Jerry Bird,University of Kentucky,1,11,45,25,12,4,.375,,1.000,4.1,2.3,1.1,0.4,0.0,-.043,,
28,,MNL,Phil Grawmeyer,University of Kentucky,,,,,,,,,,,,,,,,,
29,,MNL,Robert Hodgson,Wichita State University,,,,,,,,,,,,,,,,,
30,,MNL,Sam Jones,North Carolina Central University,12,871,24285,15411,4305,2209,.456,,.803,27.9,17.7,4.9,2.5,92.3,.182,,
31,,MNL,Phil Jordon,Whitworth,7,442,10792,4833,3028,769,.398,,.694,24.4,10.9,6.9,1.7,9.9,.044,,
32,,MNL,John Patzwald,Gustavus Adolphus,,,,,,,,,,,,,,,,,
33,,MNL,Terry Rand,Marquette University,,,,,,,,,,,,,,,,,
34,,MNL,Bill Reigel,McNeese State University,,,,,,,,,,,,,,,,,
35,,MNL,Jim Springer,Gustavus Adolphus,,,,,,,,,,,,,,,,,
36,,MNL,Carl Widseth,University of Tennessee,,,,,,,,,,,,,,,,,
