trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
5227,9.5,.156,University of North Carolina,.143,20029,548,.747,Brad Daugherty,.532,23.1,8,2.6,3.7,19.0,CLE,10389,2028,1,36.5,65.2,1
,,,University of Maryland,,,,,Len Bias,,,,,,,BOS,,,2,,,2
176,2.4,-.046,North Carolina State University,.000,645,72,.439,Chris Washburn,.412,-1.0,2,-7.9,0.3,3.1,GSW,222,22,3,9.0,-0.6,3
4763,5.1,.065,Auburn University,.362,28941,943,.723,Chuck Person,.458,12.9,13,-0.2,2.8,14.7,IND,13858,2645,4,30.7,38.9,4
1793,4.0,.095,University of Kentucky,.206,9050,448,.749,Kenny Walker,.485,1.7,7,-1.2,0.7,7.0,NYK,3128,299,5,20.2,17.9,5
573,2.4,.017,University of Memphis,.318,2514,238,.605,William Bedford,.416,-2.0,6,-5.1,0.5,4.1,PHO,964,109,6,10.6,0.9,6
2803,10.0,.127,University of Michigan,.176,7476,280,.744,Roy Tarpley,.483,4.2,6,0.2,1.0,12.6,DAL,3533,292,7,26.7,19.8,7
4309,4.3,.101,Miami University,.289,31199,1009,.720,Ron Harper,.446,32.0,15,2.1,3.9,13.8,CLE,13910,3916,8,30.9,65.8,8
1064,2.7,.066,Ohio State University,.200,7154,398,.793,Brad Sellers,.452,-1.0,6,-2.6,1.1,6.3,CHI,2509,435,9,18.0,9.8,9
1336,2.5,.070,Duke University,.330,14859,541,.857,Johnny Dawkins,.456,0.7,9,-1.8,5.5,11.1,SAS,5984,2997,10,27.5,21.8,10
3356,4.5,.121,Georgia Institute of Technology,.214,16524,748,.714,John Salley,.506,15.6,11,1.7,1.2,7.0,DET,5228,916,11,22.1,41.5,11
2201,5.1,.087,Louisiana State University,.225,10952,435,.704,John Williams,.451,9.2,8,1.3,2.9,10.1,WSB,4406,1262,12,25.2,19.9,12
370,1.9,.023,Syracuse University,.184,4044,194,.746,Pearl Washington,.452,-0.4,3,-2.4,3.8,8.6,NJN,1660,733,13,20.8,1.9,13
971,4.7,.081,St. John's University,.200,4863,205,.638,Walter Berry,.539,0.8,3,-1.3,1.4,14.1,POR,2882,292,14,23.7,8.2,14
2617,2.4,.085,Virginia Polytechnic Institute and State University,.402,23549,1083,.843,Dell Curry,.457,10.1,16,-0.3,1.8,11.7,UTA,12670,1909,15,21.7,41.5,15
65,0.9,-.033,Saint Joseph's University,.211,422,69,.598,Maurice Martin,.378,-0.5,2,-6.2,0.7,3.0,DEN,204,49,16,6.1,-0.3,16
1339,4.5,.070,Villanova University,.358,6802,299,.778,Harold Pressley,.437,4.6,4,0.7,2.1,9.0,SAC,2702,628,17,22.7,10.0,17
1120,3.4,.073,Duke University,.252,5500,325,.775,Mark Alarie,.475,-0.3,5,-2.2,1.1,7.5,DEN,2432,363,18,16.9,8.4,18
1615,5.4,.069,University of Louisville,.154,6697,300,.674,Billy Thompson,.505,3.2,6,-0.1,1.7,8.6,ATL,2566,514,19,22.3,9.6,19
1760,3.5,.084,University of Alabama,.113,11849,505,.738,Buck Johnson,.488,3.7,7,-0.7,1.7,9.1,HOU,4617,856,20,23.5,20.8,20
214,1.3,.022,"University of Nevada, Las Vegas",.306,1704,164,.740,Anthony Jones,.393,-0.7,3,-3.7,0.7,3.6,WSB,594,119,21,10.4,0.8,21
1526,2.5,.087,Michigan State University,.379,16789,600,.889,Scott Skiles,.435,3.2,10,-1.2,6.5,11.1,MIL,6652,3881,22,28.0,30.4,22
,,,University of Notre Dame,,,,,Ken Barlow,,,,,,,LAL,,,23,,,23
3436,7.3,.200,,.328,11375,470,.786,Arvydas Sabonis,.500,16.6,7,3.8,2.1,12.0,POR,5629,964,24,24.2,47.3,24
1848,2.6,.158,Georgia Institute of Technology,.402,21560,722,.904,Mark Price,.472,22.7,12,2.2,6.7,15.2,DAL,10989,4863,25,29.9,71.1,25
1018,2.1,.045,University of Kansas,.333,4241,474,.649,Greg Dreiling,.467,-2.3,10,-4.1,0.4,2.1,IND,1014,186,26,8.9,4.0,26
11954,13.1,.150,Southeastern Oklahoma State University,.231,28839,911,.584,Dennis Rodman,.521,36.5,14,3.0,1.8,7.3,DET,6683,1600,27,31.7,89.8,27
