ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,WAS,John Wall,University of Kentucky,6,382,13733,6809,1664,3345,.431,.314,.788,36.0,17.8,4.4,8.8,28.3,.099,2.0,13.8
2,2,PHI,Evan Turner,Ohio State University,6,427,12178,4544,2204,1557,.426,.299,.772,28.5,10.6,5.2,3.6,11.9,.047,-2.2,-0.5
3,3,NJN,Derrick Favors,Georgia Institute of Technology,6,393,10027,4425,2851,400,.513,.077,.663,25.5,11.3,7.3,1.0,27.1,.130,0.7,7.0
4,4,MIN,Wesley Johnson,Syracuse University,6,388,9658,3208,1295,507,.411,.346,.749,24.9,8.3,3.3,1.3,6.8,.034,-1.3,1.7
5,5,SAC,DeMarcus Cousins,University of Kentucky,6,380,11853,7391,4051,1001,.460,.263,.732,31.2,19.5,10.7,2.6,26.2,.106,1.7,11.1
6,6,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,.429,.000,.720,16.9,4.0,3.2,0.7,5.7,.060,-1.1,1.0
7,7,DET,Greg Monroe,Georgetown University,6,417,13008,6025,3857,941,.507,.000,.698,31.2,14.4,9.2,2.3,35.9,.132,2.1,13.4
8,8,LAC,Al-Farouq Aminu,Wake Forest University,6,418,9610,2840,2273,468,.433,.308,.726,23.0,6.8,5.4,1.1,13.3,.066,-0.4,3.9
9,9,UTA,Gordon Hayward,Butler University,6,401,12095,5632,1547,1337,.438,.367,.811,30.2,14.0,3.9,3.3,27.5,.109,1.4,10.4
10,10,IND,Paul George,"California State University, Fresno",6,331,10574,5379,2057,989,.425,.366,.830,31.9,16.3,6.2,3.0,32.8,.149,3.9,15.7
11,11,NOH,Cole Aldrich,University of Kansas,6,213,2185,688,730,119,.504,,.769,10.3,3.2,3.4,0.6,5.4,.119,0.0,1.1
12,12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-5.1,-2.3
13,13,TOR,Ed Davis,University of North Carolina,6,394,8408,2816,2514,329,.562,.000,.557,21.3,7.1,6.4,0.8,25.2,.144,1.2,6.7
14,14,HOU,Patrick Patterson,University of Kentucky,6,372,8726,2997,1758,450,.469,.363,.743,23.5,8.1,4.7,1.2,19.4,.106,0.6,5.6
15,15,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,.480,.000,.550,19.8,6.5,5.8,0.7,10.3,.107,0.6,3.1
16,16,MIN,Luke Babbitt,"University of Nevada, Reno",6,235,2999,986,513,114,.399,.395,.722,12.8,4.2,2.2,0.5,3.6,.057,-3.0,-0.8
17,17,CHI,Kevin Seraphin,,6,351,5614,2192,1255,205,.486,.000,.713,16.0,6.2,3.6,0.6,5.0,.043,-3.9,-2.7
18,18,OKC,Eric Bledsoe,University of Kentucky,6,352,9133,4090,1263,1506,.447,.333,.781,25.9,11.6,3.6,4.3,18.1,.095,1.6,8.3
19,19,BOS,Avery Bradley,University of Texas at Austin,6,316,8334,3449,792,486,.435,.360,.781,26.4,10.9,2.5,1.5,8.5,.049,-1.9,0.2
20,20,SAS,James Anderson,Oklahoma State University,5,215,3790,1286,495,258,.411,.330,.762,17.6,6.0,2.3,1.2,3.3,.042,-2.7,-0.7
21,21,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.1,-0.2
22,22,POR,Elliot Williams,University of Memphis,4,107,1444,533,157,91,.423,.306,.671,13.5,5.0,1.5,0.9,0.7,.023,-5.3,-1.2
23,23,MIN,Trevor Booker,Clemson University,6,351,7180,2280,1834,299,.512,.309,.617,20.5,6.5,5.2,0.9,17.3,.116,0.1,3.8
24,24,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-4.3,-0.4
25,25,MEM,Dominique Jones,University of South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-3.6,-0.3
26,26,OKC,Quincy Pondexter,University of Washington,5,279,5042,1466,567,230,.424,.365,.732,18.1,5.3,2.0,0.8,9.1,.087,-1.0,1.2
27,27,NJN,Jordan Crawford,Xavier University,4,257,6348,3132,665,813,.405,.306,.828,24.7,12.2,2.6,3.2,5.2,.039,-2.2,-0.4
