trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
1366,3.7,.113,University of Memphis,.300,13155,372,.812,Derrick Rose,.448,10.7,7,1.2,6.3,19.9,CHI,7392,2361,1,35.4,30.9,1
2096,4.8,.046,Kansas State University,.343,10675,433,.759,Michael Beasley,.450,-4.0,7,-3.5,1.3,13.0,MIA,5628,571,2,24.7,10.2,2
1677,3.1,.063,University of Southern California,.373,16615,535,.821,O.J. Mayo,.430,5.3,8,-0.7,3.0,14.0,MIN,7516,1579,3,31.1,21.8,3
2938,5.4,.156,"University of California, Los Angeles",.304,18592,547,.819,Russell Westbrook,.434,32.1,8,4.9,7.3,21.4,SEA,11710,3999,4,34.0,60.5,4
5570,11.7,.185,"University of California, Los Angeles",.363,15635,475,.813,Kevin Love,.446,21.0,8,3.3,2.4,18.5,MEM,8801,1157,5,32.9,60.2,5
1742,4.6,.134,,.367,11492,377,.854,Danilo Gallinari,.415,9.2,7,1.2,1.9,14.6,NYK,5496,718,6,30.5,32.2,6
1035,2.5,.076,Indiana University,.382,13944,410,.813,Eric Gordon,.435,5.4,8,-0.5,3.3,16.7,LAC,6828,1352,7,34.0,22.1,7
120,1.8,.030,West Virginia University,.340,745,67,.698,Joe Alexander,.410,-0.2,2,-3.3,0.7,4.2,MIL,282,44,8,11.1,0.5,8
982,1.8,.101,University of Texas at Austin,.372,13168,543,.871,D.J. Augustin,.402,1.8,8,-1.5,4.0,9.7,CHA,5268,2145,9,24.3,27.8,9
3361,7.4,.137,Stanford University,.045,14760,453,.793,Brook Lopez,.509,10.3,8,0.8,1.3,18.0,NJN,8174,608,10,32.6,42.0,10
1008,2.1,.078,University of Arizona,.357,10034,482,.827,Jerryd Bayless,.415,0.6,8,-1.8,2.9,8.5,IND,4098,1410,11,20.8,16.3,11
3788,6.8,.075,Rider University,.037,14481,560,.655,Jason Thompson,.496,1.0,8,-1.7,1.1,9.1,SAC,5106,620,12,25.9,22.6,12
1222,3.1,.053,University of Kansas,.407,8991,392,.706,Brandon Rush,.432,0.8,8,-1.7,1.0,7.4,POR,2917,391,13,22.9,10.0,13
1078,4.3,.072,Louisiana State University,.241,3841,252,.740,Anthony Randolph,.453,-0.1,6,-2.1,0.7,7.1,GSW,1789,187,14,15.2,5.8,14
2585,5.1,.133,Stanford University,.000,10892,506,.763,Robin Lopez,.530,7.1,8,0.6,0.6,8.2,PHO,4148,303,15,21.5,30.3,15
