ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,ORL,Dwight Howard,,12,842,29909,15144,10707,1275,.581,.100,.571,35.5,18.0,12.7,1.5,110.1,.177,2.8,36.0
2,2,CHA,Emeka Okafor,University of Connecticut,9,590,18702,7256,5847,512,.512,.000,.584,31.7,12.3,9.9,0.9,44.3,.114,-0.4,7.5
3,3,CHI,Ben Gordon,University of Connecticut,11,744,20366,11084,1851,1868,.432,.401,.857,27.4,14.9,2.5,2.5,33.3,.078,-1.1,4.7
4,4,LAC,Shaun Livingston,,11,580,12963,3909,1494,1956,.472,.177,.797,22.4,6.7,2.6,3.4,20.7,.077,-1.6,1.3
5,5,WAS,Devin Harris,University of Wisconsin,12,751,19856,8904,1718,3409,.438,.323,.794,26.4,11.9,2.3,4.5,47.7,.115,0.6,13.0
6,6,ATL,Josh Childress,Stanford University,8,391,10432,3548,1850,609,.522,.329,.779,26.7,9.1,4.7,1.6,25.7,.118,1.3,8.6
7,7,PHO,Luol Deng,Duke University,12,782,27672,12193,4811,1860,.457,.334,.772,35.4,15.6,6.2,2.4,68.2,.118,1.0,21.1
8,8,TOR,Rafael Araujo,Brigham Young University,3,139,1585,389,395,41,.405,.250,.679,11.4,2.8,2.8,0.3,-0.4,-.013,-6.4,-1.8
9,9,PHI,Andre Iguodala,University of Arizona,12,874,31195,11946,4732,4051,.462,.334,.717,35.7,13.7,5.4,4.6,81.1,.125,3.1,40.3
10,10,CLE,Luke Jackson,University of Oregon,4,73,724,252,89,58,.357,.360,.732,9.9,3.5,1.2,0.8,0.2,.010,-4.4,-0.4
11,11,GSW,Andris Biedrins,,10,516,11146,3247,3631,467,.594,.000,.500,21.6,6.3,7.0,0.9,30.7,.132,1.1,8.6
12,12,SEA,Robert Swift,,4,97,1500,416,376,20,.506,,.610,15.5,4.3,3.9,0.2,1.7,.054,-4.1,-0.8
13,13,POR,Sebastian Telfair,,10,564,12149,4183,898,1960,.390,.319,.777,21.5,7.4,1.6,3.5,5.0,.020,-3.9,-5.8
