ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,LAC,Danny Manning,University of Kansas,15,883,24202,12367,4615,2063,.511,.206,.729,27.4,14.0,5.2,2.3,55.1,.109,1.6,21.7
2,2,IND,Rik Smits,Marist College,12,867,23100,12871,5277,1215,.507,.115,.773,26.6,14.8,6.1,1.4,56.6,.118,-0.5,8.5
3,3,PHI,Charles Smith,University of Pittsburgh,9,564,16378,8107,3246,798,.475,.194,.774,29.0,14.4,5.8,1.4,40.9,.120,0.2,9.3
4,4,NJN,Chris Morris,Auburn University,11,747,18748,8184,3544,1182,.441,.306,.739,25.1,11.0,4.7,1.6,37.4,.096,1.5,16.7
5,5,GSW,Mitch Richmond,Kansas State University,14,976,34309,20497,3801,3398,.455,.388,.850,35.2,21.0,3.9,3.5,79.3,.111,0.9,25.0
6,6,LAC,Hersey Hawkins,Bradley University,13,983,32034,14470,3554,2860,.461,.394,.870,32.6,14.7,3.6,2.9,90.6,.136,2.4,35.7
7,7,PHO,Tim Perry,Temple University,8,481,9436,3283,1911,436,.485,.318,.648,19.6,6.8,4.0,0.9,14.6,.074,-0.7,3.0
8,8,CHH,Rex Chapman,University of Kentucky,12,666,19542,9731,1645,1798,.430,.350,.800,29.3,14.6,2.5,2.7,24.7,.061,-1.5,2.2
9,9,MIA,Rony Seikaly,Syracuse University,11,678,21395,9991,6424,860,.484,.188,.679,31.6,14.7,9.5,1.3,37.3,.084,-1.6,2.2
10,10,SAS,Willie Anderson,University of Georgia,9,555,15974,6771,2082,2105,.471,.266,.786,28.8,12.2,3.8,3.8,27.9,.084,0.0,8.3
11,11,CHI,Will Perdue,Vanderbilt University,13,792,12360,3740,3918,595,.515,.067,.577,15.6,4.7,4.9,0.8,26.6,.103,-1.3,2.3
12,12,WSB,Harvey Grant,University of Oklahoma,11,783,20510,7781,3436,1219,.469,.267,.709,26.2,9.9,4.4,1.6,36.4,.085,-0.7,6.5
13,13,MIL,Jeff Grayer,Iowa State University,9,438,8277,3257,1294,635,.457,.255,.663,18.9,7.4,3.0,1.4,9.0,.052,-2.6,-1.3
14,14,PHO,Dan Majerle,Central Michigan University,14,955,30206,10925,4265,2755,.431,.358,.741,31.6,11.4,4.5,2.9,78.5,.125,2.7,35.6
15,15,SEA,Gary Grant,University of Michigan,13,552,12602,4368,1283,3013,.450,.278,.776,22.8,7.9,2.3,5.5,12.0,.046,-1.9,0.4
16,16,HOU,Derrick Chievous,University of Missouri,3,154,2240,1086,364,110,.443,.242,.755,14.5,7.1,2.4,0.7,2.7,.057,-4.0,-1.1
17,17,UTA,Eric Leckner,University of Wyoming,8,449,5448,1835,1418,211,.508,.000,.669,12.1,4.1,3.2,0.5,6.2,.054,-4.9,-4.0
18,18,SAC,Ricky Berry,San Jose State University,1,64,1406,706,197,80,.450,.406,.789,22.0,11.0,3.1,1.3,2.4,.083,-1.7,0.1
19,19,NYK,Rod Strickland,DePaul University,17,1094,33634,14463,4084,7987,.454,.282,.721,30.7,13.2,3.7,7.3,85.8,.122,1.6,30.9
20,20,MIA,Kevin Edwards,DePaul University,11,604,15332,6596,1653,1609,.423,.335,.803,25.4,10.9,2.7,2.7,12.5,.039,-1.6,1.6
21,21,POR,Mark Bryant,Seton Hall University,15,797,13479,4313,2992,491,.500,.083,.697,16.9,5.4,3.8,0.6,26.1,.093,-2.2,-0.8
22,22,CLE,Randolph Keys,University of Southern Mississippi,5,241,3318,1262,551,192,.425,.272,.721,13.8,5.2,2.3,0.8,2.3,.034,-3.2,-1.0
23,23,DEN,Jerome Lane,University of Pittsburgh,5,218,3215,1154,1258,322,.441,.063,.379,14.7,5.3,5.8,1.5,2.3,.034,-1.2,0.7
24,24,BOS,Brian Shaw,"University of California, Santa Barbara",14,943,21666,6547,3183,3918,.403,.304,.782,23.0,6.9,3.4,4.2,23.8,.053,-1.4,3.5
25,25,LAL,David Rivers,University of Notre Dame,3,114,1286,383,147,282,.398,.083,.794,11.3,3.4,1.3,2.5,-0.3,-.010,-5.2,-1.0
