trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
7119,8.1,.121,Kansas State University,,25549,874,.761,Bob Boozer,.462,,11,,1.4,14.8,CIN,12964,1237,1,29.2,64.2,3
9383,9.9,.180,Mississippi State University,,30627,950,.762,Bailey Howell,.480,,12,,2.0,18.7,DET,17770,1853,2,32.2,114.8,4
4607,6.0,.063,University of Notre Dame,,18465,764,.570,Tom Hawkins,.447,,10,,1.1,8.7,MNL,6672,871,3,24.2,24.1,5
2812,2.9,.114,Tennessee State University,,28937,971,.761,Dick Barnett,.456,-0.1,14,-8.2,2.8,15.8,SYR,15358,2729,4,29.8,68.7,6
9083,8.6,.113,Michigan State University,,24624,1057,.553,Johnny Green,.493,,14,,1.4,11.6,NYK,12281,1449,5,23.3,58.0,7
312,4.7,.026,North Carolina State University,,808,66,.504,John Richter,.340,,1,,0.4,4.3,BOS,285,27,6,12.2,0.4,8
,,,Rice University,,,,,Tom Robitaille,,,,,,,DET,,,7,,,9
,,,University of Louisville,,,,,Don Goldstein,,,,,,,DET,,,8,,,10
286,2.5,-.001,Northwestern University,,909,114,.613,Joe Ruklick,.366,,3,,0.4,3.5,PHW,398,48,9,8.0,0.0,11
6936,9.4,.120,Dartmouth College,,24487,736,.767,Rudy LaRusso,.431,,10,,2.1,15.6,MNL,11507,1556,10,33.3,61.4,12
1122,4.1,.034,University of Tennessee,,3223,271,.579,Gene Tormholen,.411,,6,,0.9,4.4,SYR,1191,257,11,11.9,2.3,13
,,,St. John's University,,,,,Alan Seiden,,,,,,,STL,,,12,,,14
73,5.6,.013,New York University,,222,13,.568,Cal Ramsey,.383,,2,,0.9,7.9,STL,103,12,13,17.1,0.1,15
294,2.3,.055,George Washington University,,1082,129,.611,Gene Guarilia,.376,,4,,0.3,3.2,BOS,413,36,14,8.4,1.2,16
,,,University of Cincinnati,,,,,Mike Mendenhall,,,,,,,CIN,,,15,,,17
329,4.2,-.072,"California State University, Fresno",,844,78,.598,Gary Alcorn,.293,,2,,0.3,3.3,DET,261,24,16,10.8,-1.3,18
,,,University of Memphis,,,,,Jim Hickaday,,,,,,,PHW,,,17,,,19
33,2.5,-.097,West Virginia University,,137,13,.688,Bobby Smith,.236,,2,,1.1,2.8,MNL,37,14,18,10.5,-0.3,20
,,,Syracuse University,,,,,Jon Cincebox,,,,,,,SYR,,,19,,,21
69,2.1,.002,Michigan State University,,373,33,.548,Bob Anderegg,.385,,1,,0.9,4.0,NYK,133,29,20,11.3,0.0,22
,,,Xavier University,,,,,Hank Stein,,,,,,,STL,,,21,,,23
,,,Western Kentucky University,,,,,Ralph Croswaite,,,,,,,BOS,,,22,,,24
,,,Marshall University,,,,,Leo Byrd,,,,,,,CIN,,,23,,,25
1235,4.2,.061,University of Michigan,,5158,297,.734,George Lee,.379,,7,,0.9,7.5,DET,2229,258,24,17.4,6.6,26
,,,Texas Christian University,,,,,Ron Stevenson,,,,,,,PHW,,,25,,,27
,,,Purdue University,,,,,Wilson Eison,,,,,,,MNL,,,26,,,28
1318,2.9,.124,Stanford University,,11003,451,.799,Paul Neumann,.442,,6,,3.2,11.1,SYR,4989,1453,27,24.4,28.3,29
