trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
1339,3.2,.131,Illinois State University,.000,13945,415,.833,Doug Collins,.501,8.5,8,0.4,3.3,17.9,PHI,7427,1368,1,33.6,38.0,1
4458,6.3,.088,University of Minnesota,.077,15936,703,.571,Jim Brewer,.448,11.1,9,0.8,1.5,5.8,CLE,4099,1038,2,22.7,29.3,2
610,2.0,.016,Providence College,,7859,312,.902,Ernie DiGregorio,.415,-5.0,5,-4.5,5.1,9.6,BUF,2997,1594,3,25.2,2.5,3
1329,5.4,.097,Louisiana Tech University,.000,5410,245,.707,Mike Green,.460,2.6,7,-0.1,1.4,8.4,SEA,2062,340,4,22.1,10.9,4
4232,8.3,.135,American University,.000,12815,507,.656,Kermit Washington,.526,11.7,10,1.6,1.4,9.2,LAL,4666,695,5,25.3,36.0,5
1363,4.0,.078,"California State University, Long Beach",,8433,338,.803,Ed Ratleff,.454,5.1,5,0.4,2.7,8.3,HOU,2813,896,6,24.9,13.8,6
2712,7.0,.068,University of Minnesota,,9131,388,.754,Ron Behagen,.425,0.9,7,-1.6,1.6,10.3,KCO,3977,624,7,23.5,13.0,7
4517,6.4,.085,Saint Joseph's University,.200,19725,706,.692,Mike Bantom,.468,9.4,9,-0.1,2.3,12.1,PHO,8568,1623,8,27.9,34.8,8
4513,5.9,.081,University of Houston,.500,16452,766,.740,Dwight Jones,.471,3.0,10,-1.3,1.2,8.1,ATL,6230,911,9,21.5,27.6,9
2126,4.4,.077,University of Missouri,,10108,486,.783,John Brown,.453,1.5,7,-1.4,1.4,7.4,ATL,3614,703,10,20.8,16.2,10
,,,University of South Carolina,,,,,Kevin Joyce,,,,,,,GSW,,,11,,,11
4031,7.3,.087,University of Iowa,,12104,555,.682,Kevin Kunnert,.476,5.5,9,-0.2,1.4,8.3,CHI,4602,784,12,21.8,22.0,12
2232,4.9,.075,University of Illinois at Urbana-Champaign,,9680,453,.713,Nick Weatherspoon,.455,-0.8,7,-2.3,0.9,9.0,CAP,4086,418,13,21.4,15.2,13
816,4.3,.006,St. John's University,,2572,190,.709,Mel Davis,.376,-2.1,4,-5.2,0.9,5.3,NYK,1008,164,14,13.5,0.3,14
,,,University of Virginia,,,,,Barry Parkhill,,,,,,,POR,,,15,,,15
5297,10.8,.128,"University of California, Los Angeles",.250,13868,489,.760,Swen Nater,.537,9.6,11,0.7,2.0,12.2,MIL,5943,954,16,28.4,36.9,16
41,1.5,-.060,Indiana University,,146,27,.550,Steve Downing,.318,-0.2,2,-7.3,0.4,2.4,BOS,64,11,17,5.4,-0.2,17
,,,"California State University, Los Angeles",,,,,Raymond Lewis,,,,,,,PHI,,,18,,,18
527,2.4,.062,University of Washington,,4947,224,.738,Louie Nelson,.437,-0.2,5,-2.2,1.9,9.4,CAP,2113,436,19,22.1,6.4,19
186,1.4,.023,Marshall University,,1858,130,.736,Mike D'Antoni,.392,-0.2,4,-2.4,1.9,3.3,KCO,432,248,20,14.3,0.9,20
2613,4.0,.082,Virginia Polytechnic Institute and State University,.286,13277,648,.798,Allan Bristow,.460,6.0,10,-0.2,3.2,7.9,PHI,5122,2098,21,20.5,22.7,21
5177,9.8,.107,Indiana University,.080,16194,528,.651,George McGinnis,.448,19.5,11,2.8,3.8,17.2,PHI,9090,1985,22,30.7,36.2,22
,,,St. John's University,,,,,Billy Schaeffer,,,,,,,LAL,,,23,,,23
511,1.5,.032,Providence College,.500,4539,347,.768,Kevin Stacom,.417,-3.2,6,-4.7,1.5,5.1,CHI,1781,524,24,13.1,3.1,24
1440,4.8,.127,Marquette University,,5094,297,.779,Larry McNeill,.466,0.5,6,-1.6,0.8,8.5,KCO,2533,225,25,17.2,13.4,25
