trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
522,4.3,.041,University of Kansas,.286,4329,121,.748,Andrew Wiggins,.437,-0.4,2,-2.4,2.0,18.2,CLE,2198,238,1,35.8,3.7,1
290,4.8,.078,Duke University,.190,1674,60,.753,Jabari Parker,.484,-0.1,2,-2.2,1.4,11.8,MIL,705,84,2,27.9,2.7,2
,,,University of Kansas,,,,,Joel Embiid,,,,,,,PHI,,,3,,,3
353,4.2,.105,University of Arizona,.309,1513,84,.709,Aaron Gordon,.465,0.6,2,-0.5,0.9,6.0,ORL,506,76,4,18.0,3.3,4
131,1.6,-.003,,.314,1817,82,.625,Dante Exum,.349,-0.8,1,-3.8,2.4,4.8,UTA,393,198,5,22.2,-0.1,5
293,3.4,.072,Oklahoma State University,.309,2277,85,.657,Marcus Smart,.352,1.6,2,0.9,3.0,7.8,BOS,666,257,6,26.8,3.4,6
370,9.3,.017,University of Kentucky,.278,1042,40,.674,Julius Randle,.402,-0.7,2,-4.5,1.6,10.4,LAL,414,64,7,26.1,0.4,7
176,1.6,.006,University of Michigan,.317,1986,110,.782,Nik Stauskas,.360,-1.0,2,-3.9,1.2,5.3,SAC,579,131,8,18.1,0.2,8
241,3.7,.058,Indiana University,.258,892,66,.769,Noah Vonleh,.391,-0.4,2,-3.8,0.4,3.2,CHH,210,26,9,13.5,1.1,9
471,4.1,.049,University of Louisiana at Lafayette,.286,3488,116,.579,Elfrid Payton,.423,1.1,2,-0.8,6.3,9.5,PHI,1104,733,10,30.1,3.6,10
122,1.7,.048,Creighton University,.401,1064,72,.742,Doug McDermott,.427,-0.7,2,-4.5,0.4,5.5,DEN,396,30,11,14.8,1.1,11
,,,,,,,,Dario Saric,,,,,,,ORL,,,12,,,12
339,2.9,-.004,"University of California, Los Angeles",.332,2835,117,.840,Zach LaVine,.418,-1.3,2,-3.8,3.4,10.9,MIN,1274,402,13,24.2,-0.2,13
217,2.7,.101,North Carolina State University,.358,1522,79,.740,T.J. Warren,.508,0.2,2,-1.4,0.8,8.7,PHO,685,61,14,19.3,3.2,14
222,3.7,-.027,Michigan State University,.300,1014,60,.667,Adreian Payne,.406,-0.9,2,-5.5,0.7,4.8,ATL,287,43,15,16.9,-0.6,15
419,6.2,.067,,.000,1192,68,.627,Jusuf Nurkic,.435,0.3,2,-1.1,0.8,7.0,CHI,477,53,16,17.5,1.7,16
62,1.3,.038,University of Kentucky,.244,483,47,.515,James Young,.341,-0.2,2,-3.9,0.4,2.7,BOS,126,20,17,10.3,0.4,17
53,1.1,-.039,Syracuse University,.286,584,49,.706,Tyler Ennis,.374,-0.7,2,-6.9,1.8,3.6,PHO,176,90,18,11.9,-0.5,18
152,1.7,.013,Michigan State University,.293,1714,88,.755,Gary Harris,.393,-0.1,2,-2.3,1.0,6.2,CHI,546,87,19,19.5,0.5,19
3,0.3,-.321,,.667,25,10,,Bruno Caboclo,.308,-0.1,2,-19.4,0.0,1.0,TOR,10,0,20,2.5,-0.2,20
177,4.2,.109,University of Michigan,.000,530,42,.604,Mitch McGary,.526,-0.1,2,-3.1,0.4,5.0,OKC,211,16,21,12.6,1.2,21
30,0.9,.071,"University of California, Los Angeles",.385,263,32,.607,Jordan Adams,.402,0.1,2,-0.4,0.6,3.2,MEM,101,19,22,8.2,0.4,22
225,2.6,.097,Duke University,.353,2147,86,.819,Rodney Hood,.414,0.8,2,-0.5,2.1,10.5,UTA,905,178,23,25.0,4.4,23
146,1.7,.019,University of Connecticut,.344,1416,84,.793,Shabazz Napier,.364,-0.5,2,-3.3,2.3,4.8,CHH,399,197,24,16.9,0.6,24
312,6.1,.130,,,936,51,.398,Clint Capela,.567,0.6,2,0.6,0.7,6.3,HOU,319,34,25,18.4,2.5,25
183,2.3,.033,University of North Carolina,.311,1356,80,.851,P.J. Hairston,.333,-0.5,2,-3.3,0.6,5.8,MIA,463,44,26,17.0,0.9,26
,,,,,,,,Bogdan Bogdanovic,,,,,,,PHO,,,27,,,27
7,0.3,-.040,University of Washington,.368,104,23,1.000,C.J. Wilcox,.400,-0.1,2,-6.8,0.4,1.8,LAC,41,9,28,4.5,-0.1,28
,,,Stanford University,,,,,Josh Huestis,,,,,,,OKC,,,29,,,29
152,2.2,.103,"University of California, Los Angeles",.304,804,70,.673,Kyle Anderson,.427,0.3,2,-0.5,0.9,2.9,SAS,200,66,30,11.5,1.7,30
9,1.1,-.081,,.200,42,8,.750,Damien Inglis,.250,-0.1,1,-8.1,0.3,1.0,MIL,8,2,31,5.3,-0.1,31
209,2.9,.017,Clemson University,.287,1400,73,.746,K.J. McDaniels,.392,-0.3,2,-2.9,1.0,6.9,PHI,504,73,32,19.2,0.5,32
44,0.8,.017,University of Virginia,.364,508,56,.600,Joe Harris,.395,-0.3,2,-4.6,0.5,2.5,CLE,139,28,33,9.1,0.2,33
99,2.0,-.026,Wichita State University,.261,681,49,.750,Cleanthony Early,.359,-0.5,2,-5.0,0.8,4.4,NYK,217,37,34,13.9,-0.4,34
36,1.7,.185,University of Tennessee,,130,21,.536,Jarnell Stokes,.568,0.1,2,0.2,0.2,2.7,UTA,57,4,35,6.2,0.5,35
176,2.5,-.010,Louisiana State University,1.000,907,71,.552,Johnny O'Bryant III,.402,-1.0,2,-6.3,0.6,3.3,MIL,231,41,36,12.8,-0.2,36
,,,University of Connecticut,,,,,DeAndre Daniels,,,,,,,TOR,,,37,,,37
57,1.3,.020,University of Colorado,.181,566,43,.792,Spencer Dinwiddie,.320,-0.3,2,-4.3,2.7,4.3,DET,185,117,38,13.2,0.2,38
380,3.6,.033,Syracuse University,.276,2411,105,.626,Jerami Grant,.384,-0.2,2,-2.4,1.2,7.3,PHI,766,131,39,23.0,1.6,39
80,1.4,.061,University of Michigan,.308,525,59,.646,Glenn Robinson III,.437,-0.3,2,-4.2,0.4,2.8,MIN,167,22,40,8.9,0.7,40
205,5.5,.166,,.364,692,37,.779,Nikola Jokic,.542,0.9,1,3.2,1.6,8.5,DEN,314,58,41,18.7,2.4,41
39,1.4,-.020,University of Arizona,.238,262,28,.680,Nick Johnson,.347,-0.3,1,-7.3,0.4,2.6,HOU,74,11,42,9.4,-0.1,42
15,2.1,.057,,,54,7,.375,Walter Tavares,.533,0.0,1,-4.8,0.1,2.7,ATL,19,1,43,7.7,0.1,43
130,1.9,.015,Oklahoma State University,.247,1017,69,.797,Markel Brown,.343,-0.4,2,-3.5,0.8,4.0,MIN,273,56,44,14.7,0.3,44
253,3.8,.144,Stanford University,.167,922,67,.727,Dwight Powell,.482,0.4,2,-0.3,0.6,5.5,CHH,366,39,45,13.8,2.8,45
337,3.5,.062,University of Missouri,.322,2707,97,.816,Jordan Clarkson,.444,0.7,2,-0.9,3.1,13.2,WAS,1278,300,46,27.9,3.5,46
15,0.6,-.064,University of Louisville,.188,131,27,.769,Russ Smith,.319,-0.1,2,-6.2,0.7,2.0,PHI,53,19,47,4.9,-0.2,47
49,1.7,.017,University of Pittsburgh,.256,371,29,.700,Lamar Patterson,.366,-0.3,1,-4.9,1.3,2.7,MIL,77,37,48,12.8,0.1,48
18,0.7,-.048,University of New Mexico,.000,94,26,.800,Cameron Bairstow,.250,-0.2,2,-10.3,0.0,0.7,CHI,18,1,49,3.6,-0.1,49
,,,University of Wisconsin-Green Bay,,,,,Alec Brown,,,,,,,PHO,,,50,,,50
,,,,,,,,Thanasis Antetokounmpo,,,,,,,NYK,,,51,,,51
,,,,,,,,Vasilije Micic,,,,,,,PHI,,,52,,,52
,,,,,,,,Alessandro Gentile,,,,,,,MIN,,,53,,,53
,,,,,,,,Nemanja Dangubic,,,,,,,PHI,,,54,,,54
,,,Xavier University,,,,,Semaj Christon,,,,,,,MIA,,,55,,,55
33,1.5,-.047,University of Iowa,.167,222,22,.294,Roy Devyn Marble,.306,-0.2,2,-5.3,0.8,1.8,DEN,39,17,56,10.1,-0.2,56
,,,,,,,,Louis Labeyrie,,,,,,,IND,,,57,,,57
,,,University of Tennessee,,,,,Jordan McRae,,,,,,,SAS,,,58,,,58
,,,San Diego State University,,,,,Xavier Thames,,,,,,,TOR,,,59,,,59
155,2.8,.070,Baylor University,.125,559,56,.554,Cory Jefferson,.453,-0.3,2,-4.3,0.3,3.5,SAS,195,16,60,10.0,0.8,60
