ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,SDR,Elvin Hayes,University of Houston,16,1303,50000,27313,16279,2398,.452,.147,.670,38.4,21.0,12.5,1.8,120.8,.116,0.9,23.3
2,2,BAL,Wes Unseld,University of Louisville,13,984,35832,10624,13769,3822,.509,.500,.633,36.4,10.8,14.0,3.9,110.1,.147,4.4,32.8
3,3,SEA,Bob Kauffman,Guilford College,7,525,13568,6049,3682,1429,.477,,.749,25.8,11.5,7.0,2.7,31.5,.111,-1.6,0.2
4,4,CHI,Tom Boerwinkle,University of Tennessee,10,635,14387,4596,5745,2007,.453,,.675,22.7,7.2,9.0,3.2,38.0,.127,3.8,7.5
5,5,CIN,Zaid Abdul-Aziz,Iowa State University,10,505,11023,4557,4065,601,.428,,.728,21.8,9.0,8.0,1.2,17.5,.076,-0.1,2.1
6,6,DET,Otto Moore,University of Texas-Pan American,9,682,16893,5616,5575,1060,.453,,.609,24.8,8.2,8.2,1.6,24.7,.070,0.0,3.3
7,7,MIL,Charlie Paulk,Northeastern State University,3,120,1641,741,462,41,.392,,.611,13.7,6.2,3.9,0.3,-0.9,-.026,,
8,8,PHO,Gary Gregor,University of South Carolina,5,296,7397,2905,2065,436,.431,,.715,25.0,9.8,7.0,1.5,2.6,.017,,
9,9,SFW,Ron Williams,West Virginia University,8,516,11478,4797,971,1818,.441,,.833,22.2,9.3,1.9,3.5,23.5,.098,-3.8,-0.8
10,10,NYK,Bill Hosket,Ohio State University,4,143,1395,573,355,94,.485,,.715,9.8,4.0,2.5,0.7,3.2,.109,,
11,11,LAL,Bill Hewitt,University of Southern California,6,361,7461,2062,1994,469,.439,,.561,20.7,5.7,5.5,1.3,5.2,.033,-2.8,-0.1
12,12,BOS,Don Chaney,University of Houston,12,742,17406,6216,2913,1593,.438,.167,.776,23.5,8.4,3.9,2.1,35.5,.098,-0.2,4.2
13,13,ATL,Skip Harlicka,University of South Carolina,1,26,218,106,16,37,.456,,.774,8.4,4.1,0.6,1.4,0.5,.119,,
14,14,PHI,Shaler Halimon,Utah State University,4,170,2523,1136,571,302,.397,,.622,14.8,6.7,3.4,1.8,-0.1,-.001,,
15,15,SDR,John Trapp,"University of Nevada, Las Vegas",5,279,4895,2066,1248,283,.420,,.725,17.5,7.4,4.5,1.0,6.2,.061,,
16,16,SEA,Art Harris,Stanford University,4,238,5206,2171,575,639,.396,,.626,21.9,9.1,2.4,2.7,-1.7,-.016,,
17,17,CHI,Loy Petersen,Oregon State University,2,69,530,199,67,48,.387,,.682,7.7,2.9,1.0,0.7,0.2,.021,,
18,18,BAL,Bob Quick,Xavier University,4,136,1868,822,381,93,.452,,.738,13.7,6.0,2.8,0.7,4.0,.103,,
19,19,CHI,Ron Dunlap,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,,,
20,20,DET,Manny Leaks,Niagara University,6,135,3375,1114,921,120,.391,,.714,25.0,8.3,6.8,0.9,1.0,.014,-4.7,-0.6
21,21,PHO,Dick Cunningham,Murray State University,7,358,3792,1012,1324,221,.406,,.636,10.6,2.8,3.7,0.6,4.2,.054,-11.8,-0.1
22,22,MIL,Gene Moore,Saint Louis University,,,,,,,,,,,,,,,,,
23,23,SDR,Stu Lantz,University of Nebraska,8,547,15267,6782,1820,1566,.435,,.814,27.9,12.4,3.3,2.9,32.5,.102,-2.9,-0.8
24,24,SEA,Jeff Ockel,University of Utah,,,,,,,,,,,,,,,,,
25,25,DET,Donald Dee,Saint Mary of the Plains College,,,,,,,,,,,,,,,,,
26,26,BAL,Ron Nelson,University of New Mexico,,,,,,,,,,,,,,,,,
27,27,CIN,Pat Frink,University of Colorado,1,48,363,123,41,55,.340,,.793,7.6,2.6,0.9,1.1,-0.5,-.064,,
28,28,CIN,Fred Foster,Miami University,8,524,9116,4093,1275,601,.414,,.727,17.4,7.8,2.4,1.1,2.9,.016,-5.4,-2.1
29,29,SFW,Donald Sidle,University of Oklahoma,,,,,,,,,,,,,,,,,
30,30,NYK,Don May,University of Dayton,7,379,6619,3339,1309,389,.453,,.798,17.5,8.8,3.5,1.0,11.4,.082,-4.6,-0.6
31,31,CHI,Dave Newmark,Columbia University,2,145,1771,769,521,100,.405,,.671,12.2,5.3,3.6,0.7,1.2,.034,,
32,32,BOS,Garfield Smith,Eastern Kentucky University,2,63,415,168,132,17,.385,,.322,6.6,2.7,2.1,0.3,-0.3,-.036,,
33,33,BAL,Jack Thompson,University of South Carolina,,,,,,,,,,,,,,,,,
34,34,SEA,Ed Johnson,Tennessee State University,,,,,,,,,,,,,,,,,
35,35,MIL,Sam Williams,University of Iowa,2,66,672,255,116,64,.353,,.531,10.2,3.9,1.8,1.0,-0.4,-.029,,
36,36,PHO,Art Beatty,American University,,,,,,,,,,,,,,,,,
37,37,SDR,Harry Barnes,Northeastern University,1,22,126,43,26,5,.281,,.538,5.7,2.0,1.2,0.2,-0.4,-.154,,
38,38,SEA,Henry Logan,Western Carolina University,,,,,,,,,,,,,,,,,
39,39,CHI,Mike Lynn,"University of California, Los Angeles",2,49,428,126,68,31,.329,,.667,8.7,2.6,1.4,0.6,-0.3,-.035,,
40,40,BAL,Dallas Thornton,Kentucky Wesleyan College,,,,,,,,,,,,,,,,,
41,41,CIN,Daniel Sparks,Weber State University,,,,,,,,,,,,,,,,,
42,42,DET,Rich Niemann,Saint Louis University,2,40,290,113,106,18,.414,,.778,7.3,2.8,2.7,0.5,0.3,.042,,
43,43,SFW,Edgar Lacey,"University of California, Los Angeles",,,,,,,,,,,,,,,,,
44,44,NYK,Warren Jabali,Wichita State University,,,,,,,,,,,,,,,,,
45,45,LAL,Ed Biedenbach,North Carolina State University,1,7,18,4,2,3,.000,,.667,2.6,0.6,0.3,0.4,-0.1,-.248,,
46,46,BOS,Rich Johnson,Grambling State University,3,97,1074,457,265,39,.452,,.613,11.1,4.7,2.7,0.4,1.3,.060,,
47,47,ATL,Bob Warren,Vanderbilt University,,,,,,,,,,,,,,,,,
48,48,SDR,Darryl Jones,Benedictine College,,,,,,,,,,,,,,,,,
49,49,PHO,Rich Jones,University of Memphis,8,34,877,360,194,46,.385,,.760,25.8,10.6,5.7,1.4,0.6,.033,-3.5,-0.3
50,50,MIL,Greg Smith,Western Kentucky University,8,524,12269,4097,3249,969,.482,,.646,23.4,7.8,6.2,1.8,22.2,.087,-3.5,-0.5
51,51,SDR,Glen Combs,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,
52,52,SEA,Al Hairston,Bowling Green State University,2,42,294,91,41,44,.336,,.600,7.0,2.2,1.0,1.0,-0.5,-.082,,
53,53,CHI,Jim Tillman,Loyola University of Chicago,,,,,,,,,,,,,,,,,
54,54,BAL,Ed Chaplin,Voorhees College,,,,,,,,,,,,,,,,,
55,55,CIN,Jim Kissane,Boston College,,,,,,,,,,,,,,,,,
56,56,DET,Carl Fuller,Bethune-Cookman College,,,,,,,,,,,,,,,,,
57,57,SFW,Jim Eakins,Brigham Young University,10,115,1744,628,436,148,.462,,.844,15.2,5.5,3.8,1.3,4.5,.123,0.0,0.9
58,58,NYK,Hal Booker,Cheyney University of Pennsylvania,,,,,,,,,,,,,,,,,
59,59,LAL,Lou Shephard,Missouri State University,,,,,,,,,,,,,,,,,
60,60,BOS,Thad Jaracz,University of Kentucky,,,,,,,,,,,,,,,,,
61,61,ATL,Rusty Parker,University of Miami,,,,,,,,,,,,,,,,,
62,62,PHI,Larry Miller,University of North Carolina,,,,,,,,,,,,,,,,,
63,63,MIL,Joe Franklin,University of Wisconsin,,,,,,,,,,,,,,,,,
64,64,PHO,Harry Hollines,University of Denver,,,,,,,,,,,,,,,,,
65,65,SDR,Eldridge Webb,University of Tulsa,,,,,,,,,,,,,,,,,
66,66,SEA,Ron Guziak,Duquesne University,,,,,,,,,,,,,,,,,
67,67,CHI,Ken Barnett,University of Delaware,,,,,,,,,,,,,,,,,
68,68,BAL,Joe Heiser,Princeton University,,,,,,,,,,,,,,,,,
69,69,CIN,Calvin Martin,Texas Southern University,,,,,,,,,,,,,,,,,
70,70,DET,Wally Anderzunas,Creighton University,1,44,370,159,82,9,.392,,.630,8.4,3.6,1.9,0.2,-0.2,-.023,,
71,71,SFW,Bob Allen,Marshall University,1,27,232,48,56,10,.326,,.556,8.6,1.8,2.1,0.4,0.1,.028,,
72,72,NYK,Brian Brunkhorst,Marquette University,,,,,,,,,,,,,,,,,
73,73,LAL,Nick Pino,Kansas State University,,,,,,,,,,,,,,,,,
74,74,BOS,Jerry Newsom,Indiana State University,,,,,,,,,,,,,,,,,
75,75,ATL,Phil Wagner,Georgia Institute of Technology,,,,,,,,,,,,,,,,,
76,76,PHI,Chuck Williams,University of Colorado,8,138,2869,754,238,449,.443,,.809,20.8,5.5,1.7,3.3,1.9,.032,-4.1,-1.5
77,77,PHO,Rod Knowles,Davidson College,1,8,40,9,9,0,.286,,.333,5.0,1.1,1.1,0.0,-0.1,-.148,,
78,78,MIL,Fred Smith,University of Hawaii,,,,,,,,,,,,,,,,,
79,79,SDR,Rick Adelman,Loyola Marymount University,7,462,10427,3579,1129,1606,.415,,.713,22.6,7.7,2.4,3.5,10.0,.046,-2.5,-0.2
80,80,SEA,Jim McKean,Washington State University,,,,,,,,,,,,,,,,,
81,81,CHI,Willie Davis,University of North Texas,,,,,,,,,,,,,,,,,
82,82,BAL,Jasper Wilson,Southern University and A&M College,,,,,,,,,,,,,,,,,
83,83,CIN,Dick Dumas,Northeastern State University,,,,,,,,,,,,,,,,,
84,84,DET,Larry Newbold,Long Island University,,,,,,,,,,,,,,,,,
85,85,SFW,Dave Reasor,West Virginia University,,,,,,,,,,,,,,,,,
86,86,NYK,Bob Waldal,Dickinson College,,,,,,,,,,,,,,,,,
87,87,LAL,Dennis Hrcka,Hillsdale College,,,,,,,,,,,,,,,,,
88,88,BOS,Mike Lewis,Duke University,,,,,,,,,,,,,,,,,
89,89,ATL,Oscar Smith,Elizabeth City State University,,,,,,,,,,,,,,,,,
90,90,PHI,Bill Jones,Fairfield University,,,,,,,,,,,,,,,,,
91,91,MIL,Tom Kondla,University of Minnesota,,,,,,,,,,,,,,,,,
92,92,PHO,Charles Parkes,Idaho State University,,,,,,,,,,,,,,,,,
93,93,SDR,Aaron Sellers,Jackson State University,,,,,,,,,,,,,,,,,
94,94,SEA,Willie Rogers,University of Oklahoma,,,,,,,,,,,,,,,,,
95,95,CHI,Lloyd Higgins,Point Loma Nazarene University,,,,,,,,,,,,,,,,,
96,96,BAL,Barry Orms,Saint Louis University,1,64,916,181,158,49,.309,,.483,14.3,2.8,2.5,0.8,-0.7,-.034,,
97,97,CIN,Dave Williams,Mississippi State University,,,,,,,,,,,,,,,,,
