ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
3,1,STL,Dick Ricketts,Duquesne University,3,212,5677,1974,1337,447,.328,,.692,26.8,9.3,6.3,2.1,2.1,.018,,
4,2,ROC,Maurice Stokes,Saint Francis University,3,202,7544,3315,3492,1062,.351,,.698,37.3,16.4,17.3,5.3,16.1,.102,,
5,3,BOS,Jim Loscutoff,University of Oregon,9,511,9431,3156,2848,353,.345,,.653,18.5,6.2,5.6,0.7,3.4,.017,,
6,4,NYK,Kenny Sears,Santa Clara University,8,529,14923,7355,4142,843,.455,,.826,28.2,13.9,7.8,1.6,55.8,.179,,
7,5,SYR,Ed Conlin,Fordham University,7,486,11392,4891,2349,949,.370,,.750,23.4,10.1,4.8,2.0,14.2,.060,,
8,6,FTW,Johnny Horan,University of Dayton,1,19,93,34,10,2,.286,,.909,4.9,1.8,0.5,0.1,-0.1,-.075,,
9,7,STL,Jack Stephens,University of Notre Dame,1,72,2219,743,377,207,.386,,.692,30.8,10.3,5.2,2.9,4.8,.103,,
10,8,ROC,Jack Twyman,University of Cincinnati,11,823,26147,15840,5424,1861,.450,,.778,31.8,19.2,6.6,2.3,75.0,.138,,
11,9,PHW,Corky Devlin,George Washington University,3,210,4025,1496,449,446,.366,,.742,19.2,7.1,2.1,2.1,3.8,.046,,
12,10,BOS,Dick Hemric,Wake Forest University,2,138,2384,863,703,102,.377,,.669,17.3,6.3,5.1,0.7,5.3,.106,,
13,11,NYK,Jerry Mullen,University of San Francisco,,,,,,,,,,,,,,,,,
14,12,MNL,Chuck Mencel,University of Minnesota,2,141,2821,983,347,333,.341,,.765,20.0,7.0,2.5,2.4,1.9,.033,,
15,13,FTW,Jesse Arnelle,Pennsylvania State University,1,31,409,147,170,18,.317,,.623,13.2,4.7,5.5,0.6,0.0,-.001,,
16,14,SYR,Don Schlundt,Indiana University,,,,,,,,,,,,,,,,,
17,15,STL,Al Ferrari,Michigan State University,6,371,7582,2525,830,943,.368,,.760,20.4,6.8,2.2,2.5,8.9,.056,,
18,16,ROC,Ed Fleming,Niagara University,5,292,6186,2511,1532,544,.359,,.731,21.2,8.6,5.2,1.9,9.8,.076,,
19,17,PHW,Bob Schafer,Villanova University,2,65,745,273,82,68,.298,,.777,11.5,4.2,1.3,1.0,-0.7,-.048,,
20,18,BOS,Buzz Wilkinson,University of Virginia,,,,,,,,,,,,,,,,,
21,19,NYK,Guy Sparrow,University of Detroit Mercy,3,150,2583,1167,728,142,.358,,.608,17.2,7.8,4.9,0.9,0.1,.003,,
22,20,MNL,Dick Boushka,Saint Louis University,,,,,,,,,,,,,,,,,
23,21,SYR,Jack Sallee,University of Dayton,,,,,,,,,,,,,,,,,
24,22,FTW,Ron Bennink,Washington State University,,,,,,,,,,,,,,,,,
25,23,STL,Burdette Haldorson,University of Colorado,,,,,,,,,,,,,,,,,
26,24,ROC,Bob McKeen,University of California,,,,,,,,,,,,,,,,,
27,25,PHW,Ed Wiener,University of Tennessee,,,,,,,,,,,,,,,,,
28,26,BOS,Bart Leach,University of Pennsylvania,,,,,,,,,,,,,,,,,
29,27,NYK,Ed Cole,Creighton University,,,,,,,,,,,,,,,,,
30,28,MNL,John Miller,Ohio State University,,,,,,,,,,,,,,,,,
31,29,FTW,Dick Howard,Case Western Reserve University,,,,,,,,,,,,,,,,,
32,30,SYR,Frank Ehmann,Northwestern University,,,,,,,,,,,,,,,,,
33,31,STL,Bill Bagley,Saint Mary's College of California,,,,,,,,,,,,,,,,,
34,32,ROC,Bill Evans,University of Kentucky,,,,,,,,,,,,,,,,,
35,33,PHW,Jack Devine,Villanova University,,,,,,,,,,,,,,,,,
36,34,BOS,Bob Patterson,University of Tulsa,,,,,,,,,,,,,,,,,
37,35,NYK,Denver Brackeen,University of Mississippi,,,,,,,,,,,,,,,,,
38,36,MNL,Bill Banks,Texas State University,,,,,,,,,,,,,,,,,
39,37,SYR,Mal Duffy,St. Bonaventure University,,,,,,,,,,,,,,,,,
40,38,FTW,Cleo Littleton,Wichita State University,,,,,,,,,,,,,,,,,
41,,BOS,John Mahoney,College of William & Mary,,,,,,,,,,,,,,,,,
42,,NYK,Howard Sessums,Mississippi College,,,,,,,,,,,,,,,,,
43,,PHW,George Swyers,West Virginia University Institute of Technology,,,,,,,,,,,,,,,,,
44,,BOS,John Moore,"University of California, Los Angeles",,,,,,,,,,,,,,,,,
45,,NYK,Jim Fay,St. Ambrose University,,,,,,,,,,,,,,,,,
46,,PHW,Harry Silcox,Temple University,,,,,,,,,,,,,,,,,
47,,BOS,Dean Parsons,University of Washington,,,,,,,,,,,,,,,,,
48,,NYK,Joe Beck,Truman State University,,,,,,,,,,,,,,,,,
49,,PHW,Al Didriksen,Temple University,,,,,,,,,,,,,,,,,
50,,BOS,Nick Romanoff,University of the Pacific,,,,,,,,,,,,,,,,,
51,,NYK,Don Payne,Adelphi University,,,,,,,,,,,,,,,,,
52,,PHW,Lester Lane,University of Oklahoma,,,,,,,,,,,,,,,,,
53,,BOS,Jim Ahearn,University of Connecticut,,,,,,,,,,,,,,,,,
54,,NYK,Wally McCarvill,Iona College,,,,,,,,,,,,,,,,,
55,,PHW,Jerry Koch,Saint Louis University,,,,,,,,,,,,,,,,,
56,,BOS,Carl Hartman,Alderson-Broaddus College,,,,,,,,,,,,,,,,,
57,,NYK,Charles Stickels,Hastings College,,,,,,,,,,,,,,,,,
58,,BOS,Mark Davis,Marietta College,,,,,,,,,,,,,,,,,
59,,NYK,Mickey Harrington,University of Southern Mississippi,,,,,,,,,,,,,,,,,
60,,BOS,Henry Dooley,Wiley College,,,,,,,,,,,,,,,,,
61,,BOS,Bob Scuddelari,Cooper Union,,,,,,,,,,,,,,,,,
62,,FTW,Don Belcher,Louisiana State University,,,,,,,,,,,,,,,,,
63,,FTW,Tom Harrold,University of Colorado,,,,,,,,,,,,,,,,,
64,,FTW,Happy Mahfouz,Spring Hill College,,,,,,,,,,,,,,,,,
65,,FTW,Tom Mixon,Mercer University,,,,,,,,,,,,,,,,,
66,,FTW,Tom Mock,University of Colorado,,,,,,,,,,,,,,,,,
67,,FTW,Bob Reiter,University of Missouri,,,,,,,,,,,,,,,,,
68,,FTW,Ray Warren,Texas Christian University,,,,,,,,,,,,,,,,,
69,,MNL,Don Boldebuck,University of Houston,,,,,,,,,,,,,,,,,
70,,MNL,Don Bragg,"University of California, Los Angeles",,,,,,,,,,,,,,,,,
71,,MNL,K.C. Jones,University of San Francisco,9,676,17501,5011,2399,2908,.387,,.647,25.9,7.4,3.5,4.3,38.6,.106,,
72,,MNL,Jim Scott,West Texas A&M University,,,,,,,,,,,,,,,,,
73,,MNL,Bill Warden,North Central College,,,,,,,,,,,,,,,,,
74,,MNL,O'Neal Weaver,Midwestern State University,,,,,,,,,,,,,,,,,
75,,ROC,Bob Armstrong,Michigan State University,1,19,110,28,39,3,.297,,.500,5.8,1.5,2.1,0.2,-0.1,-.063,,
76,,ROC,Harry Jorgensen,University of Wyoming,,,,,,,,,,,,,,,,,
77,,ROC,Jerry Jung,Kansas State University,,,,,,,,,,,,,,,,,
78,,ROC,Jim McConnell,Niagara University,,,,,,,,,,,,,,,,,
79,,ROC,John Prudhoe,University of Louisville,,,,,,,,,,,,,,,,,
80,,ROC,Art Quimby,University of Connecticut,,,,,,,,,,,,,,,,,
81,,ROC,Tony Vlastelica,Oregon State University,,,,,,,,,,,,,,,,,
82,,STL,Harvey Babetch,Bradley University,,,,,,,,,,,,,,,,,
83,,STL,Dick Cable,University of Wisconsin,,,,,,,,,,,,,,,,,
84,,STL,Lynn Cole,Creighton University,,,,,,,,,,,,,,,,,
85,,STL,Joe Fitt,,,,,,,,,,,,,,,,,,
86,,STL,Charles Hoxie,Niagara University,,,,,,,,,,,,,,,,,
87,,STL,Ed O'Connor,Manhattan College,,,,,,,,,,,,,,,,,
88,,STL,Bill Reigel,McNeese State University,,,,,,,,,,,,,,,,,
89,,STL,Dick Welsh,University of Southern California,,,,,,,,,,,,,,,,,
90,,SYR,Cliff Dwyer,North Carolina State University,,,,,,,,,,,,,,,,,
91,,SYR,Ed Galvin,Loyola University New Orleans,,,,,,,,,,,,,,,,,
92,,SYR,Stan Glowaski,Seattle University,,,,,,,,,,,,,,,,,
93,,SYR,Russ Lawler,Stanford University,,,,,,,,,,,,,,,,,
94,,SYR,Marty Satalino,St. John's University,,,,,,,,,,,,,,,,,
95,,SYR,Ron Tomsic,Stanford University,,,,,,,,,,,,,,,,,
