trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
1664,4.4,.099,University of Kentucky,.314,13733,382,.788,John Wall,.431,13.8,6,2.0,8.8,17.8,WAS,6809,3345,1,36.0,28.3,1
2204,5.2,.047,Ohio State University,.299,12178,427,.772,Evan Turner,.426,-0.5,6,-2.2,3.6,10.6,PHI,4544,1557,2,28.5,11.9,2
2851,7.3,.130,Georgia Institute of Technology,.077,10027,393,.663,Derrick Favors,.513,7.0,6,0.7,1.0,11.3,NJN,4425,400,3,25.5,27.1,3
1295,3.3,.034,Syracuse University,.346,9658,388,.749,Wesley Johnson,.411,1.7,6,-1.3,1.3,8.3,MIN,3208,507,4,24.9,6.8,4
4051,10.7,.106,University of Kentucky,.263,11853,380,.732,DeMarcus Cousins,.460,11.1,6,1.7,2.6,19.5,SAC,7391,1001,5,31.2,26.2,5
860,3.2,.060,Baylor University,.000,4564,270,.720,Ekpe Udoh,.429,1.0,5,-1.1,0.7,4.0,GSW,1072,179,6,16.9,5.7,6
3857,9.2,.132,Georgetown University,.000,13008,417,.698,Greg Monroe,.507,13.4,6,2.1,2.3,14.4,DET,6025,941,7,31.2,35.9,7
2273,5.4,.066,Wake Forest University,.308,9610,418,.726,Al-Farouq Aminu,.433,3.9,6,-0.4,1.1,6.8,LAC,2840,468,8,23.0,13.3,8
1547,3.9,.109,Butler University,.367,12095,401,.811,Gordon Hayward,.438,10.4,6,1.4,3.3,14.0,UTA,5632,1337,9,30.2,27.5,9
2057,6.2,.149,"California State University, Fresno",.366,10574,331,.830,Paul George,.425,15.7,6,3.9,3.0,16.3,IND,5379,989,10,31.9,32.8,10
730,3.4,.119,University of Kansas,,2185,213,.769,Cole Aldrich,.504,1.1,6,0.0,0.6,3.2,NOH,688,119,11,10.3,5.4,11
351,1.9,.013,University of Kansas,.325,2905,185,.635,Xavier Henry,.406,-2.3,5,-5.1,0.6,5.7,MEM,1050,120,12,15.7,0.8,12
2514,6.4,.144,University of North Carolina,.000,8408,394,.557,Ed Davis,.562,6.7,6,1.2,0.8,7.1,TOR,2816,329,13,21.3,25.2,13
