ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,CLE,Austin Carr,University of Notre Dame,10,682,19660,10473,1990,1878,.449,.154,.804,28.8,15.4,2.9,2.8,32.9,.080,-1.0,4.0
2,2,POR,Sidney Wicks,"University of California, Los Angeles",10,760,25762,12803,6620,2437,.459,.000,.685,33.9,16.8,8.7,3.2,42.4,.079,0.6,12.9
3,3,BUF,Elmore Smith,Kentucky State University,8,562,17879,7541,5962,808,.482,,.579,31.8,13.4,10.6,1.4,34.7,.093,0.3,7.0
4,4,CIN,Ken Durrett,La Salle University,4,120,1205,484,233,54,.434,,.637,10.0,4.0,1.9,0.5,0.6,.025,-5.7,-0.9
5,5,ATL,George Trapp,"California State University, Long Beach",6,379,6863,3353,1466,375,.444,,.752,18.1,8.8,3.9,1.0,8.4,.059,-3.8,-1.9
6,6,SEA,Fred Brown,University of Iowa,13,963,24422,14018,2637,3160,.478,.373,.858,25.4,14.6,2.7,3.3,63.2,.124,1.0,16.6
7,7,HOU,Cliff Meely,University of Colorado,5,318,6329,2658,1703,398,.417,,.675,19.9,8.4,5.4,1.3,4.6,.035,-3.7,-1.2
8,8,GSW,Darnell Hillman,San Jose State University,9,287,6594,2471,1881,406,.466,,.592,23.0,8.6,6.6,1.4,9.9,.072,-0.8,2.1
9,9,BAL,Stan Love,University of Oregon,4,227,3451,1550,905,172,.440,,.751,15.2,6.8,4.0,0.8,5.5,.076,-3.7,-0.5
10,10,BOS,Clarence Glover,Western Kentucky University,1,25,119,65,46,4,.455,,.469,4.8,2.6,1.8,0.2,0.3,.103,,
11,11,DET,Curtis Rowe,"University of California, Los Angeles",8,590,18277,6873,4264,932,.482,,.701,31.0,11.6,7.2,1.6,34.1,.090,-1.4,2.0
12,12,PHI,Dana Lewis,University of Tulsa,,,,,,,,,,,,,,,,,
13,13,LAL,Jim Cleamons,Ohio State University,9,652,16994,5412,1981,2531,.460,.226,.765,26.1,8.3,3.0,3.9,29.1,.082,0.1,8.0
14,14,PHO,John Roche,University of South Carolina,8,162,3450,1358,178,640,.468,.389,.819,21.3,8.4,1.1,4.0,5.4,.075,-3.4,-1.2
15,15,CHI,Kenny McIntosh,Eastern Michigan University,4,177,3700,934,696,173,.361,,.581,20.9,5.3,3.9,1.0,-1.5,-.020,-4.5,-1.4
16,16,NYK,Dean Meminger,Marquette University,6,416,8554,2552,1086,1046,.475,,.627,20.6,6.1,2.6,2.5,16.6,.093,-0.4,2.4
17,17,MIL,Collis Jones,University of Notre Dame,,,,,,,,,,,,,,,,,
18,18,CLE,Steve Patterson,"University of California, Los Angeles",5,350,5582,1552,1632,443,.403,,.594,15.9,4.4,4.7,1.3,4.8,.041,-1.6,0.4
19,19,BUF,Fred Hilton,Grambling State University,2,120,2080,1131,254,190,.388,,.749,17.3,9.4,2.1,1.6,-3.5,-.080,,
20,20,CHI,Willard Sojourner,Weber State University,,,,,,,,,,,,,,,,,
21,21,CIN,John Mengelt,Auburn University,10,636,12788,6218,1221,1329,.479,.000,.809,20.1,9.8,1.9,2.1,27.9,.105,-2.1,-0.4
22,22,ATL,Ted McClain,Tennessee State University,8,178,3487,1058,410,541,.447,,.786,19.6,5.9,2.3,3.0,4.0,.055,-2.0,0.0
23,23,SEA,Jim McDaniels,Western Kentucky University,5,184,2705,967,810,170,.402,,.703,14.7,5.3,4.4,0.9,0.7,.012,-4.7,-0.9
24,24,HOU,Mike Newlin,University of Utah,11,837,24574,12507,2494,3364,.466,.302,.870,29.4,14.9,3.0,4.0,50.4,.098,-0.2,9.3
25,25,POR,Charlie Yelverton,Fordham University,1,69,1227,545,201,81,.389,,.707,17.8,7.9,2.9,1.2,-0.5,-.018,,
26,26,BUF,Amos Thomas,Southwestern Oklahoma State University,,,,,,,,,,,,,,,,,
27,27,POR,Richard Fisher,Colorado State University,,,,,,,,,,,,,,,,,
28,28,BOS,Jim Rose,Western Kentucky University,,,,,,,,,,,,,,,,,
29,29,DET,Isaiah Wilson,University of Baltimore,1,48,322,167,47,41,.356,,.732,6.7,3.5,1.0,0.9,-0.5,-.074,,
30,30,BUF,Spencer Haywood,University of Detroit Mercy,13,760,25600,14592,7038,1351,.465,.125,.800,33.7,19.2,9.3,1.8,61.4,.115,-0.8,5.6
31,31,CIN,Joe Bergman,Creighton University,,,,,,,,,,,,,,,,,
32,32,CHI,Howard Porter,Villanova University,7,457,8534,4215,1872,211,.469,,.802,18.7,9.2,4.1,0.5,17.6,.099,-3.8,-3.4
33,33,PHI,Marvin Stewart,University of Nebraska,,,,,,,,,,,,,,,,,
34,34,NYK,Gregg Northington,Alabama State University,,,,,,,,,,,,,,,,,
35,35,CLE,Willie Long,University of New Mexico,,,,,,,,,,,,,,,,,
36,36,CLE,Gerald Lockett,University of Arkansas at Pine Bluff,,,,,,,,,,,,,,,,,
37,37,POR,Larry Steele,University of Kentucky,9,610,14777,5009,1781,1719,.483,.000,.796,24.2,8.2,2.9,2.8,28.2,.091,0.7,8.2
38,38,CIN,Rich Yunkus,Georgia Institute of Technology,,,,,,,,,,,,,,,,,
39,39,ATL,Jeff Halliburton,Drake University,2,92,1075,562,145,116,.440,,.814,11.7,6.1,1.6,1.3,1.4,.061,,
40,40,CHI,Clifford Ray,University of Oklahoma,10,784,19940,5821,6953,1728,.524,.000,.588,25.4,7.4,8.9,2.2,56.7,.136,1.8,15.5
41,41,CLE,Jackie Ridgle,University of California,1,32,107,57,15,7,.432,,.731,3.3,1.8,0.5,0.2,0.2,.102,,
42,42,POR,William Smith,Syracuse University,2,30,491,205,143,20,.431,,.597,16.4,6.8,4.8,0.7,0.1,.014,,
43,43,BAL,Rich Rinaldi,Saint Peter's College,3,79,853,393,93,73,.393,,.724,10.8,5.0,1.2,0.9,0.2,.012,-8.6,-0.1
44,44,BOS,Dave Robisch,University of Kansas,13,508,10556,4426,2620,813,.457,.000,.814,20.8,8.7,5.2,1.6,23.5,.107,-0.7,3.4
45,45,DET,Marv Roberts,Utah State University,6,28,209,58,25,19,.355,,.667,7.5,2.1,0.9,0.7,-0.2,-.051,-8.1,-0.3
46,46,PHI,Dave Wohl,University of Pennsylvania,7,410,8142,2553,558,1397,.430,,.750,19.9,6.2,1.4,3.4,6.1,.036,-4.3,-2.7
47,47,CHI,Mike Gale,Elizabeth City State University,11,453,11189,3372,1122,1965,.474,.160,.825,24.7,7.4,2.5,4.3,18.0,.077,0.3,6.6
48,48,PHO,Dennis Layton,University of Southern California,,,,,,,,,,,,,,,,,
49,49,CHI,Dick Gibbs,University of Texas at El Paso,5,333,4310,1739,624,260,.402,,.799,12.9,5.2,1.9,0.8,2.6,.029,-4.8,-2.0
50,50,NYK,Ken Mayfield,Tuskegee University,1,13,64,37,8,4,.370,,1.000,4.9,2.8,0.6,0.3,-0.2,-.134,-12.2,-0.2
51,51,MIL,Gary Brell,Marquette University,,,,,,,,,,,,,,,,,
52,52,CLE,Cliff Harris,Hardin-Simmons University,,,,,,,,,,,,,,,,,
53,53,BUF,Jimmy O'Brien,Boston College,,,,,,,,,,,,,,,,,
54,54,POR,Bobby Fields,La Salle University,,,,,,,,,,,,,,,,,
55,55,CIN,Sid Catlett,University of Notre Dame,1,9,40,6,4,1,.222,,.222,4.4,0.7,0.4,0.1,-0.2,-.197,,
56,56,ATL,Jim Welch,University of Houston,,,,,,,,,,,,,,,,,
57,57,SEA,Pembroke Burrows,Jacksonville University,,,,,,,,,,,,,,,,,
58,58,HOU,Tom Owens,University of South Carolina,12,488,11471,5612,3010,984,.508,.250,.764,23.5,11.5,6.2,2.0,32.9,.138,1.1,8.8
59,59,GSW,Greg Gary,St. Bonaventure University,,,,,,,,,,,,,,,,,
60,60,BAL,Willie Allen,University of Miami,,,,,,,,,,,,,,,,,
61,61,BOS,Randy Denton,Duke University,6,45,700,239,218,33,.402,,.702,15.6,5.3,4.8,0.7,0.4,.029,-4.4,-0.4
62,62,DET,Jarrett Durham,Duquesne University,,,,,,,,,,,,,,,,,
63,63,PHI,Erwin Johnson,Augusta State University,,,,,,,,,,,,,,,,,
64,64,LAL,Roger Brown,University of Kansas,5,77,818,135,230,25,.389,,.702,10.6,1.8,3.0,0.3,0.6,.035,-3.1,-0.2
65,65,PHO,Walt Szczerbiak,George Washington University,,,,,,,,,,,,,,,,,
66,66,CHI,Jim Irving,Saint Louis University,,,,,,,,,,,,,,,,,
67,67,NYK,Steve Niles,Texas A&M University,,,,,,,,,,,,,,,,,
68,68,MIL,Henry Smith,University of Missouri,,,,,,,,,,,,,,,,,
69,69,CLE,Brian Mahoney,Manhattan College,,,,,,,,,,,,,,,,,
70,70,BUF,Garry Nelson,Duquesne University,,,,,,,,,,,,,,,,,
71,71,POR,Hector Blondet,Murray State University,,,,,,,,,,,,,,,,,
72,72,CIN,Jim Guymond,Eastern New Mexico University,,,,,,,,,,,,,,,,,
73,73,CIN,Tyrone Marionneaux,Loyola University New Orleans,,,,,,,,,,,,,,,,,
74,74,SEA,Jeff Smith,New Mexico State University,,,,,,,,,,,,,,,,,
75,75,HOU,Rudy Benjamin,Michigan State University,,,,,,,,,,,,,,,,,
76,76,GSW,Odis Allison,"University of Nevada, Las Vegas",1,36,166,67,45,10,.218,,.541,4.6,1.9,1.3,0.3,-0.6,-.181,,
77,77,BAL,Don Johnson,University of Tennessee,,,,,,,,,,,,,,,,,
78,78,HOU,Greg Nelson,Jacksonville University,,,,,,,,,,,,,,,,,
79,79,DET,Vincent White,Savannah State University,,,,,,,,,,,,,,,,,
80,80,PHI,Richard Hood,Phillips University,,,,,,,,,,,,,,,,,
81,81,LAL,Lee Dedmon,University of North Carolina,,,,,,,,,,,,,,,,,
82,82,PHO,Kenneth Gardner,University of Utah,,,,,,,,,,,,,,,,,
83,83,CHI,Larry Weatherford,Purdue University,,,,,,,,,,,,,,,,,
84,84,PHO,Bob Kissane,College of the Holy Cross,,,,,,,,,,,,,,,,,
85,85,MIL,Barry Nelson,Duquesne University,1,28,102,35,20,7,.417,,.500,3.6,1.3,0.7,0.3,0.1,.026,,
86,86,CLE,Mike Childress,Colorado State University,,,,,,,,,,,,,,,,,
87,87,BUF,Glen Summors,Gannon University,,,,,,,,,,,,,,,,,
88,88,POR,Jim Day,Morehead State University,,,,,,,,,,,,,,,,,
89,89,CIN,Gil McGregor,Wake Forest University,1,42,532,171,148,18,.363,,.696,12.7,4.1,3.5,0.4,-0.4,-.038,,
90,90,ATL,Willie Humes,University of Idaho,,,,,,,,,,,,,,,,,
91,91,SEA,Mike Neciase,William Carey College,,,,,,,,,,,,,,,,,
92,92,HOU,Garry Reist,Rice University,,,,,,,,,,,,,,,,,
93,93,GSW,Charles Johnson,University of California,7,521,9972,4241,1318,973,.429,,.756,19.1,8.1,2.5,1.9,13.4,.064,-2.0,0.1
94,94,BAL,John Novey,Mount St. Mary's University,,,,,,,,,,,,,,,,,
95,95,BOS,Thorpe Weber,Vanderbilt University,,,,,,,,,,,,,,,,,
96,96,DET,Jim Larranga,Providence College,,,,,,,,,,,,,,,,,
97,97,PHI,Jake Jones,Assumption College,1,17,202,76,26,12,.389,,.645,11.9,4.5,1.5,0.7,0.0,-.009,,
98,98,LAL,Bill Brickhouse,Montana State University,,,,,,,,,,,,,,,,,
99,99,PHO,William Graham,Kentucky State University,,,,,,,,,,,,,,,,,
100,100,CHI,Jim England,University of Tennessee,,,,,,,,,,,,,,,,,
101,101,NYK,Bill Mainor,Fordham University,,,,,,,,,,,,,,,,,
102,102,MIL,Ed Kemp,Adams State College,,,,,,,,,,,,,,,,,
103,103,CLE,Tom Bush,Drake University,,,,,,,,,,,,,,,,,
104,104,BUF,Randy Smith,State University of New York College at Buffalo,12,976,31444,16262,3597,4487,.470,.155,.781,32.2,16.7,3.7,4.6,60.1,.092,0.9,19.6
105,105,POR,Gene Knolle,Texas Tech University,,,,,,,,,,,,,,,,,
106,106,CIN,Ollie Shannon,University of Minnesota,,,,,,,,,,,,,,,,,
107,107,ATL,Mike Jordan,Savannah State University,,,,,,,,,,,,,,,,,
108,108,SEA,John Duncan,Kentucky Wesleyan College,,,,,,,,,,,,,,,,,
109,109,HOU,Eric Hill,University of Minnesota,,,,,,,,,,,,,,,,,
