ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,CHI,Derrick Rose,University of Memphis,7,372,13155,7392,1366,2361,.448,.300,.812,35.4,19.9,3.7,6.3,30.9,.113,1.2,10.7
2,2,MIA,Michael Beasley,Kansas State University,7,433,10675,5628,2096,571,.450,.343,.759,24.7,13.0,4.8,1.3,10.2,.046,-3.5,-4.0
3,3,MIN,O.J. Mayo,University of Southern California,8,535,16615,7516,1677,1579,.430,.373,.821,31.1,14.0,3.1,3.0,21.8,.063,-0.7,5.3
4,4,SEA,Russell Westbrook,"University of California, Los Angeles",8,547,18592,11710,2938,3999,.434,.304,.819,34.0,21.4,5.4,7.3,60.5,.156,4.9,32.1
5,5,MEM,Kevin Love,"University of California, Los Angeles",8,475,15635,8801,5570,1157,.446,.363,.813,32.9,18.5,11.7,2.4,60.2,.185,3.3,21.0
6,6,NYK,Danilo Gallinari,,7,377,11492,5496,1742,718,.415,.367,.854,30.5,14.6,4.6,1.9,32.2,.134,1.2,9.2
7,7,LAC,Eric Gordon,Indiana University,8,410,13944,6828,1035,1352,.435,.382,.813,34.0,16.7,2.5,3.3,22.1,.076,-0.5,5.4
8,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.3,-0.2
9,9,CHA,D.J. Augustin,University of Texas at Austin,8,543,13168,5268,982,2145,.402,.372,.871,24.3,9.7,1.8,4.0,27.8,.101,-1.5,1.8
10,10,NJN,Brook Lopez,Stanford University,8,453,14760,8174,3361,608,.509,.045,.793,32.6,18.0,7.4,1.3,42.0,.137,0.8,10.3
11,11,IND,Jerryd Bayless,University of Arizona,8,482,10034,4098,1008,1410,.415,.357,.827,20.8,8.5,2.1,2.9,16.3,.078,-1.8,0.6
12,12,SAC,Jason Thompson,Rider University,8,560,14481,5106,3788,620,.496,.037,.655,25.9,9.1,6.8,1.1,22.6,.075,-1.7,1.0
13,13,POR,Brandon Rush,University of Kansas,8,392,8991,2917,1222,391,.432,.407,.706,22.9,7.4,3.1,1.0,10.0,.053,-1.7,0.8
14,14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-2.1,-0.1
15,15,PHO,Robin Lopez,Stanford University,8,506,10892,4148,2585,303,.530,.000,.763,21.5,8.2,5.1,0.6,30.3,.133,0.6,7.1
16,16,PHI,Marreese Speights,University of Florida,8,531,8194,4146,2233,315,.466,.225,.786,15.4,7.8,4.2,0.6,19.2,.112,-3.5,-3.2
17,17,TOR,Roy Hibbert,Georgetown University,8,573,14855,6180,3857,829,.463,.250,.754,25.9,10.8,6.7,1.4,33.2,.107,0.4,8.9
18,18,WAS,JaVale McGee,"University of Nevada, Reno",8,403,7855,3337,2190,137,.542,.200,.585,19.5,8.3,5.4,0.3,19.4,.119,-0.8,2.4
19,19,CLE,J.J. Hickson,North Carolina State University,8,517,11792,5012,3594,442,.505,.000,.622,22.8,9.7,7.0,0.9,21.6,.088,-2.3,-0.8
20,20,CHA,Alexis Ajinca,,6,223,2820,1138,821,113,.514,.316,.809,12.6,5.1,3.7,0.5,6.4,.109,-1.5,0.3
21,21,NJN,Ryan Anderson,University of California,8,454,11720,5814,2517,403,.423,.378,.859,25.8,12.8,5.5,0.9,35.3,.144,1.3,9.8
22,22,ORL,Courtney Lee,Western Kentucky University,8,559,15180,5396,1453,865,.449,.381,.849,27.2,9.7,2.6,1.5,27.9,.088,-0.2,7.0
23,23,UTA,Kosta Koufos,Ohio State University,8,461,7265,2566,2198,166,.530,.000,.611,15.8,5.6,4.8,0.4,19.6,.129,-0.7,2.3
