ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
2,1,MNL,Elgin Baylor,Seattle University,14,846,33863,23149,11463,3650,.431,,.780,40.0,27.4,13.5,4.3,104.2,.148,,
3,2,CIN,Archie Dees,Indiana University,4,190,3092,1548,907,132,.402,,.794,16.3,8.1,4.8,0.7,4.8,.074,,
4,3,NYK,Mike Farmer,University of San Francisco,7,423,8818,2816,1950,550,.393,,.814,20.8,6.7,4.6,1.3,6.3,.035,,
5,4,NYK,Pete Brennan,University of North Carolina,1,16,136,40,31,6,.302,,.560,8.5,2.5,1.9,0.4,-0.1,-.030,,
6,5,SYR,Connie Dierking,University of Cincinnati,10,706,15474,7094,4757,1053,.417,,.697,21.9,10.0,6.7,1.5,13.3,.041,,
7,6,STL,Dave Gambee,Oregon State University,12,750,14665,7935,3891,757,.420,,.822,19.6,10.6,5.2,1.0,35.1,.115,,
8,7,BOS,Bennie Swain,Texas Southern University,1,58,708,265,262,29,.406,,.609,12.2,4.6,4.5,0.5,1.9,.128,,
9,8,MNL,Steve Hamilton,Morehead State University,2,82,1094,368,278,43,.372,,.697,13.3,4.5,3.4,0.5,0.9,.040,,
10,9,CIN,Vern Hatton,University of Kentucky,4,225,3666,1244,531,310,.344,,.735,16.3,5.5,2.4,1.4,0.3,.003,,
11,10,DET,Barney Cable,Bradley University,6,362,6817,2372,1884,381,.420,,.665,18.8,6.6,5.2,1.1,6.5,.046,,
12,11,NYK,Joe Quigg,University of North Carolina,,,,,,,,,,,,,,,,,
13,12,PHW,Lamar Sharrar,West Virginia University,,,,,,,,,,,,,,,,,
14,13,SYR,Hal Greer,Marshall University,15,1122,39788,21586,5665,4540,.452,,.801,35.5,19.2,5.0,4.0,102.7,.124,,
15,14,STL,Hub Reed,Oklahoma City University,7,479,7870,2618,2449,367,.436,,.724,16.4,5.5,5.1,0.8,9.3,.057,,
16,15,BOS,Jimmy Smith,Franciscan University of Steubenville,,,,,,,,,,,,,,,,,
17,16,MNL,Boo Ellis,Niagara University,2,118,1873,607,616,86,.402,,.695,15.9,5.1,5.2,0.7,3.1,.079,,
18,17,CIN,Bucky Bockhorn,University of Dayton,7,474,14791,5430,2234,1645,.403,,.748,31.2,11.5,4.7,3.5,7.9,.026,,
19,18,DET,Roy DeWitz,Kansas State University,,,,,,,,,,,,,,,,,
20,19,NYK,John Lee,Yale University,,,,,,,,,,,,,,,,,
21,20,PHW,Frank Howard,Ohio State University,,,,,,,,,,,,,,,,,
22,21,SYR,John Nacincik,University of Maryland,,,,,,,,,,,,,,,,,
23,22,STL,Wayne Embry,Miami University,11,831,21763,10380,7544,1194,.440,,.640,26.2,12.5,9.1,1.4,37.8,.083,,
24,23,BOS,Jim Cunningham,Fordham University,,,,,,,,,,,,,,,,,
25,24,MNL,George Kline,University of Minnesota,,,,,,,,,,,,,,,,,
26,25,CIN,Phil Murrell,Drake University,,,,,,,,,,,,,,,,,
27,26,DET,Ralph Croswaite,Western Kentucky University,,,,,,,,,,,,,,,,,
28,27,NYK,Johnny Cox,University of Kentucky,1,73,1685,573,280,142,.421,,.704,23.1,7.8,3.8,1.9,0.5,.015,,
29,28,PHW,Temple Tucker,Rice University,,,,,,,,,,,,,,,,,
30,29,SYR,Tommy Kearns,University of North Carolina,1,1,7,2,0,0,1.000,,,7.0,2.0,0.0,0.0,0.0,.230,,
31,30,STL,Julius Peques,University of Pittsburgh,,,,,,,,,,,,,,,,,
32,31,BOS,Don Flora,Washington & Lee University,,,,,,,,,,,,,,,,,
33,32,MNL,Quitman Sullins,Murray State University,,,,,,,,,,,,,,,,,
34,33,CIN,Jim Fulmer,University of Alabama,,,,,,,,,,,,,,,,,
35,34,DET,Hank Morano,Saint Peter's College,,,,,,,,,,,,,,,,,
36,35,NYK,Don Lane,University of Dayton,,,,,,,,,,,,,,,,,
37,36,PHW,Don Ohl,University of Illinois at Urbana-Champaign,10,727,22413,11549,2163,2243,.434,,.732,30.8,15.9,3.0,3.1,30.2,.065,,
38,37,SYR,Fred Grim,University of Arkansas,,,,,,,,,,,,,,,,,
39,38,STL,Rick Herrsher,Southern Methodist University,,,,,,,,,,,,,,,,,
40,39,BOS,Gene Brown,University of San Francisco,,,,,,,,,,,,,,,,,
41,40,MNL,Al Inniss,St. Francis College,,,,,,,,,,,,,,,,,
42,41,CIN,Jim McClennan,Saint Francis University,,,,,,,,,,,,,,,,,
