ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
120,120,SDR,Don Adams,Northwestern University,7,487,12407,4236,2732,869,.402,,.739,25.5,8.7,5.6,1.8,10.6,.041,-1.9,0.2
121,121,SFW,Jeff Sewell,Marquette University,,,,,,,,,,,,,,,,,
122,122,DET,Dan Issel,University of Kentucky,15,718,22342,14659,5707,1804,.506,.253,.797,31.1,20.4,7.9,2.5,82.3,.177,1.9,22.0
123,123,BOS,Bobby Croft,University of Tennessee,,,,,,,,,,,,,,,,,
124,124,CIN,Joel McBride,Augusta State University,,,,,,,,,,,,,,,,,
125,125,SEA,George Irvine,University of Washington,,,,,,,,,,,,,,,,,
126,126,BUF,Larry Woods,West Virginia University,,,,,,,,,,,,,,,,,
127,127,POR,Doug Boyd,Texas Christian University,,,,,,,,,,,,,,,,,
128,128,CLE,Walter Robertson,Loyola University of Chicago,,,,,,,,,,,,,,,,,
129,129,PHO,Steve Patterson,"University of California, Los Angeles",5,350,5582,1552,1632,443,.403,,.594,15.9,4.4,4.7,1.3,4.8,.041,-1.6,0.4
130,130,CHI,Mike Casey,University of Kentucky,,,,,,,,,,,,,,,,,
131,131,PHI,Fran O'Hanlon,Villanova University,,,,,,,,,,,,,,,,,
132,132,LAL,Rick Mount,Purdue University,,,,,,,,,,,,,,,,,
133,133,ATL,Herb White,University of Georgia,1,38,315,90,48,47,.405,,.564,8.3,2.4,1.3,1.2,0.1,.013,,
134,134,BAL,Tom Dyksera,Wheaton College,,,,,,,,,,,,,,,,,
135,135,MIL,Jim Samo,Northwestern University,,,,,,,,,,,,,,,,,
136,136,NYK,Greg Fillmore,Cheyney University of Pennsylvania,2,49,338,118,108,20,.403,,.467,6.9,2.4,2.2,0.4,0.3,.044,,
137,137,SDR,Jim Gottschall,University of Dayton,,,,,,,,,,,,,,,,,
138,138,SFW,Lou Small,"University of Nevada, Reno",,,,,,,,,,,,,,,,,
139,139,DET,Alex Wynn,Dartmouth College,,,,,,,,,,,,,,,,,
140,140,BOS,Tom Little,Seattle University,,,,,,,,,,,,,,,,,
141,141,CIN,Bob Mabry,University of Rio Grande,,,,,,,,,,,,,,,,,
142,142,SEA,Claude Virden,Murray State University,,,,,,,,,,,,,,,,,
143,143,CLE,Tom Lagodich,Kent State University,,,,,,,,,,,,,,,,,
144,144,POR,Billy Gaskins,University of Oregon,,,,,,,,,,,,,,,,,
145,145,BUF,Larry Duckworth,Henderson State University,,,,,,,,,,,,,,,,,
146,146,PHO,Carl Ashley,University of Wyoming,,,,,,,,,,,,,,,,,
147,147,CHI,Glen Johnson,Jackson State University,,,,,,,,,,,,,,,,,
148,148,PHI,Mike Hauer,Saint Joseph's University,,,,,,,,,,,,,,,,,
149,149,LAL,Bobby Sands,Pepperdine University,,,,,,,,,,,,,,,,,
150,150,ATL,Larry Jackson,Sul Ross State University,,,,,,,,,,,,,,,,,
151,151,BAL,Will Hetzel,University of Maryland,,,,,,,,,,,,,,,,,
152,152,MIL,Joe Hamilton,University of North Texas,,,,,,,,,,,,,,,,,
153,153,NYK,Walker Banks,Western Kentucky University,,,,,,,,,,,,,,,,,
154,154,SDR,Toke Coleman,Eastern Kentucky University,,,,,,,,,,,,,,,,,
155,155,SFW,Coby Dietrick,San Jose State University,13,480,9241,2915,1869,990,.468,.188,.741,19.3,6.1,3.9,2.1,15.5,.080,0.1,5.0
156,156,DET,Bruce Chapman,"University of Nevada, Reno",,,,,,,,,,,,,,,,,
157,157,BOS,Mike Maloy,Davidson College,,,,,,,,,,,,,,,,,
158,158,CIN,Carl Johnson,Gustavus Adolphus,,,,,,,,,,,,,,,,,
159,159,SEA,Chuck Lloyd,Yankton College,,,,,,,,,,,,,,,,,
160,160,BUF,Joe Taylor,Dillard University,,,,,,,,,,,,,,,,,
161,161,POR,Israel Oliver,Elizabeth City State University,,,,,,,,,,,,,,,,,
162,162,CLE,Ken Johnson,Indiana University,,,,,,,,,,,,,,,,,
163,163,PHO,Gerhardus Schreur,Arizona State University,,,,,,,,,,,,,,,,,
164,164,CHI,Dale Blaut,West Texas A&M University,,,,,,,,,,,,,,,,,
165,165,PHI,Gordon Stiles,American University,,,,,,,,,,,,,,,,,
166,166,LAL,Kindell Stephens,Fisk University,,,,,,,,,,,,,,,,,
167,167,ATL,Manuel Raga,,,,,,,,,,,,,,,,,,
168,168,BAL,Ron Becker,University of New Mexico,,,,,,,,,,,,,,,,,
169,169,MIL,Bob Seemer,Georgia Institute of Technology,,,,,,,,,,,,,,,,,
170,170,NYK,Don Curnutt,University of Miami,,,,,,,,,,,,,,,,,
171,171,SDR,Ron Belton,Bellarmine University,,,,,,,,,,,,,,,,,
172,172,DET,Rick Anhauser,North Carolina State University,,,,,,,,,,,,,,,,,
173,173,CIN,Ted Hillary,Saint Joseph's College,,,,,,,,,,,,,,,,,
174,174,SEA,Andy Owens,University of Florida,,,,,,,,,,,,,,,,,
175,175,CLE,Dave Schneider,Wayne State University,,,,,,,,,,,,,,,,,
176,176,POR,Don McClemore,Bowling Green State University,,,,,,,,,,,,,,,,,
177,177,BUF,Dick Walker,Wake Forest University,,,,,,,,,,,,,,,,,
178,178,PHO,Jim Walls,Clark Atlanta University,,,,,,,,,,,,,,,,,
179,179,CHI,Doug Howard,Brigham Young University,,,,,,,,,,,,,,,,,
180,180,PHI,David Whitley,Tufts University,,,,,,,,,,,,,,,,,
181,181,LAL,Bob Duklet,Boston College,,,,,,,,,,,,,,,,,
182,182,ATL,Dino Meneghin,,,,,,,,,,,,,,,,,,
183,183,BAL,Mel Bell,University of Houston,,,,,,,,,,,,,,,,,
184,184,SDR,Jim Brooks,University of Nebraska,,,,,,,,,,,,,,,,,
185,185,DET,Don Ogletree,University of Cincinnati,,,,,,,,,,,,,,,,,
186,186,CIN,Reggie Roach,Virginia State University,,,,,,,,,,,,,,,,,
187,187,SEA,John Brunson,Furman University,,,,,,,,,,,,,,,,,
188,188,POR,Paul Adams,Central Washington University,,,,,,,,,,,,,,,,,
189,189,CLE,Oliver Taylor,University of Houston,,,,,,,,,,,,,,,,,
190,190,PHO,Ric Cobb,Marquette University,,,,,,,,,,,,,,,,,
191,191,CHI,Booker Brown,Middle Tennessee State University,,,,,,,,,,,,,,,,,
192,192,LAL,Dewey Varner,Tuskegee University,,,,,,,,,,,,,,,,,
193,193,BAL,Ben McGilmer,University of Iowa,,,,,,,,,,,,,,,,,
194,194,SDR,Harry Lozon,Old Dominion University,,,,,,,,,,,,,,,,,
195,195,DET,Ernest Hardy,Harvard University,,,,,,,,,,,,,,,,,
196,196,CIN,Larry Gray,Huston-Tillotson University,,,,,,,,,,,,,,,,,
197,197,SEA,Allen McManus,Winston-Salem State University,,,,,,,,,,,,,,,,,
198,198,CLE,Kevin Wilson,Ashland University,,,,,,,,,,,,,,,,,
199,199,POR,Alex Boyd,"University of Nevada, Reno",,,,,,,,,,,,,,,,,
200,200,PHO,Fred Carpenter,University of Hawaii,,,,,,,,,,,,,,,,,
201,201,CHI,Charles Bloodworth,Northwestern State University,,,,,,,,,,,,,,,,,
202,202,LAL,Garry Elliott,University of Washington,,,,,,,,,,,,,,,,,
203,203,BAL,Dan Debardabi,Northern Arizona University,,,,,,,,,,,,,,,,,
204,204,SDR,Clyde Oatis,Aurora University,,,,,,,,,,,,,,,,,
205,205,DET,Randy Smith,State University of New York College at Buffalo,12,976,31444,16262,3597,4487,.470,.155,.781,32.2,16.7,3.7,4.6,60.1,.092,0.9,19.6
206,206,CIN,Andy Jennings,Alderson-Broaddus College,,,,,,,,,,,,,,,,,
207,207,SEA,Don Beeson,Linfield College,,,,,,,,,,,,,,,,,
208,208,POR,Frank Loteridge,University of Texas-Pan American,,,,,,,,,,,,,,,,,
209,209,CLE,Don Tomlinson,University of Missouri,,,,,,,,,,,,,,,,,
210,210,PHO,Chad Calabria,University of Iowa,,,,,,,,,,,,,,,,,
211,211,CHI,Paul Funkhouser,McKendree College,,,,,,,,,,,,,,,,,
212,212,LAL,Ron Sanford,University of New Mexico,,,,,,,,,,,,,,,,,
213,213,BAL,Mike Williams,Northern Arizona University,,,,,,,,,,,,,,,,,
214,214,SDR,Jay Bond,University of Washington,,,,,,,,,,,,,,,,,
215,215,DET,Dennis Clark,Springfield College,,,,,,,,,,,,,,,,,
216,216,CIN,Mike Neer,Washington & Lee University,,,,,,,,,,,,,,,,,
217,217,CLE,Steve Wannamaker,Drake University,,,,,,,,,,,,,,,,,
218,218,POR,John Canady,University of Miami,,,,,,,,,,,,,,,,,
219,219,PHO,Walt Williams,Miami University,,,,,,,,,,,,,,,,,
220,220,CHI,Paul Otay,Boise State University,,,,,,,,,,,,,,,,,
221,221,LAL,Will Teague,Youngstown State University,,,,,,,,,,,,,,,,,
222,222,BAL,Ted Rose,Northern Michigan University,,,,,,,,,,,,,,,,,
223,223,SDR,Dean Olofson,Wayne State University,,,,,,,,,,,,,,,,,
224,224,DET,Harvey Mariatt,Eastern Michigan University,,,,,,,,,,,,,,,,,
225,225,CIN,Paul Favorite,Georgetown University,,,,,,,,,,,,,,,,,
226,226,POR,Doug Williams,St. Mary's University,,,,,,,,,,,,,,,,,
227,227,CLE,Stephen Wilson,Hanover College,,,,,,,,,,,,,,,,,
228,228,LAL,Pete Walthour,Fort Valley State University,,,,,,,,,,,,,,,,,
229,229,BAL,Don Rather,Northern Arizona University,,,,,,,,,,,,,,,,,
230,230,SDR,Dennis Dickens,Azusa Pacific University,,,,,,,,,,,,,,,,,
231,231,CLE,Bob Peterson,University of Oregon,,,,,,,,,,,,,,,,,
232,232,LAL,Bob Thate,Occidental College,,,,,,,,,,,,,,,,,
233,233,BAL,Vince Fritz,Oregon State University,,,,,,,,,,,,,,,,,
234,234,SDR,Jeff Cunningham,"University of California, Irvine",,,,,,,,,,,,,,,,,
235,235,POR,Bruce Butchko,Southern Illinois University,,,,,,,,,,,,,,,,,
236,236,CLE,John Cannon,Grambling State University,,,,,,,,,,,,,,,,,
237,237,SDR,Rick Erickson,Washington State University,,,,,,,,,,,,,,,,,
238,238,CLE,Allen Waller,Saint Mary of the Plains College,,,,,,,,,,,,,,,,,
239,239,POR,Mark Gabriel,Hanover College,,,,,,,,,,,,,,,,,
